time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0 0.0672996 -0.0661013 0.0661002 -0.0661009 0.00134597 0.00132198 -0.00132203 -0.00132202 1.53208e-07
0.002 0.0678969 -0.0655058 0.0655024 -0.0655048 0.00267699 0.00260559 -0.00260569 -0.00260566 2.36288e-07
0.004 0.0684908 -0.0649147 0.0649078 -0.0649127 0.00399327 0.00385164 -0.00385186 -0.00385179 3.25544e-07
0.006 0.06908 -0.064329 0.0643175 -0.0643258 0.00529501 0.00506096 -0.00506139 -0.00506126 4.21933e-07
0.008 0.0696635 -0.0637499 0.0637325 -0.0637451 0.00658239 0.0062344 -0.00623514 -0.00623492 5.17549e-07
0.01 0.0702403 -0.0631786 0.0631541 -0.0631719 0.00785555 0.00737281 -0.007374 -0.00737365 6.04682e-07
0.012 0.0708091 -0.0626159 0.0625834 -0.0626072 0.00911463 0.00847702 -0.00847883 -0.00847831 6.69694e-07
0.014 0.0713689 -0.0620632 0.0620213 -0.062052 0.0103597 0.00954791 -0.00955051 -0.00954978 6.57303e-07
0.016 0.0719187 -0.0615213 0.061469 -0.0615074 0.0115909 0.0105863 -0.0105899 -0.0105889 6.08094e-07
0.018 0.0724574 -0.0609914 0.0609275 -0.0609746 0.0128082 0.0115932 -0.011598 -0.0115967 5.40872e-07
0.02 0.0729839 -0.0604745 0.060398 -0.0604544 0.0140117 0.0125692 -0.0125755 -0.0125738 4.65912e-07
0.022 0.0734972 -0.0599716 0.0598814 -0.059948 0.0152014 0.0135155 -0.0135234 -0.0135213 3.89798e-07
0.024 0.0739963 -0.0594837 0.0593787 -0.0594563 0.0163773 0.0144327 -0.0144426 -0.01444 3.16879e-07
0.026 0.0744801 -0.0590118 0.0588911 -0.0589804 0.0175394 0.0153219 -0.015334 -0.0153308 2.49885e-07
0.028 0.0749478 -0.0585569 0.0584193 -0.0585211 0.0186875 0.0161838 -0.0161985 -0.0161946 1.90327e-07
0.03 0.0753984 -0.0581198 0.0579645 -0.0580795 0.0198218 0.0170195 -0.0170369 -0.0170323 1.38824e-07
0.032 0.0758308 -0.0577016 0.0575276 -0.0576565 0.0209419 0.0178296 -0.0178502 -0.0178448 9.53634e-08
0.034 0.0762443 -0.0573031 0.0571095 -0.0572529 0.022048 0.0186152 -0.0186393 -0.018633 5.95144e-08
0.036 0.0766379 -0.0569251 0.0567111 -0.0568697 0.0231398 0.0193771 -0.019405 -0.0193977 3.05962e-08
0.038 0.0770107 -0.0565686 0.0563332 -0.0565078 0.0242172 0.0201162 -0.0201483 -0.0201399 7.7991e-09
0.04 0.0773619 -0.0562344 0.0559768 -0.0561678 0.0252801 0.0208334 -0.02087 -0.0208605 0
0.042 0.0776906 -0.0559232 0.0556427 -0.0558507 0.0263283 0.0215296 -0.0215711 -0.0215603 0
0.044 0.0779962 -0.0556358 0.0553317 -0.0555572 0.0273616 0.0222057 -0.0222524 -0.0222402 0
0.046 0.0782777 -0.055373 0.0550445 -0.0552882 0.02838 0.0228624 -0.0229148 -0.0229012 0
0.048 0.0785345 -0.0551355 0.054782 -0.0550442 0.029383 0.0235008 -0.0235592 -0.0235441 0
0.05 0.0787659 -0.054924 0.0545448 -0.054826 0.0303707 0.0241217 -0.0241865 -0.0241697 0
0.052 0.0789711 -0.0547392 0.0543337 -0.0546343 0.0313427 0.024726 -0.0247976 -0.024779 0
0.054 0.0791495 -0.0545816 0.0541493 -0.0544697 0.0322988 0.0253144 -0.0253932 -0.0253728 0
0.056 0.0793005 -0.0544518 0.0539922 -0.0543329 0.0332389 0.025888 -0.0259744 -0.025952 0
0.058 0.0794235 -0.0543505 0.0538631 -0.0542243 0.0341626 0.0264475 -0.0265419 -0.0265175 0
0.06 0.079518 -0.0542782 0.0537625 -0.0541445 0.0350697 0.0269938 -0.0270967 -0.02707 0
0.062 0.0795834 -0.0542353 0.053691 -0.0540941 0.03596 0.0275277 -0.0276394 -0.0276105 0
0.064 0.0796192 -0.0542223 0.053649 -0.0540735 0.0368331 0.0280501 -0.0281711 -0.0281397 0
0.066 0.0796249 -0.0542397 0.0536371 -0.0540831 0.037689 0.0285619 -0.0286925 -0.0286586 0
0.068 0.0796002 -0.0542878 0.0536558 -0.0541234 0.0385272 0.0290638 -0.0292044 -0.0291679 0
0.07 0.0795446 -0.054367 0.0537053 -0.0541947 0.0393475 0.0295566 -0.0297076 -0.0296684 0
0.072 0.0794577 -0.0544777 0.0537861 -0.0542973 0.0401497 0.0300412 -0.030203 -0.030161 0
0.074 0.0793394 -0.0546201 0.0538985 -0.0544316 0.0409335 0.0305183 -0.0306914 -0.0306464 0
0.076 0.0791892 -0.0547945 0.0540428 -0.0545979 0.0416986 0.0309888 -0.0311734 -0.0311255 0
0.078 0.0790069 -0.055001 0.0542193 -0.0547963 0.0424448 0.0314534 -0.03165 -0.0315989 0
0.08 0.0787924 -0.0552399 0.0544282 -0.055027 0.0431718 0.0319129 -0.0321218 -0.0320674 0
0.082 0.0785454 -0.0555114 0.0546697 -0.0552903 0.0438792 0.0323681 -0.0325896 -0.0325319 0
0.084 0.0782658 -0.0558154 0.0549439 -0.0555861 0.044567 0.0328196 -0.0330541 -0.032993 0
0.086 0.0779535 -0.0561522 0.055251 -0.0559147 0.0452347 0.0332682 -0.033516 -0.0334514 0
0.088 0.0776084 -0.0565216 0.0555911 -0.056276 0.0458822 0.0337147 -0.0339762 -0.0339079 0
0.09 0.0772305 -0.0569238 0.0559641 -0.05667 0.0465091 0.0341596 -0.0344351 -0.0343631 0
0.092 0.0768198 -0.0573586 0.0563701 -0.0570967 0.0471154 0.0346039 -0.0348936 -0.0348178 0
0.094 0.0763764 -0.0578261 0.056809 -0.057556 0.0477006 0.035048 -0.0353522 -0.0352726 0
0.096 0.0759004 -0.0583259 0.0572808 -0.0580479 0.0482646 0.0354926 -0.0358117 -0.0357281 0
0.098 0.0753918 -0.0588581 0.0577853 -0.0585721 0.0488071 0.0359385 -0.0362726 -0.036185 0
0.1 0.0748509 -0.0594223 0.0583224 -0.0591285 0.049328 0.0363861 -0.0367356 -0.0366438 0
0.102 0.0742778 -0.0600184 0.058892 -0.0597169 0.049827 0.0368363 -0.0372013 -0.0371053 0
0.104 0.0736728 -0.0606461 0.0594937 -0.060337 0.0503039 0.0372894 -0.0376702 -0.0375699 0
0.106 0.0730361 -0.0613051 0.0601273 -0.0609884 0.0507585 0.0377462 -0.0381429 -0.0380383 0
0.108 0.0723681 -0.061995 0.0607925 -0.061671 0.0511907 0.0382071 -0.0386199 -0.038511 0
0.11 0.0716692 -0.0627155 0.061489 -0.0623842 0.0516003 0.0386727 -0.0391018 -0.0389884 0
0.112 0.0709396 -0.0634661 0.0622164 -0.0631277 0.0519871 0.0391436 -0.0395891 -0.0394712 0
0.114 0.0701799 -0.0642463 0.0629743 -0.063901 0.0523509 0.0396202 -0.0400823 -0.0399598 0
0.116 0.0693905 -0.0650557 0.0637621 -0.0647037 0.0526917 0.0401031 -0.0405817 -0.0404547 0
0.118 0.0685718 -0.0658937 0.0645795 -0.0655352 0.0530093 0.0405926 -0.041088 -0.0409563 0
0.12 0.0677245 -0.0667599 0.0654259 -0.066395 0.0533036 0.0410892 -0.0416014 -0.0414651 0
0.122 0.066849 -0.0676534 0.0663007 -0.0672824 0.0535745 0.0415935 -0.0421224 -0.0419814 0
0.124 0.0659461 -0.0685738 0.0672033 -0.068197 0.053822 0.0421057 -0.0426515 -0.0425057 0
0.126 0.0650162 -0.0695204 0.0681331 -0.0691379 0.0540459 0.0426262 -0.0431889 -0.0430384 0
0.128 0.0640602 -0.0704925 0.0690895 -0.0701045 0.0542461 0.0431555 -0.0437349 -0.0435797 0
