time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0 0.0663633 -0.0672998 0.0661002 -0.0661002 0.0013279 0.00132264 -0.0013456 -0.00132161 3.39701e-05
0.002 0.0660023 -0.0678976 0.0655024 -0.0655024 0.0026214 0.00260624 -0.00267661 -0.0026052 7.21724e-05
0.004 0.0656179 -0.0684922 0.0649078 -0.0649078 0.00388134 0.00385229 -0.0039929 -0.00385122 0.000116155
0.006 0.0652107 -0.0690825 0.0643175 -0.0643175 0.00510795 0.00506161 -0.00529465 -0.00506051 0.000167559
0.008 0.0647816 -0.0696674 0.0637326 -0.0637326 0.00630145 0.00623506 -0.00658207 -0.00623391 0.000228053
0.01 0.0643313 -0.0702458 0.0631541 -0.0631542 0.00746207 0.00737347 -0.00785529 -0.00737227 0.000299307
0.012 0.0638608 -0.0708165 0.0625834 -0.0625834 0.00859007 0.00847769 -0.00911447 -0.00847645 0.000382618
0.014 0.0633707 -0.0713786 0.0620213 -0.0620213 0.00968571 0.00954859 -0.0103597 -0.00954729 0.000477991
0.016 0.0628621 -0.0719308 0.061469 -0.061469 0.0107493 0.010587 -0.0115911 -0.0105857 0.000585399
0.018 0.0623358 -0.0724722 0.0609276 -0.0609275 0.011781 0.0115939 -0.0128086 -0.0115925 0.000704786
0.02 0.0617928 -0.0730017 0.0603981 -0.060398 0.0127813 0.01257 -0.0140124 -0.0125685 0.000836084
0.022 0.0612339 -0.0735182 0.0598815 -0.0598813 0.0137504 0.0135162 -0.0152025 -0.0135147 0.000979212
0.024 0.0606602 -0.0740207 0.0593789 -0.0593786 0.0146886 0.0144335 -0.0163788 -0.014432 0.00113408
0.026 0.0600726 -0.0745083 0.0588913 -0.0588909 0.0155963 0.0153227 -0.0175414 -0.0153211 0.0013006
0.028 0.0594721 -0.0749798 0.0584196 -0.0584191 0.0164738 0.0161847 -0.0186901 -0.016183 0.00147867
0.03 0.0588597 -0.0754344 0.0579649 -0.0579642 0.0173216 0.0170203 -0.0198249 -0.0170186 0.00166817
0.032 0.0582365 -0.0758712 0.0575281 -0.0575271 0.0181399 0.0178305 -0.0209458 -0.0178287 0.001869
0.034 0.0576035 -0.076289 0.0571101 -0.0571089 0.0189292 0.0186161 -0.0220526 -0.0186143 0.00208104
0.036 0.0569617 -0.0766872 0.0567118 -0.0567102 0.0196898 0.019378 -0.0231452 -0.0193761 0.00230416
0.038 0.0563122 -0.0770647 0.0563341 -0.0563322 0.0204223 0.0201172 -0.0242236 -0.0201152 0.00253822
0.04 0.055656 -0.0774208 0.0559779 -0.0559755 0.021127 0.0208344 -0.0252874 -0.0208324 0.00278305
0.042 0.0549943 -0.0777545 0.055644 -0.0556411 0.0218044 0.0215306 -0.0263367 -0.0215285 0.00303848
0.044 0.0543282 -0.0780651 0.0553332 -0.0553297 0.0224549 0.0222067 -0.0273713 -0.0222045 0.00330434
0.046 0.0536586 -0.0783518 0.0550463 -0.0550422 0.023079 0.0228635 -0.0283908 -0.0228612 0.00358047
0.048 0.0529868 -0.0786138 0.0547841 -0.0547792 0.0236771 0.0235019 -0.0293952 -0.0234995 0.00386672
