amplitudeForeHip amplitudeHindHip offsetForeHip offsetHindHip amplitudeForeKnee amplitudeHindKnee offsetKnee kneePhaseLag frequency duration distance angle
0.2 0.2 -0.05 -0.15 0 0 0 0 2 10 0.744738 0.998517 
0.2 0.2 -0.05 -0.15 0 0 0 0.25 2 10 0.766707 0.998969 
0.2 0.2 -0.05 -0.15 0 0 0 0.5 2 10 0.644605 0.998342 
0.2 0.2 -0.05 -0.15 0 0 0 0.75 2 10 0.364313 0.172475 
0.2 0.2 -0.05 -0.15 0 0 0 1 2 10 0.748956 0.99111 
0.2 0.2 -0.05 -0.1 0 0 0 0 2 10 0.718527 0.99837 
0.2 0.2 -0.05 -0.1 0 0 0 0.25 2 10 0.730995 0.997651 
0.2 0.2 -0.05 -0.1 0 0 0 0.5 2 10 0.740672 0.990783 
0.2 0.2 -0.05 -0.1 0 0 0 0.75 2 10 0.65911 0.992405 
0.2 0.2 -0.05 -0.1 0 0 0 1 2 10 0.747659 0.988077 
0.2 0.2 -0.05 -0.05 0 0 0 0 2 10 0.710726 0.991829 
0.2 0.2 -0.05 -0.05 0 0 0 0.25 2 10 0.69707 0.975865 
0.2 0.2 -0.05 -0.05 0 0 0 0.5 2 10 0.6953 0.9902 
0.2 0.2 -0.05 -0.05 0 0 0 0.75 2 10 0.701745 0.99127 
0.2 0.2 -0.05 -0.05 0 0 0 1 2 10 0.705838 0.990578 
0.2 0.2 -0.05 1.38778e-17 0 0 0 0 2 10 0.653387 0.99051 
0.2 0.2 -0.05 1.38778e-17 0 0 0 0.25 2 10 0.679204 0.990021 
0.2 0.2 -0.05 1.38778e-17 0 0 0 0.5 2 10 0.66756 0.990026 
0.2 0.2 -0.05 1.38778e-17 0 0 0 0.75 2 10 0.684761 0.980829 
0.2 0.2 -0.05 1.38778e-17 0 0 0 1 2 10 0.687546 0.98311 
0.2 0.2 -0.05 0.05 0 0 0 0 2 10 0.672504 0.993306 
0.2 0.2 -0.05 0.05 0 0 0 0.25 2 10 0.681715 0.877243 
0.2 0.2 -0.05 0.05 0 0 0 0.5 2 10 0.523654 0.976802 
0.2 0.2 -0.05 0.05 0 0 0 0.75 2 10 0.677274 0.986069 
0.2 0.2 -0.05 0.05 0 0 0 1 2 10 0.555061 0.172789 
0.2 0.2 0 -0.15 0 0 0 0 2 10 0.703387 0.976479 
0.2 0.2 0 -0.15 0 0 0 0.25 2 10 0.676473 0.999354 
0.2 0.2 0 -0.15 0 0 0 0.5 2 10 0.661494 0.999467 
0.2 0.2 0 -0.15 0 0 0 0.75 2 10 0.682423 0.982497 
0.2 0.2 0 -0.15 0 0 0 1 2 10 0.692585 0.991661 
0.2 0.2 0 -0.1 0 0 0 0 2 10 0.669017 0.993281 
0.2 0.2 0 -0.1 0 0 0 0.25 2 10 0.652388 0.992294 
0.2 0.2 0 -0.1 0 0 0 0.5 2 10 0.657487 0.992037 
0.2 0.2 0 -0.1 0 0 0 0.75 2 10 0.668896 0.992778 
0.2 0.2 0 -0.1 0 0 0 1 2 10 0.645768 0.991974 
0.2 0.2 0 -0.05 0 0 0 0 2 10 0.63113 0.991866 
0.2 0.2 0 -0.05 0 0 0 0.25 2 10 0.615635 0.990922 
0.2 0.2 0 -0.05 0 0 0 0.5 2 10 0.620094 0.990618 
0.2 0.2 0 -0.05 0 0 0 0.75 2 10 0.619764 0.990894 
0.2 0.2 0 -0.05 0 0 0 1 2 10 0.617807 0.990972 
0.2 0.2 0 1.38778e-17 0 0 0 0 2 10 0.651498 0.991009 
0.2 0.2 0 1.38778e-17 0 0 0 0.25 2 10 0.655368 0.990271 
0.2 0.2 0 1.38778e-17 0 0 0 0.5 2 10 0.653178 0.990529 
0.2 0.2 0 1.38778e-17 0 0 0 0.75 2 10 0.652676 0.990511 
0.2 0.2 0 1.38778e-17 0 0 0 1 2 10 0.651984 0.990879 
0.2 0.2 0 0.05 0 0 0 0 2 10 0.535548 0.996937 
0.2 0.2 0 0.05 0 0 0 0.25 2 10 0.530774 0.990329 
0.2 0.2 0 0.05 0 0 0 0.5 2 10 0.539432 0.996118 
0.2 0.2 0 0.05 0 0 0 0.75 2 10 0.53773 0.996074 
0.2 0.2 0 0.05 0 0 0 1 2 10 0.538947 0.988602 
0.2 0.2 0.05 -0.15 0 0 0 0 2 10 0.595477 0.99821 
0.2 0.2 0.05 -0.15 0 0 0 0.25 2 10 0.614441 0.996116 
0.2 0.2 0.05 -0.15 0 0 0 0.5 2 10 0.614836 0.999526 
0.2 0.2 0.05 -0.15 0 0 0 0.75 2 10 0.612196 0.999617 
0.2 0.2 0.05 -0.15 0 0 0 1 2 10 0.60707 0.999631 
0.2 0.2 0.05 -0.1 0 0 0 0 2 10 0.606628 0.994146 
0.2 0.2 0.05 -0.1 0 0 0 0.25 2 10 0.609608 0.99304 
0.2 0.2 0.05 -0.1 0 0 0 0.5 2 10 0.601757 0.996429 
0.2 0.2 0.05 -0.1 0 0 0 0.75 2 10 0.595484 0.999681 
0.2 0.2 0.05 -0.1 0 0 0 1 2 10 0.609095 0.993148 
0.2 0.2 0.05 -0.05 0 0 0 0 2 10 0.57595 0.999759 
0.2 0.2 0.05 -0.05 0 0 0 0.25 2 10 0.596446 0.992336 
0.2 0.2 0.05 -0.05 0 0 0 0.5 2 10 0.577234 0.999713 
0.2 0.2 0.05 -0.05 0 0 0 0.75 2 10 0.583546 0.999733 
0.2 0.2 0.05 -0.05 0 0 0 1 2 10 0.598283 0.992373 
0.2 0.2 0.05 1.38778e-17 0 0 0 0 2 10 0.545385 0.990827 
0.2 0.2 0.05 1.38778e-17 0 0 0 0.25 2 10 0.493527 0.998025 
0.2 0.2 0.05 1.38778e-17 0 0 0 0.5 2 10 0.495861 0.999478 
0.2 0.2 0.05 1.38778e-17 0 0 0 0.75 2 10 0.485124 0.999393 
0.2 0.2 0.05 1.38778e-17 0 0 0 1 2 10 0.554104 0.990007 
0.2 0.2 0.05 0.05 0 0 0 0 2 10 0.535923 0.991322 
0.2 0.2 0.05 0.05 0 0 0 0.25 2 10 0.538539 0.990637 
0.2 0.2 0.05 0.05 0 0 0 0.5 2 10 0.538061 0.990381 
0.2 0.2 0.05 0.05 0 0 0 0.75 2 10 0.536862 0.990665 
0.2 0.2 0.05 0.05 0 0 0 1 2 10 0.537188 0.989561 
0.2 0.2 0.1 -0.15 0 0 0 0 2 10 0.571337 0.987477 
0.2 0.2 0.1 -0.15 0 0 0 0.25 2 10 0.564586 0.997814 
0.2 0.2 0.1 -0.15 0 0 0 0.5 2 10 0.562972 0.99783 
0.2 0.2 0.1 -0.15 0 0 0 0.75 2 10 0.560309 0.999344 
0.2 0.2 0.1 -0.15 0 0 0 1 2 10 0.563629 0.997971 
0.2 0.2 0.1 -0.1 0 0 0 0 2 10 0.551698 0.997991 
0.2 0.2 0.1 -0.1 0 0 0 0.25 2 10 0.52837 0.999555 
0.2 0.2 0.1 -0.1 0 0 0 0.5 2 10 0.564969 0.992135 
0.2 0.2 0.1 -0.1 0 0 0 0.75 2 10 0.554902 0.992402 
0.2 0.2 0.1 -0.1 0 0 0 1 2 10 0.56335 0.992025 
0.2 0.2 0.1 -0.05 0 0 0 0 2 10 0.486952 0.99317 
0.2 0.2 0.1 -0.05 0 0 0 0.25 2 10 0.498503 0.998444 
0.2 0.2 0.1 -0.05 0 0 0 0.5 2 10 0.48514 0.998695 
0.2 0.2 0.1 -0.05 0 0 0 0.75 2 10 0.502293 0.991999 
0.2 0.2 0.1 -0.05 0 0 0 1 2 10 0.506098 0.992055 
0.2 0.2 0.1 1.38778e-17 0 0 0 0 2 10 0.424492 0.999826 
0.2 0.2 0.1 1.38778e-17 0 0 0 0.25 2 10 0.430744 0.995442 
0.2 0.2 0.1 1.38778e-17 0 0 0 0.5 2 10 0.438066 0.991329 
0.2 0.2 0.1 1.38778e-17 0 0 0 0.75 2 10 0.43236 0.991487 
0.2 0.2 0.1 1.38778e-17 0 0 0 1 2 10 0.424625 0.999485 
0.2 0.2 0.1 0.05 0 0 0 0 2 10 0.448132 0.999871 
0.2 0.2 0.1 0.05 0 0 0 0.25 2 10 0.486843 0.991183 
0.2 0.2 0.1 0.05 0 0 0 0.5 2 10 0.468839 0.990796 
0.2 0.2 0.1 0.05 0 0 0 0.75 2 10 0.469174 0.990447 
0.2 0.2 0.1 0.05 0 0 0 1 2 10 0.470674 0.990666 
0.2 0.2 0.15 -0.15 0 0 0 0 2 10 0.495912 0.999385 
0.2 0.2 0.15 -0.15 0 0 0 0.25 2 10 0.502905 0.998559 
0.2 0.2 0.15 -0.15 0 0 0 0.5 2 10 0.502089 0.998553 
0.2 0.2 0.15 -0.15 0 0 0 0.75 2 10 0.504281 0.998483 
0.2 0.2 0.15 -0.15 0 0 0 1 2 10 0.501954 0.998521 
0.2 0.2 0.15 -0.1 0 0 0 0 2 10 0.482018 0.998588 
0.2 0.2 0.15 -0.1 0 0 0 0.25 2 10 0.49212 0.998963 
0.2 0.2 0.15 -0.1 0 0 0 0.5 2 10 0.496069 0.999006 
0.2 0.2 0.15 -0.1 0 0 0 0.75 2 10 0.493606 0.999005 
0.2 0.2 0.15 -0.1 0 0 0 1 2 10 0.496576 0.999018 
0.2 0.2 0.15 -0.05 0 0 0 0 2 10 0.439264 0.993784 
0.2 0.2 0.15 -0.05 0 0 0 0.25 2 10 0.437801 0.999428 
0.2 0.2 0.15 -0.05 0 0 0 0.5 2 10 0.436061 0.998075 
0.2 0.2 0.15 -0.05 0 0 0 0.75 2 10 0.436516 0.999288 
0.2 0.2 0.15 -0.05 0 0 0 1 2 10 0.436183 0.998102 
0.2 0.2 0.15 1.38778e-17 0 0 0 0 2 10 0.403173 0.995497 
0.2 0.2 0.15 1.38778e-17 0 0 0 0.25 2 10 0.413091 0.993187 
0.2 0.2 0.15 1.38778e-17 0 0 0 0.5 2 10 0.412871 0.993053 
0.2 0.2 0.15 1.38778e-17 0 0 0 0.75 2 10 0.411557 0.992996 
0.2 0.2 0.15 1.38778e-17 0 0 0 1 2 10 0.412218 0.992956 
0.2 0.2 0.15 0.05 0 0 0 0 2 10 0.437633 0.994103 
0.2 0.2 0.15 0.05 0 0 0 0.25 2 10 0.410833 0.999912 
0.2 0.2 0.15 0.05 0 0 0 0.5 2 10 0.424432 0.992294 
0.2 0.2 0.15 0.05 0 0 0 0.75 2 10 0.419259 0.999903 
0.2 0.2 0.15 0.05 0 0 0 1 2 10 0.426389 0.992374 
0.2 0.2 -0.05 -0.15 0 0.25 0 0 2 10 0.679585 0.990192 
0.2 0.2 -0.05 -0.15 0 0.25 0 0.25 2 10 0.65699 0.995112 
0.2 0.2 -0.05 -0.15 0 0.25 0 0.5 2 10 0.708366 0.986098 
0.2 0.2 -0.05 -0.15 0 0.25 0 0.75 2 10 0.72177 0.997528 
0.2 0.2 -0.05 -0.15 0 0.25 0 1 2 10 0.650152 0.983751 
0.2 0.2 -0.05 -0.1 0 0.25 0 0 2 10 0.572159 0.98157 
0.2 0.2 -0.05 -0.1 0 0.25 0 0.25 2 10 0.258091 0.995638 
0.2 0.2 -0.05 -0.1 0 0.25 0 0.5 2 10 0.656375 0.983411 
0.2 0.2 -0.05 -0.1 0 0.25 0 0.75 2 10 0.693806 0.948021 
0.2 0.2 -0.05 -0.1 0 0.25 0 1 2 10 0.255362 0.996252 
0.2 0.2 -0.05 -0.05 0 0.25 0 0 2 10 0.641151 0.984746 
0.2 0.2 -0.05 -0.05 0 0.25 0 0.25 2 10 0.584414 0.983889 
0.2 0.2 -0.05 -0.05 0 0.25 0 0.5 2 10 0.57534 0.97362 
0.2 0.2 -0.05 -0.05 0 0.25 0 0.75 2 10 0.71341 0.984421 
0.2 0.2 -0.05 -0.05 0 0.25 0 1 2 10 0.324115 0.994397 
0.2 0.2 -0.05 1.38778e-17 0 0.25 0 0 2 10 0.233509 0.173651 
0.2 0.2 -0.05 1.38778e-17 0 0.25 0 0.25 2 10 0.535861 0.987544 
0.2 0.2 -0.05 1.38778e-17 0 0.25 0 0.5 2 10 0.615396 0.981288 
0.2 0.2 -0.05 1.38778e-17 0 0.25 0 0.75 2 10 0.573821 0.985615 
0.2 0.2 -0.05 1.38778e-17 0 0.25 0 1 2 10 0.210885 0.990112 
0.2 0.2 -0.05 0.05 0 0.25 0 0 2 10 0.56042 0.994576 
0.2 0.2 -0.05 0.05 0 0.25 0 0.25 2 10 0.262969 0.173504 
0.2 0.2 -0.05 0.05 0 0.25 0 0.5 2 10 0.572015 0.99621 
0.2 0.2 -0.05 0.05 0 0.25 0 0.75 2 10 0.587563 0.983412 
0.2 0.2 -0.05 0.05 0 0.25 0 1 2 10 0.602067 0.98986 
0.2 0.2 0 -0.15 0 0.25 0 0 2 10 0.609864 0.990307 
0.2 0.2 0 -0.15 0 0.25 0 0.25 2 10 0.577821 0.984816 
0.2 0.2 0 -0.15 0 0.25 0 0.5 2 10 0.282442 0.995229 
0.2 0.2 0 -0.15 0 0.25 0 0.75 2 10 0.580583 0.996501 
0.2 0.2 0 -0.15 0 0.25 0 1 2 10 0.572692 0.992559 
0.2 0.2 0 -0.1 0 0.25 0 0 2 10 0.594483 0.982565 
0.2 0.2 0 -0.1 0 0.25 0 0.25 2 10 0.579552 0.996999 
0.2 0.2 0 -0.1 0 0.25 0 0.5 2 10 0.552708 0.99584 
0.2 0.2 0 -0.1 0 0.25 0 0.75 2 10 0.581259 0.988484 
0.2 0.2 0 -0.1 0 0.25 0 1 2 10 0.575679 0.991506 
0.2 0.2 0 -0.05 0 0.25 0 0 2 10 0.508387 0.979108 
0.2 0.2 0 -0.05 0 0.25 0 0.25 2 10 0.550879 0.976491 
0.2 0.2 0 -0.05 0 0.25 0 0.5 2 10 0.612428 0.997323 
0.2 0.2 0 -0.05 0 0.25 0 0.75 2 10 0.603498 0.993267 
