distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
3.74198e-05 512 1638.4 1.71367 17.99 0.0678267 17.7593 5836.8 1638.4
7.97207e-05 512 1638.4 3.01704 15.7304 1.27816 16.685 5836.8 1638.4
0.00013018 0 0 3.06081 14.1671 1.44877 15.227 0 0
0.000213771 0 0 7.58559 4.57576 1.58686 9.07296 0 0
0.000346419 0 0 4.95766 9.68677 11.4762 3.31132 0 0
0.000506698 0 0 5.97943 10.1937 5.27464 1.20164 0 0
0.000687075 0 0 5.15371 9.43493 2.49141 0.891397 0 0
0.000883526 0 0 4.15063 8.49372 1.58237 1.24519 0 0
0.00109358 0 0 3.21895 7.69576 1.37202 1.82806 0 0
0.00131584 0 0 2.48452 7.13382 1.46672 2.4441 0 0
0.0015499 0 0 1.95293 6.11988 1.6708 2.87967 0 0
0.00179467 0 0 1.32436 4.15268 1.72969 3.11173 0 0
0.00204799 0 0 0.617415 1.83241 1.69005 3.26152 0 0
0.00230767 0 0 6.4 0.0434555 1.68624 3.2936 0 0
0.00257277 0 0 928 0.225 1.76514 3.48473 0 0
0.00284307 0 0 928 0.225 2.0096 3.69269 0 0
0.00311851 0 0 928 0.225 2.2454 3.88823 0 0
0.0033992 0 0 6.4 0.037385 2.45176 4.06653 0 0
0.00368993 0 0 1.30419 3.8201 2.95721 4.69056 0 0
0.00399837 0 0 3.08514 8.62581 3.92818 6.04656 0 0
0.00432747 0 0 4.57013 12.977 3.04991 6.21703 0 0
0.00467664 0 0 5.50898 15.4211 1.60926 6.92745 0 0
0.00504727 0 0 5.66279 15.7491 1.65717 7.33975 0 0
0.00543682 0 0 4.55338 12.9437 1.66124 7.32896 0 0
0.00584261 0 0 3.84136 10.7279 1.64317 7.18435 0 0
0.00626265 0 0 3.3455 9.16837 1.61544 6.99682 0 0
0.00669528 0 0 2.88456 7.8387 1.58134 6.78889 0 0
0.00713876 0 0 2.55484 6.88214 1.54767 6.62549 0 0
0.00759199 0 0 2.38179 6.35901 1.51709 6.511 0 0
0.00805446 0 0 2.31418 6.1451 1.48945 6.4345 0 0
0.00852548 0 0 2.09509 5.6494 1.44651 6.24848 0 0
0.00900441 0 0 1.91194 5.2167 1.36319 5.79351 0 0
0.00949066 0 0 1.74025 4.83588 1.28111 5.41665 0 0
0.00998375 0 0 1.57527 4.49328 1.20123 5.10347 0 0
0.0104832 0 0 1.413 4.1779 1.12238 4.84153 0 0
0.0109885 0 0 1.25 3.88042 1.04385 4.62174 0 0
0.0114991 0 0 1.08344 3.59346 0.965123 4.4372 0 0
0.0120145 0 0 0.911055 3.31153 0.885798 4.28257 0 0
0.0125342 0 0 0.731098 3.03069 0.805597 4.15362 0 0
0.0130575 0 0 0.542181 2.74823 0.724323 4.047 0 0
0.0135836 0 0 0.343207 2.46235 0.641849 3.96006 0 0
0.0141121 0 0 6.56541 2.25273 0.55939 3.89735 0 0
0.0146422 0 0 6.38383 2.05336 0.476965 3.8563 0 0
0.0151731 0 0 6.18034 1.82057 0.393979 3.83203 0 0
0.0157042 0 0 5.95628 1.56075 0.310065 3.82131 0 0
0.0162344 0 0 5.71262 1.27882 0.225122 3.82249 0 0
0.0167629 0 0 5.45004 0.978743 0.139154 3.83468 0 0
0.0172887 0 0 5.16615 0.663695 0.0522701 3.85754 0 0
0.0178106 0 0 4.75542 0.336479 -0.0354255 3.89068 0 0
0.0183276 0 0 928 0.225 -0.123483 3.93436 0 0
0.0188389 0 0 928 0.225 -0.206135 4.00952 0 0
0.0193439 0 0 921.6 0.225 -0.285078 4.10709 0 0
0.0198419 0 0 921.6 0.225 -0.359855 4.22546 0 0
0.0203321 0 0 921.6 0.225 -0.430699 4.36207 0 0
0.0208247 0 0 921.6 0.225 -1.08341 2.65962 2.91886 23.7225
0.021321 0 0 921.6 0.225 1.13137 1640.59 4.60974 29.3067
0.0218185 0 0 0 0 -0.934672 3.19948 3.44424 20.786
0.0223186 0 0 0 0 -0.802468 3.74941 2.79148 15.7399
0.0228207 0 0 921.6 0.225 -0.958697 3.42233 2.69758 13.6347
0.0233205 0 0 921.6 0.225 -0.791702 4.00755 2.14871 10.4863
0.0238203 0 0 0 0 -0.662298 4.50823 1.91129 8.53648
0.0243222 0 0 0 0 -0.699231 4.54889 1.91574 7.75212
0.0248261 0 0 921.6 0.225 -0.902497 4.18213 2.33943 8.8453
0.0253284 0 0 921.6 0.225 -0.861043 4.46586 2.17569 7.62412
0.0258295 0 0 0 0 -0.788944 4.77538 1.00373 3.81595
0.0263283 0 0 921.6 0.225 -0.735882 5.07729 512 0.753837
0.0268208 0 0 0 0 -0.677061 5.53662 921.6 1696
0.0273092 0 0 0 0 -0.745778 5.59793 921.6 1696
0.0277929 0 0 921.6 0.225 -0.868496 5.50106 1433.6 57.6
0.0282684 0 0 921.6 0.225 -0.824848 5.87646 1433.6 57.6
0.0287365 0 0 0 0 -0.82979 6.11212 921.6 1696
0.0291978 0 0 921.6 0.225 -0.985743 5.94844 1433.6 57.6
0.0296512 0 0 0 0 -0.994706 6.17361 921.6 1696
0.0300971 0 0 921.6 0.225 -1.18052 5.95938 921.6 57.6
0.0305333 0 0 921.6 0.225 -1.19365 6.17682 921.6 57.6
0.0309595 0 0 921.6 0.225 -1.23128 6.33287 0 0
0.0313771 0 0 0 0 -1.26082 6.50456 0 0
0.0317856 0 0 928 0.225 -1.51901 6.16945 0 0
0.0321831 0 0 928 0.225 -1.53186 6.39564 0 0
0.032569 0 0 928 0.225 -1.56687 6.56934 0 0
0.0329432 0 0 928 0.225 -1.60793 6.72956 0 0
0.0333053 0 0 921.6 0.225 -1.65238 6.88389 0 0
0.0336574 0 0 0 0 -1.64947 7.12698 0 0
0.0340022 0 0 920.198 2.46102 -1.89499 6.88501 0 0
0.0343367 0 0 921.121 1.73027 -1.85258 7.2185 0 0
0.0346983 29.5701 99.6756 928 0.225 921.6 1696 0 0
0.0350665 19.8145 69.1522 928 0.225 921.6 1696 0 0
0.0354298 13.7333 47.7328 921.6 0.225 0 0 0 0
0.035788 10.2082 34.9557 0 0 928 0.225 0 0
0.0361325 8.26891 27.7964 928 0.225 0 0 0 0
0.0364687 5.77371 19.4037 0 0 0 0 0 0
0.0367961 5.58151 18.9471 928 0.225 921.6 1696 0 0
0.0371049 5.27231 16.4837 0 0 0 0 0 0
0.0374422 5.16267 16.9071 928 0.225 921.6 1696 12.3607 27.1876
0.0377817 6.05915 18.5976 921.6 0.225 0 0 8.07601 17.4421
0.0381351 5.29328 16.9676 0 0 0 0 6.92911 14.6527
0.0385091 5.27955 17.0932 0 0 928 0.225 5.80614 12.6617
0.038886 4.78329 15.6154 928 0.225 0 0 6.50928 13.7301
0.0392765 4.41016 14.9999 0 0 0 0 6.95126 14.3563
0.0396834 4.12763 14.1965 928 0.225 0 0 7.01763 14.5622
0.0401063 4.28621 15.2027 0 0 928 0.225 4.92547 11.2774
0.0405329 3.93562 14.2488 0 0 0 0 3.56196 8.94484
0.040971 3.40228 12.816 0 0 0 0 3.22678 8.42218
0.0414217 3.03323 11.9212 928 0.225 0 0 4.12243 10.1266
0.0418794 2.8509 11.9176 0 0 0 0 2.70955 8.09223
0.0423512 2.8629 12.2028 0 0 921.6 0.225 2.44986 7.72157
0.0428265 2.67152 11.8548 0 0 0 0 2.00135 7.13537
0.043311 2.3468 11.1461 0 0 0 0 1.96502 7.21159
0.0438064 2.08896 10.6557 921.6 0.225 0 0 2.39316 8.13421
0.0443085 1.9685 10.7117 0 0 0 0 1.64528 7.15203
0.0448195 1.80668 10.4878 0 0 0 0 1.41258 6.85307
0.04534 1.61079 10.1994 0 0 0 0 1.43598 6.71981
0.04587 1.41665 9.92732 0 0 0 0 1.46793 6.61622
0.0464094 1.23443 9.69682 0 0 0 0 1.48525 6.49326
0.0469577 1.16495 9.4961 0 0 0 0 1.48404 6.34029
0.0475143 1.17933 9.30297 0 0 0 0 1.47198 6.16874
0.0480792 1.19089 9.10595 0 0 0 0 1.45624 5.992
0.048652 1.19812 8.90113 0 0 0 0 1.43838 5.81458
0.0492327 1.20071 8.68846 0 0 0 0 1.41863 5.63772
0.0498211 1.1989 8.46939 0 0 0 0 1.39674 5.46152
0.0504172 1.19311 8.24581 0 0 0 0 1.37238 5.28582
0.0510207 1.18391 8.01994 0 0 0 0 1.34501 5.11001
0.0516316 1.17166 7.7933 0 0 0 0 1.3146 4.93439
0.0522497 1.15662 7.56709 0 0 0 0 1.28132 4.75958
0.0528749 1.13912 7.34267 0 0 0 0 1.24509 4.58567
0.053507 1.11949 7.12146 0 0 0 0 1.20683 4.41415
0.0541458 1.09785 6.90413 0 0 0 0 1.16523 4.24346
0.0547911 1.07429 6.69106 0 0 0 0 1.12005 4.07363
0.0554427 1.04912 6.48348 0 0 0 0 1.07176 3.90543
0.0561005 1.02251 6.28212 0 0 0 0 1.02024 3.73896
0.0567641 0.994698 6.08776 0 0 0 0 0.965315 3.5742
0.0574334 0.965438 5.90009 0 0 0 0 0.907428 3.41192
0.058108 0.935207 5.72045 0 0 0 0 0.84653 3.25201
0.0587878 0.90354 5.54793 0 0 0 0 0.782219 3.09429
0.0594725 0.872195 5.38721 0 0 0 0 922.357 60.6099
0.060162 0.840408 5.23556 0 0 0 0 922.321 60.5162
0.0608561 0.807511 5.09123 0 0 0 0 922.272 60.4063
0.0615545 0.77294 4.95281 0 0 0 0 922.21 60.2847
0.062257 0.737124 4.82131 0 0 0 0 922.138 60.1546
0.0629632 0.69995 4.69668 0 0 0 0 922.058 60.0188
0.0636727 0.661421 4.57898 0 0 0 0 921.969 59.8791
0.0643853 0.621579 4.46829 0 0 0 0 921.874 59.737
0.0651004 0.580485 4.36474 0 0 0 0 921.771 59.5935
0.0658177 0.538206 4.26844 0 0 0 0 921.662 59.4494
0.0665368 0.494812 4.17947 0 0 0 0 921.547 59.3052
0.0672573 6.86701 4.13871 0 0 0 0 -0.172188 1.56328
0.0679787 6.84396 4.11845 0 0 0 0 -0.297022 1.42339
0.0687006 6.81293 4.08782 0 0 0 0 -0.429099 1.28366
0.0694225 6.77512 4.05019 0 0 0 0 -0.569048 1.14325
0.0701439 6.73171 4.00847 0 0 0 0 -0.717276 1.00172
0.0708642 6.68371 3.96518 0 0 0 0 -0.874046 0.858963
0.0715828 6.63205 3.92248 0 0 0 0 -1.03954 0.715
0.0722992 6.57755 3.88217 0 0 0 0 -1.21388 0.569967
0.0730126 6.52094 3.84576 0 0 0 0 -1.3972 0.424052
0.0737224 6.46284 3.8145 0 0 0 0 -1.58962 0.277462
0.0744279 6.40383 3.78939 0 0 0 0 -1.79125 0.130413
0.0751284 6.34464 3.77188 0 0 0 0 2.66438e-14 1638.4
0.0758235 6.28736 3.76704 0 0 0 0 2.66438e-14 1638.4
0.0765127 -0.167409 3.77363 0 0 0 0 6.4 2.22233e-17
0.0771956 -0.219546 3.79126 0 0 0 0 6.4 2.22233e-17
0.0778719 -0.268958 3.81954 0 0 0 0 6.4 2.22233e-17
0.0785409 -0.315559 3.85809 0 0 0 0 6.4 2.22233e-17
0.0791913 6.4 2.22233e-17 0 0 0.261765 33.4982 2.66438e-14 1638.4
0.0798198 6.4 2.22233e-17 0 0 0.570287 28.1954 2.66438e-14 1638.4
0.0804237 2.66438e-14 1638.4 0 0 0.858926 33.6522 921.6 57.6
0.081006 2.66438e-14 1638.4 0 0 0.416941 23.466 0 0
0.0815671 0 0 0 0 0.0594174 17.332 2.66438e-14 1638.4
0.0821047 2.66438e-14 1638.4 0 0 -0.122388 14.3899 921.6 57.6
0.0826183 0 0 0 0 -0.294149 11.4241 2.66438e-14 1638.4
0.0831175 0 0 0 0 -0.433395 9.2563 0 0
0.0835924 2.66438e-14 1638.4 0 0 -0.385325 10.0366 921.6 57.6
0.0840396 2.66438e-14 1638.4 0 0 -0.357737 10.1272 921.6 57.6
0.0844601 0 0 0 0 -0.3461 9.78162 2.66438e-14 1638.4
0.084862 2.66438e-14 1638.4 0 0 -0.185756 11.0199 0 0
0.0852342 0 0 0 0 -0.231543 10.1477 2.66438e-14 1638.4
0.0855767 2.66438e-14 1638.4 0 0 -0.0187192 11.9065 921.6 57.6
0.0858996 0 0 0 0 -0.0815139 10.9251 0 0
0.0861905 2.66438e-14 1638.4 0 0 0.19286 12.7483 921.6 57.6
0.086447 2.66438e-14 1638.4 0 0 0.326596 13.6107 921.6 57.6
0.0866707 0 0 0 0 0.380423 13.4751 2.66438e-14 1638.4
0.086874 2.66438e-14 1638.4 0 0 0.620343 14.7818 0 0
0.0870584 0 0 6.1597 30.812 1.02778 17.2785 921.6 57.6
0.0872399 921.6 57.6 5.35923 26.2787 1.43736 19.3103 0 0
0.0874001 921.6 57.6 4.97205 22.5634 1.89807 21.7304 512 1.91114e-14
0.0875495 0 0 5.91108 27.4399 2.02945 21.6195 512 1.91114e-14
0.0876987 512 1.91114e-14 4.72551 20.6303 2.25333 22.1122 0 0
0.0878301 0 0 4.11302 16.1753 2.32317 21.6752 512 1.91114e-14
0.0879558 512 1.91114e-14 3.69906 14.2311 2.33733 20.8758 0 0
