setKForeLeft setKHindLeft setKForeRight setKHindRight realKForeLeft realKHindLeft realKForeRight realKHindRight distance
0.8133 0.2 0.2 0.7067 0.0475534 0.0145728 0.0176408 0.0444854 3.74198e-05
0.8133 0.2 0.2 0.7067 0.0598253 -0.00230097 0.00460194 0.0536893 7.97207e-05
0.8133 0.2 0.2 0.7067 0.0690291 -0.0199418 -0.00843689 0.0605922 0.00013018
0.8133 0.2 0.2 0.7067 0.077466 -0.0168738 -0.0199418 0.0682621 0.000213771
0.8133 0.2 0.2 0.7067 0.0859029 -0.0153398 -0.0168738 0.076699 0.000346419
0.8133 0.2 0.2 0.7067 0.0935728 -0.0138058 -0.0153398 0.0851359 0.000506698
0.8133 0.2 0.2 0.7067 0.10201 -0.0122718 -0.0138058 0.0943398 0.000687075
0.8133 0.2 0.2 0.7067 0.10968 -0.0122718 -0.0122718 0.102777 0.000883526
0.8133 0.2 0.2 0.7067 0.118884 -0.0115049 -0.0122718 0.112748 0.00109358
0.8133 0.2 0.2 0.7067 0.128854 -0.0115049 -0.0115049 0.123485 0.00131584
0.8133 0.2 0.2 0.7067 0.140359 -0.00997088 -0.0115049 0.13499 0.0015499
0.8133 0.2 0.2 0.7067 0.152631 -0.00690291 -0.0107379 0.148796 0.00179467
0.8133 0.2 0.2 0.7067 0.166437 0 -0.0107379 0.163369 0.00204799
0.8133 0.2 0.2 0.7067 0.182544 0.00997088 -0.0107379 0.180243 0.00230767
0.8133 0.2 0.2 0.7067 0.199418 0.0222427 -0.0107379 0.197884 0.00257277
0.8133 0.2 0.2 0.7067 0.217058 0.0360485 -0.0107379 0.216291 0.00284307
0.8133 0.2 0.2 0.7067 0.236233 0.0498544 -0.0107379 0.237 0.00311851
0.8133 0.2 0.2 0.7067 0.256175 0.0644272 -0.0107379 0.257709 0.0033992
0.8133 0.2 0.2 0.7067 0.276884 0.077466 -0.0107379 0.279185 0.00368993
0.8133 0.2 0.2 0.7067 0.298359 0.0866699 -0.0107379 0.301427 0.00399837
0.8133 0.2 0.2 0.7067 0.320602 0.0935728 -0.0107379 0.322903 0.00432747
0.8133 0.2 0.2 0.7067 0.342845 0.0974078 -0.0107379 0.344379 0.00467664
0.8133 0.2 0.2 0.7067 0.365087 0.0997088 -0.00997088 0.366621 0.00504727
0.8133 0.2 0.2 0.7067 0.388864 0.101243 -0.00997088 0.388864 0.00543682
0.8133 0.2 0.2 0.7067 0.411874 0.102777 -0.00920388 0.411107 0.00584261
0.8133 0.2 0.2 0.7067 0.436418 0.105078 -0.00843689 0.431816 0.00626265
0.8133 0.2 0.2 0.7067 0.460961 0.107379 -0.00690291 0.452524 0.00669528
0.8133 0.2 0.2 0.7067 0.486272 0.10968 -0.00460194 0.470932 0.00713876
0.8133 0.2 0.2 0.7067 0.510049 0.113515 -0.00230097 0.48934 0.00759199
0.8133 0.2 0.2 0.7067 0.532291 0.116583 0.00076699 0.505447 0.00805446
0.8133 0.2 0.2 0.7067 0.553767 0.120417 0.00383495 0.520019 0.00852548
0.8133 0.2 0.2 0.7067 0.573709 0.125019 0.0076699 0.533825 0.00900441
0.8133 0.2 0.2 0.7067 0.59135 0.129621 0.0115049 0.546864 0.00949066
0.8133 0.2 0.2 0.7067 0.608223 0.13499 0.0168738 0.557602 0.00998375
0.8133 0.2 0.2 0.7067 0.623563 0.141126 0.0222427 0.56834 0.0104832
0.8133 0.2 0.2 0.7067 0.636602 0.148029 0.0291456 0.577544 0.0109885
0.8133 0.2 0.2 0.7067 0.649641 0.154932 0.0360485 0.585981 0.0114991
0.8133 0.2 0.2 0.7067 0.661146 0.162602 0.0437185 0.594418 0.0120145
0.8133 0.2 0.2 0.7067 0.671117 0.171039 0.0513884 0.60132 0.0125342
0.8133 0.2 0.2 0.7067 0.68032 0.180243 0.0605922 0.608223 0.0130575
0.8133 0.2 0.2 0.7067 0.689524 0.190214 0.0697961 0.614359 0.0135836
0.8133 0.2 0.2 0.7067 0.697194 0.200184 0.080534 0.619728 0.0141121
0.8133 0.2 0.2 0.7067 0.704864 0.211689 0.0912719 0.625097 0.0146422
0.8133 0.2 0.2 0.7067 0.711 0.223194 0.102777 0.629699 0.0151731
0.8133 0.2 0.2 0.7067 0.717136 0.236233 0.115049 0.633534 0.0157042
0.8133 0.2 0.2 0.7067 0.723272 0.249272 0.128087 0.638136 0.0162344
0.8133 0.2 0.2 0.7067 0.727874 0.263078 0.141126 0.641204 0.0167629
0.8133 0.2 0.2 0.7067 0.733243 0.277651 0.155699 0.645039 0.0172887
0.8133 0.2 0.2 0.7067 0.737845 0.293757 0.170272 0.648107 0.0178106
0.8133 0.2 0.2 0.7067 0.74168 0.309864 0.185612 0.651175 0.0183276
0.8133 0.2 0.2 0.7067 0.745515 0.326738 0.201718 0.653476 0.0188389
0.8133 0.2 0.2 0.7067 0.74935 0.345146 0.218592 0.655777 0.0193439
0.8133 0.2 0.2 0.7067 0.752418 0.363553 0.235466 0.658078 0.0198419
0.8133 0.2 0.2 0.7067 0.755486 0.382728 0.253107 0.660379 0.0203321
0.8133 0.2 0.2 0.7067 0.757787 0.401136 0.269981 0.665748 0.0208247
0.8133 0.2 0.2 0.7067 0.75932 0.419544 0.286087 0.669583 0.021321
0.8133 0.2 0.2 0.7067 0.760087 0.422612 0.302194 0.671117 0.0218185
0.8133 0.2 0.2 0.7067 0.760854 0.416476 0.316767 0.671884 0.0223186
0.8133 0.2 0.2 0.7067 0.762388 0.430282 0.332107 0.671117 0.0228207
0.8133 0.2 0.2 0.7067 0.763155 0.437952 0.347447 0.669583 0.0233205
0.8133 0.2 0.2 0.7067 0.764689 0.435651 0.362019 0.666515 0.0238203
0.8133 0.2 0.2 0.7067 0.766223 0.426447 0.376592 0.661913 0.0243222
0.8133 0.2 0.2 0.7067 0.768524 0.437185 0.391932 0.656544 0.0248261
0.8133 0.2 0.2 0.7067 0.770058 0.441786 0.406505 0.650408 0.0253284
0.8133 0.2 0.2 0.7067 0.771592 0.437952 0.421845 0.645806 0.0258295
0.8133 0.2 0.2 0.7067 0.773893 0.447922 0.437185 0.646573 0.0263283
0.8133 0.2 0.2 0.7067 0.775427 0.447155 0.453291 0.648107 0.0268208
0.8133 0.2 0.2 0.7067 0.776961 0.439485 0.469398 0.650408 0.0273092
0.8133 0.2 0.2 0.7067 0.779262 0.449456 0.485505 0.652709 0.0277929
0.8133 0.2 0.2 0.7067 0.780796 0.459427 0.502379 0.655777 0.0282684
0.8133 0.2 0.2 0.7067 0.781563 0.457893 0.520019 0.658078 0.0287365
0.8133 0.2 0.2 0.7067 0.783097 0.467864 0.53766 0.661146 0.0291978
0.8133 0.2 0.2 0.7067 0.784631 0.46633 0.555301 0.66268 0.0296512
0.8133 0.2 0.2 0.7067 0.785398 0.476301 0.573709 0.664981 0.0300971
0.8133 0.2 0.2 0.7067 0.786165 0.487039 0.592117 0.667282 0.0305333
0.8133 0.2 0.2 0.7067 0.786932 0.498544 0.610524 0.668816 0.0309595
0.8133 0.2 0.2 0.7067 0.787699 0.496243 0.629699 0.669583 0.0313771
0.8133 0.2 0.2 0.7067 0.788466 0.506981 0.648874 0.671117 0.0317856
0.8133 0.2 0.2 0.7067 0.789233 0.518486 0.668049 0.672651 0.0321831
0.8133 0.2 0.2 0.7067 0.79 0.52999 0.68799 0.673418 0.032569
0.8133 0.2 0.2 0.7067 0.79 0.541495 0.707932 0.674185 0.0329432
0.8133 0.2 0.2 0.7067 0.790767 0.553767 0.727874 0.674952 0.0333053
0.8133 0.2 0.2 0.7067 0.790767 0.549932 0.748583 0.674952 0.0336574
0.8133 0.2 0.2 0.7067 0.791534 0.561437 0.768524 0.675719 0.0340022
0.8133 0.2 0.2 0.7067 0.791534 0.572942 0.789233 0.675719 0.0343367
0.8133 0.2 0.2 0.7067 0.784631 0.592117 0.816078 0.684155 0.0346983
