distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
3.74198e-05 0.111209 -0.140657 -0.0840998 -0.143824 0.111215 -0.141092 -0.0840346 -0.143378
7.97207e-05 0.111801 -0.140338 -0.0841109 -0.144104 0.111215 -0.141257 -0.083532 -0.143207
0.00013018 0.112744 -0.140004 -0.0841291 -0.144401 0.111206 -0.141439 -0.0827914 -0.143041
0.000213771 0.113584 -0.139753 -0.0862755 -0.144409 0.11092 -0.141726 -0.0822561 -0.142788
0.000346419 0.114307 -0.139583 -0.0883875 -0.144338 0.109111 -0.142076 -0.0819463 -0.142444
0.000506698 0.115028 -0.139432 -0.0904194 -0.144238 0.107404 -0.142408 -0.0816455 -0.142068
0.000687075 0.115741 -0.13928 -0.0923629 -0.144124 0.105795 -0.142707 -0.0813521 -0.141675
0.000883526 0.116406 -0.139123 -0.0942238 -0.144001 0.104271 -0.142973 -0.0810996 -0.141266
0.00109358 0.116987 -0.138961 -0.0960109 -0.143869 0.10282 -0.143209 -0.0809208 -0.140839
0.00131584 0.117455 -0.138795 -0.0977326 -0.143728 0.10143 -0.143418 -0.0808403 -0.140391
0.0015499 0.117778 -0.138628 -0.0994927 -0.143555 0.100087 -0.143611 -0.0808875 -0.139914
0.00179467 0.117929 -0.13847 -0.101454 -0.143303 0.0987733 -0.143799 -0.0810912 -0.139397
0.00204799 0.117893 -0.138325 -0.103712 -0.142934 0.0974723 -0.143994 -0.0814673 -0.138833
0.00230767 0.117681 -0.138192 -0.106284 -0.142415 0.096169 -0.144205 -0.0820258 -0.138215
0.00257277 0.117316 -0.138067 -0.109007 -0.14175 0.0948625 -0.144432 -0.0827421 -0.137543
0.00284307 0.116812 -0.137946 -0.111767 -0.140955 0.0935507 -0.144674 -0.083599 -0.136814
0.00311851 0.116185 -0.137823 -0.114489 -0.140051 0.0922315 -0.144932 -0.0845816 -0.136026
0.0033992 0.115447 -0.137696 -0.117124 -0.139053 0.0909034 -0.145207 -0.0856763 -0.135177
0.00368993 0.114614 -0.137557 -0.119519 -0.13805 0.0895946 -0.145478 -0.0868077 -0.134271
0.00399837 0.113693 -0.137406 -0.121559 -0.137141 0.0883332 -0.14572 -0.08792 -0.1333
0.00432747 0.112751 -0.137202 -0.123244 -0.136348 0.0871489 -0.145932 -0.0889546 -0.132312
0.00467664 0.111853 -0.136936 -0.12455 -0.135717 0.0860511 -0.146096 -0.0899168 -0.131317
0.00504727 0.110981 -0.13661 -0.125585 -0.135218 0.0850272 -0.146214 -0.09084 -0.130308
0.00543682 0.110096 -0.136235 -0.126563 -0.134758 0.0840424 -0.1463 -0.0917428 -0.129277
0.00584261 0.109181 -0.135817 -0.127517 -0.134315 0.0830774 -0.14636 -0.0925866 -0.128233
0.00626265 0.108231 -0.135357 -0.12846 -0.133878 0.082121 -0.146398 -0.0933447 -0.127187
0.00669528 0.107245 -0.134858 -0.129413 -0.133434 0.0811634 -0.14642 -0.0940043 -0.126147
0.00713876 0.106292 -0.134331 -0.130375 -0.132978 0.0802009 -0.146426 -0.0945586 -0.125121
0.00759199 0.105425 -0.133787 -0.131336 -0.132511 0.079233 -0.146417 -0.0950069 -0.124117
0.00805446 0.104672 -0.133238 -0.132284 -0.132039 0.0782606 -0.146393 -0.095354 -0.12314
0.00852548 0.104042 -0.132696 -0.133236 -0.131552 0.0772815 -0.146354 -0.0956135 -0.122193
0.00900441 0.103536 -0.132167 -0.134192 -0.131047 0.0762964 -0.146293 -0.0957979 -0.121277
0.00949066 0.103144 -0.131659 -0.13515 -0.130525 0.0753062 -0.14621 -0.0959208 -0.120391
0.00998375 0.102853 -0.131176 -0.13611 -0.129982 0.0743117 -0.146105 -0.095996 -0.119537
0.0104832 0.102647 -0.130722 -0.137071 -0.129419 0.0733134 -0.145977 -0.0960367 -0.118711
0.0109885 0.102511 -0.130297 -0.138033 -0.128833 0.0723121 -0.145825 -0.0960549 -0.117914
0.0114991 0.102427 -0.129903 -0.138994 -0.128223 0.0713082 -0.145648 -0.096061 -0.117144
0.0120145 0.102381 -0.129541 -0.139955 -0.127587 0.0703028 -0.145447 -0.0960641 -0.116398
0.0125342 0.10236 -0.129209 -0.140914 -0.126925 0.0692965 -0.145219 -0.0960718 -0.115677
0.0130575 0.102351 -0.128908 -0.14187 -0.126235 0.0682903 -0.144966 -0.0960903 -0.114978
0.0135836 0.102346 -0.128637 -0.142822 -0.125516 0.0672853 -0.144686 -0.0961246 -0.1143
0.0141121 0.102336 -0.128393 -0.143768 -0.124767 0.0662834 -0.144378 -0.0961779 -0.113642
0.0146422 0.102316 -0.128178 -0.144707 -0.123987 0.0652865 -0.144042 -0.0962526 -0.113005
0.0151731 0.10228 -0.127988 -0.145636 -0.123177 0.0642966 -0.143679 -0.0963508 -0.112386
0.0157042 0.102225 -0.127823 -0.146554 -0.122336 0.0633151 -0.143286 -0.0964744 -0.111786
0.0162344 0.102148 -0.127682 -0.147459 -0.121462 0.0623438 -0.142865 -0.0966246 -0.111204
0.0167629 0.102045 -0.127563 -0.148349 -0.120555 0.061384 -0.142414 -0.0968026 -0.110639
0.0172887 0.101916 -0.127465 -0.149224 -0.119614 0.0604374 -0.141935 -0.0970089 -0.110091
0.0178106 0.101759 -0.127387 -0.150081 -0.118638 0.0595054 -0.141427 -0.0972439 -0.109558
0.0183276 0.101574 -0.127327 -0.150918 -0.117626 0.0585895 -0.140889 -0.0975077 -0.109041
0.0188389 0.101362 -0.127283 -0.151732 -0.11658 0.0576944 -0.140322 -0.0977971 -0.108541
