distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
3.74198e-05 0.110169 -0.141469 -0.0851573 -0.143195 0.110171 -0.141912 -0.0850902 -0.14276
7.97207e-05 0.110732 -0.141174 -0.0852027 -0.143448 0.110137 -0.142108 -0.0846194 -0.14258
0.00013018 0.111649 -0.140862 -0.0852523 -0.143717 0.110097 -0.142321 -0.0839072 -0.142413
0.000213771 0.112591 -0.140536 -0.0872953 -0.143765 0.109904 -0.142533 -0.0832752 -0.142226
0.000346419 0.113513 -0.140197 -0.089205 -0.143791 0.108301 -0.142728 -0.0827561 -0.142018
0.000506698 0.114457 -0.139848 -0.0910078 -0.1438 0.10682 -0.1429 -0.0822269 -0.1418
0.000687075 0.115393 -0.13949 -0.0927225 -0.143791 0.105436 -0.143052 -0.0817081 -0.141572
0.000883526 0.116273 -0.139123 -0.094362 -0.143766 0.104131 -0.143187 -0.0812382 -0.14133
0.00109358 0.117059 -0.13875 -0.0959358 -0.143727 0.102892 -0.143307 -0.08085 -0.141072
0.00131584 0.117726 -0.138371 -0.0974504 -0.143674 0.10171 -0.143414 -0.0805665 -0.140794
0.0015499 0.118251 -0.137986 -0.0990008 -0.143592 0.100577 -0.143508 -0.0804089 -0.140493
0.00179467 0.11862 -0.137593 -0.100737 -0.143448 0.0994914 -0.14359 -0.0803929 -0.140164
0.00204799 0.118829 -0.137191 -0.10274 -0.143217 0.0984482 -0.143661 -0.0805223 -0.139804
0.00230767 0.118894 -0.136776 -0.105027 -0.14288 0.0974456 -0.143723 -0.0807939 -0.139408
0.00257277 0.118832 -0.136345 -0.107439 -0.142441 0.096482 -0.143776 -0.0811842 -0.138976
0.00284307 0.11866 -0.135895 -0.109866 -0.141919 0.0955565 -0.143821 -0.0816757 -0.138506
0.00311851 0.118389 -0.135423 -0.112232 -0.141335 0.0946682 -0.143858 -0.082253 -0.137996
0.0033992 0.118032 -0.134928 -0.114491 -0.140706 0.0938166 -0.143889 -0.0829023 -0.137445
0.00368993 0.117599 -0.134407 -0.116494 -0.140093 0.0930013 -0.143914 -0.0835793 -0.136859
0.00399837 0.117093 -0.133859 -0.118122 -0.139556 0.092222 -0.143933 -0.0842593 -0.136241
0.00432747 0.11655 -0.133282 -0.119407 -0.13911 0.0914787 -0.143947 -0.0849105 -0.135598
0.00467664 0.116002 -0.132677 -0.120357 -0.13877 0.0907692 -0.143957 -0.0855434 -0.134931
0.00504727 0.115432 -0.132046 -0.12108 -0.138509 0.0900858 -0.143961 -0.0861857 -0.134236
0.00543682 0.114819 -0.131387 -0.121774 -0.138258 0.0894127 -0.143959 -0.0868381 -0.133512
0.00584261 0.114157 -0.130698 -0.122461 -0.138007 0.0887418 -0.143949 -0.0874513 -0.132772
0.00626265 0.113447 -0.129977 -0.123149 -0.137753 0.0880686 -0.143931 -0.0879918 -0.132027
0.00669528 0.112693 -0.129224 -0.123851 -0.137488 0.0873892 -0.143903 -0.0884412 -0.131287
0.00713876 0.111967 -0.128444 -0.124567 -0.137211 0.0867026 -0.143866 -0.0887896 -0.130559
0.00759199 0.111322 -0.127647 -0.125285 -0.136926 0.0860091 -0.14382 -0.0890351 -0.129852
0.00805446 0.110788 -0.126843 -0.125992 -0.136636 0.0853094 -0.143764 -0.0891823 -0.129169
0.00852548 0.110375 -0.126039 -0.126704 -0.136334 0.0846027 -0.143696 -0.0892434 -0.128514
0.00900441 0.110084 -0.125245 -0.127422 -0.136017 0.0838891 -0.143612 -0.0892306 -0.127888
0.00949066 0.109906 -0.124466 -0.128144 -0.135685 0.0831695 -0.14351 -0.0891574 -0.127291
0.00998375 0.109829 -0.123706 -0.12887 -0.135337 0.0824443 -0.143389 -0.0890375 -0.126724
0.0104832 0.109837 -0.12297 -0.1296 -0.134971 0.081714 -0.14325 -0.0888839 -0.126185
0.0109885 0.109914 -0.122259 -0.130333 -0.134585 0.0809792 -0.14309 -0.0887084 -0.125674
0.0114991 0.110043 -0.121576 -0.131068 -0.134179 0.0802404 -0.14291 -0.0885214 -0.125189
0.0120145 0.110211 -0.12092 -0.131805 -0.133752 0.0794982 -0.142709 -0.088332 -0.12473
0.0125342 0.110404 -0.120293 -0.132543 -0.133301 0.0787532 -0.142485 -0.0881477 -0.124296
0.0130575 0.11061 -0.119696 -0.133282 -0.132826 0.0780063 -0.142239 -0.0879745 -0.123884
0.0135836 0.110821 -0.119127 -0.13402 -0.132326 0.0772583 -0.141969 -0.0878176 -0.123495
0.0141121 0.111027 -0.118586 -0.134757 -0.1318 0.0765102 -0.141675 -0.0876803 -0.123128
0.0146422 0.111223 -0.118075 -0.135491 -0.131246 0.0757635 -0.141356 -0.0875656 -0.122781
0.0151731 0.111404 -0.117591 -0.136221 -0.130664 0.0750194 -0.141013 -0.0874758 -0.122455
0.0157042 0.111565 -0.117135 -0.136946 -0.130052 0.074279 -0.140643 -0.0874128 -0.122147
0.0162344 0.111704 -0.116707 -0.137664 -0.129411 0.0735436 -0.140247 -0.0873782 -0.121857
0.0167629 0.111817 -0.116304 -0.138375 -0.128738 0.0728143 -0.139825 -0.0873729 -0.121585
0.0172887 0.111903 -0.115928 -0.139076 -0.128033 0.0720924 -0.139375 -0.0873978 -0.12133
0.0178106 0.111961 -0.115577 -0.139767 -0.127296 0.0713791 -0.138898 -0.087453 -0.12109
0.0183276 0.111989 -0.115249 -0.140446 -0.126524 0.0706757 -0.138392 -0.0875389 -0.120865
0.0188389 0.11199 -0.114946 -0.141112 -0.125719 0.0699848 -0.137858 -0.0876534 -0.120655
0.0193439 0.111962 -0.114666 -0.14176 -0.124879 0.0693088 -0.137297 -0.0877956 -0.120459
0.0198419 0.111905 -0.114408 -0.14239 -0.124005 0.06865 -0.136708 -0.087965 -0.120277
0.0203321 0.11182 -0.114171 -0.142998 -0.123097 0.0680107 -0.136091 -0.0881613 -0.120108
0.0208247 0.111758 -0.113962 -0.143492 -0.12222 0.0675002 -0.135488 -0.0886991 -0.11986
0.021321 0.111711 -0.113782 -0.143846 -0.1214 0.0671479 -0.134916 -0.0890827 -0.119661
0.0218185 0.111659 -0.113629 -0.143014 -0.121415 0.0669022 -0.134362 -0.0893634 -0.119505
0.0223186 0.111553 -0.113495 -0.141507 -0.121929 0.0667256 -0.133814 -0.0895792 -0.119387
0.0228207 0.111353 -0.113373 -0.141611 -0.121352 0.0665966 -0.133265 -0.0897489 -0.119305
0.0233205 0.111118 -0.113267 -0.14119 -0.121123 0.0665237 -0.132721 -0.0898659 -0.119264
0.0238203 0.110835 -0.113173 -0.139975 -0.121452 0.066498 -0.13218 -0.089938 -0.119264
0.0243222 0.110501 -0.113089 -0.138312 -0.122106 0.0665064 -0.131636 -0.0899778 -0.119304
0.0248261 0.110105 -0.11301 -0.138263 -0.121722 0.0665385 -0.131085 -0.0899928 -0.119383
0.0253284 0.109708 -0.112945 -0.137729 -0.121643 0.0666073 -0.130534 -0.0899747 -0.119504
0.0258295 0.109284 -0.112888 -0.136491 -0.122029 0.0666936 -0.129975 -0.0902049 -0.119587
0.0263283 0.108794 -0.112833 -0.13639 -0.121699 0.066777 -0.129398 -0.0908185 -0.119579
0.0268208 0.108303 -0.112787 -0.135407 -0.121922 0.0668715 -0.128808 -0.0915513 -0.119537
0.0273092 0.107793 -0.112748 -0.133912 -0.122477 0.0669695 -0.128202 -0.0923603 -0.119467
0.0277929 0.107238 -0.11271 -0.133801 -0.1222 0.0670621 -0.127574 -0.0932253 -0.119372
0.0282684 0.106681 -0.112679 -0.133679 -0.121903 0.0671666 -0.126931 -0.0940868 -0.119268
0.0287365 0.106128 -0.112658 -0.132632 -0.122161 0.0672858 -0.126274 -0.0949342 -0.119161
0.0291978 0.105541 -0.112638 -0.132493 -0.12187 0.0674063 -0.125597 -0.0957958 -0.119041
0.0296512 0.104958 -0.112627 -0.131394 -0.122145 0.0675436 -0.124904 -0.0966337 -0.118922
0.0300971 0.104339 -0.112616 -0.131232 -0.121862 0.0676836 -0.124191 -0.0974842 -0.118795
0.0305333 0.103713 -0.112611 -0.131056 -0.121561 0.0678387 -0.123461 -0.0983192 -0.118668
0.0309595 0.103077 -0.112609 -0.130865 -0.121241 0.0680093 -0.122715 -0.0991456 -0.118541
0.0313771 0.102439 -0.112615 -0.129608 -0.121548 0.0681998 -0.121954 -0.0999574 -0.118418
0.0317856 0.101762 -0.112617 -0.129389 -0.121245 0.0683943 -0.121171 -0.100796 -0.118285
0.0321831 0.101078 -0.112623 -0.129153 -0.120926 0.0686069 -0.120372 -0.101626 -0.118152
0.032569 0.100382 -0.112631 -0.128898 -0.12059 0.0688377 -0.119557 -0.102454 -0.118021
0.0329432 0.0996752 -0.112641 -0.128624 -0.120239 0.0690871 -0.118726 -0.103283 -0.117888
0.0333053 0.0989551 -0.112651 -0.128331 -0.119873 0.0693555 -0.11788 -0.104116 -0.117754
0.0336574 0.0982357 -0.112665 -0.126797 -0.120242 0.0696481 -0.117022 -0.10494 -0.117624
0.0340022 0.0974807 -0.112674 -0.126465 -0.119916 0.0699514 -0.116145 -0.105793 -0.117483
0.0343367 0.0967221 -0.112683 -0.126108 -0.119579 0.0702781 -0.115255 -0.106641 -0.117343
0.0346983 0.0965206 -0.112851 -0.126266 -0.118903 0.070218 -0.114127 -0.10808 -0.116931
0.0350665 0.0960341 -0.112974 -0.12673 -0.117974 0.069925 -0.112811 -0.109567 -0.116448
0.0354298 0.0953713 -0.113067 -0.127397 -0.116825 0.0722195 -0.112889 -0.110926 -0.115977
0.035788 0.0946109 -0.113139 -0.126154 -0.116836 0.0717665 -0.111523 -0.112033 -0.115596
0.0361325 0.0938229 -0.113204 -0.126919 -0.115551 0.0740527 -0.111601 -0.113113 -0.115211
0.0364687 0.0929997 -0.113257 -0.12555 -0.115589 0.0777982 -0.112449 -0.114006 -0.11491
0.0367961 0.0920807 -0.113278 -0.126281 -0.114255 0.0770867 -0.111219 -0.114917 -0.114598
0.0371049 0.0913105 -0.113338 -0.124728 -0.114368 0.0792966 -0.111342 -0.115672 -0.11437
0.0374422 0.0904686 -0.113375 -0.125371 -0.113037 0.0786499 -0.11015 -0.116899 -0.113882
0.0377817 0.089818 -0.113472 -0.125965 -0.111616 0.0809382 -0.110299 -0.118064 -0.113399
0.0381351 0.0892114 -0.113594 -0.12417 -0.111797 0.0845399 -0.111055 -0.119035 -0.113006
0.0385091 0.0886302 -0.113735 -0.121202 -0.112794 0.0840087 -0.110162 -0.119922 -0.112655
0.038886 0.0880273 -0.113882 -0.121748 -0.111576 0.0859996 -0.11026 -0.120745 -0.112342
0.0392765 0.0874721 -0.114057 -0.120115 -0.111715 0.089099 -0.110812 -0.12136 -0.112162
0.0396834 0.0869024 -0.11424 -0.12062 -0.110488 0.092483 -0.111481 -0.121941 -0.112022
0.0401063 0.0863777 -0.114451 -0.119019 -0.110579 0.092014 -0.110975 -0.122477 -0.111931
0.0405329 0.0858682 -0.114681 -0.116474 -0.111296 0.0934857 -0.111027 -0.122993 -0.111876
0.040971 0.0853508 -0.114923 -0.11363 -0.112223 0.0957253 -0.111324 -0.123517 -0.11184
0.0414217 0.0847956 -0.115164 -0.114124 -0.111307 0.0981401 -0.111691 -0.124076 -0.111804
0.0418794 0.0842682 -0.115426 -0.112937 -0.11129 0.100488 -0.112063 -0.124613 -0.111802
0.0423512 0.0837494 -0.115702 -0.111022 -0.111698 0.100031 -0.11182 -0.125141 -0.111826
0.0428265 0.0832353 -0.115989 -0.108885 -0.112256 0.100841 -0.1118 -0.12566 -0.111876
0.043311 0.0827157 -0.116286 -0.10681 -0.112817 0.102147 -0.11188 -0.126185 -0.111941
0.0438064 0.082177 -0.116584 -0.106555 -0.112532 0.103565 -0.111989 -0.126728 -0.112014
0.0443085 0.0816527 -0.116894 -0.105572 -0.11257 0.104933 -0.112095 -0.12726 -0.11211
0.0448195 0.0811302 -0.117212 -0.10433 -0.112737 0.106149 -0.112179 -0.127789 -0.112224
0.04534 0.0806065 -0.117535 -0.102992 -0.112961 0.107179 -0.112231 -0.12832 -0.112351
0.04587 0.080081 -0.117863 -0.101644 -0.113207 0.108019 -0.112247 -0.128852 -0.112492
0.0464094 0.0795542 -0.118195 -0.100329 -0.113454 0.108678 -0.112223 -0.129386 -0.112645
0.0469577 0.0790265 -0.118529 -0.0990662 -0.113694 0.109221 -0.112163 -0.12992 -0.112808
0.0475143 0.0784983 -0.118866 -0.0978645 -0.113922 0.109721 -0.112076 -0.130454 -0.112982
0.0480792 0.0779698 -0.119204 -0.0967244 -0.114137 0.110217 -0.111967 -0.130988 -0.113165
0.048652 0.0774408 -0.119542 -0.0956433 -0.114337 0.110726 -0.111839 -0.131523 -0.113356
0.0492327 0.0769113 -0.119879 -0.0946171 -0.114523 0.111255 -0.111697 -0.132058 -0.113553
0.0498211 0.0763812 -0.120215 -0.0936411 -0.114696 0.111804 -0.111543 -0.132593 -0.113755
0.0504172 0.0758502 -0.120548 -0.0927105 -0.114856 0.112373 -0.111379 -0.133129 -0.113961
0.0510207 0.0753183 -0.120878 -0.091821 -0.115003 0.112959 -0.111207 -0.133666 -0.114169
0.0516316 0.0747854 -0.121203 -0.0909687 -0.115138 0.113558 -0.111029 -0.134204 -0.114379
