distance x y z pitch roll
3.74198e-05 0.00156802 0.149487 7.14834e-06 -0.422472 -0.00318867
7.97207e-05 0.00161032 0.149591 1.86325e-05 -0.435553 -0.00773343
0.00013018 0.00166078 0.149738 3.38036e-05 -0.447318 -0.0135827
0.000213771 0.00174437 0.149853 4.17121e-05 -0.407597 -0.016234
0.000346419 0.00187702 0.149941 6.47615e-05 -0.325658 -0.0254824
0.000506698 0.0020373 0.150018 0.000102809 -0.234393 -0.040629
0.000687075 0.00221768 0.150083 0.0001556 -0.143561 -0.0611624
0.000883526 0.00241412 0.150137 0.000221339 -0.0556159 -0.0863577
0.00109358 0.00262418 0.150179 0.000297923 0.0293414 -0.115473
0.00131584 0.00284643 0.150209 0.000383526 0.112052 -0.147897
0.0015499 0.0030805 0.150224 0.000475619 0.195956 -0.182672
0.00179467 0.00332527 0.150215 0.000570225 0.286542 -0.218264
0.00204799 0.00357857 0.150173 0.000662981 0.388999 -0.253071
0.00230767 0.00383829 0.150092 0.000752795 0.506653 -0.284331
0.00257277 0.0041035 0.149973 0.000839867 0.638749 -0.312092
0.00284307 0.00437399 0.149817 0.000924514 0.785193 -0.336001
0.00311851 0.00464976 0.149624 0.00100697 0.946105 -0.355741
0.0033992 0.00493095 0.149395 0.00108744 1.12161 -0.371104
0.00368993 0.00522219 0.149147 0.00116692 1.3046 -0.388574
0.00399837 0.00553093 0.148899 0.00124512 1.4889 -0.421501
0.00432747 0.00586014 0.148672 0.00133291 1.66208 -0.457195
0.00467664 0.00620941 0.148477 0.00143795 1.8153 -0.499135
0.00504727 0.00658013 0.148316 0.00156085 1.94977 -0.547585
0.00543682 0.00696979 0.148177 0.00169636 2.07302 -0.600461
0.00584261 0.00737567 0.148051 0.00184067 2.18945 -0.656541
0.00626265 0.00779581 0.147932 0.00199118 2.30179 -0.714999
0.00669528 0.0082285 0.147815 0.00214576 2.41235 -0.775089
0.00713876 0.00867202 0.147696 0.00230293 2.52221 -0.836317
0.00759199 0.00912528 0.147573 0.00246198 2.63174 -0.898446
0.00805446 0.00958775 0.147446 0.00262268 2.74086 -0.961405
0.00852548 0.0100587 0.147314 0.00278438 2.85022 -1.02494
0.00900441 0.0105376 0.147172 0.00294697 2.95974 -1.08906
0.00949066 0.0110237 0.147019 0.00311029 3.0694 -1.15372
0.00998375 0.0115167 0.146854 0.00327416 3.17922 -1.21888
0.0104832 0.0120159 0.146675 0.00343838 3.2892 -1.28448
0.0109885 0.012521 0.14648 0.00360272 3.39937 -1.35046
0.0114991 0.0130313 0.146269 0.0037669 3.50973 -1.41675
0.0120145 0.0135465 0.146039 0.00393062 3.62029 -1.48326
0.0125342 0.0140658 0.145789 0.00409356 3.73106 -1.5499
0.0130575 0.0145886 0.14552 0.00425533 3.84202 -1.61655
0.0135836 0.0151143 0.145228 0.00441552 3.95315 -1.6831
0.0141121 0.0156423 0.144915 0.00457385 4.06428 -1.74947
0.0146422 0.0161718 0.144578 0.00473003 4.17517 -1.81561
0.0151731 0.0167021 0.144219 0.0048837 4.28567 -1.88139
0.0157042 0.0172325 0.143835 0.00503442 4.39567 -1.9467
0.0162344 0.017762 0.143426 0.0051817 4.5051 -2.01137
0.0167629 0.0182897 0.142991 0.00532502 4.6139 -2.07523
0.0172887 0.0188147 0.14253 0.00546377 4.72203 -2.13808
0.0178106 0.0193357 0.142042 0.00559736 4.82943 -2.19973
0.0183276 0.0198517 0.141525 0.00572512 4.93609 -2.25995
0.0188389 0.0203621 0.140981 0.00584692 5.04124 -2.31873
0.0193439 0.0208661 0.140409 0.00596262 5.14418 -2.37603
0.0198419 0.0213631 0.139812 0.00607203 5.2442 -2.43178
0.0203321 0.0218523 0.139188 0.00617495 5.34064 -2.48591
0.0208247 0.0223437 0.138627 0.00623138 5.3819 -2.50909
0.021321 0.0228386 0.138148 0.0062333 5.35345 -2.50449
0.0218185 0.023336 0.137731 0.00620423 5.26979 -2.49248
0.0223186 0.0238371 0.137351 0.00614909 5.14856 -2.47495
0.0228207 0.0243399 0.136982 0.00605757 5.00651 -2.44418
0.0233205 0.0248412 0.13663 0.00594766 4.836 -2.40383
0.0238203 0.0253426 0.136291 0.00582052 4.6423 -2.35578
0.0243222 0.0258461 0.135958 0.00567528 4.4316 -2.29969
0.0248261 0.0263511 0.135619 0.00549854 4.2123 -2.23306
0.0253284 0.0268549 0.135286 0.0053076 3.97254 -2.15698
0.0258295 0.0273579 0.134947 0.00510885 3.72193 -2.07553
0.0263283 0.0278576 0.134574 0.0048921 3.47799 -1.99192
0.0268208 0.0283513 0.134184 0.00467419 3.22798 -1.90417
0.0273092 0.028841 0.133773 0.0044523 2.97572 -1.81252
0.0277929 0.0293252 0.133327 0.00421326 2.73107 -1.71733
0.0282684 0.0298012 0.13286 0.00396559 2.4833 -1.61818
0.0287365 0.0302699 0.132378 0.00371534 2.22795 -1.51466
0.0291978 0.0307315 0.131866 0.00345081 1.97579 -1.40655
0.0296512 0.0311853 0.131342 0.00318342 1.7151 -1.29421
0.0300971 0.0316312 0.130787 0.00290152 1.45701 -1.17697
0.0305333 0.0320673 0.130213 0.00261038 1.19406 -1.05503
0.0309595 0.0324934 0.129619 0.00230983 0.926009 -0.927894
0.0313771 0.0329108 0.129014 0.00200602 0.647611 -0.795976
0.0317856 0.033319 0.128379 0.00168687 0.371173 -0.658157
0.0321831 0.0337159 0.127725 0.0013579 0.0883663 -0.51494
0.032569 0.0341014 0.127053 0.00101888 -0.200992 -0.365752
0.0329432 0.034475 0.126363 0.000669498 -0.497131 -0.210306
0.0333053 0.0348364 0.125656 0.00030943 -0.800308 -0.0482791
0.0336574 0.0351879 0.124942 -5.46303e-05 -1.1166 0.119358
0.0340022 0.0355321 0.124207 -0.000431699 -1.4358 0.292488
0.0343367 0.0358661 0.123462 -0.000817039 -1.76579 0.471279
0.0346983 0.0362282 0.122849 -0.00106767 -1.88519 0.542095
0.0350665 0.0365979 0.122318 -0.00122226 -1.87352 0.554883
0.0354298 0.0369632 0.121848 -0.00131654 -1.77354 0.533404
0.035788 0.0373244 0.121417 -0.00135547 -1.64209 0.469552
0.0361325 0.0376704 0.120999 -0.00133623 -1.45521 0.419343
0.0364687 0.0380084 0.120612 -0.00129349 -1.25643 0.339057
0.0367961 0.0383354 0.12019 -0.00117339 -1.03573 0.280726
0.0371049 0.0386438 0.119806 -0.0010371 -0.815935 0.196016
0.0374422 0.0389802 0.11949 -0.000913222 -0.631575 0.142178
0.0377817 0.0393189 0.119261 -0.000804063 -0.4692 0.0939263
0.0381351 0.0396715 0.119115 -0.000691592 -0.335451 0.0422076
0.0385091 0.0400446 0.119012 -0.00056118 -0.224749 -0.0189956
0.038886 0.0404207 0.118938 -0.000457229 -0.10498 -0.0648275
0.0392765 0.0408106 0.11894 -0.00035257 -0.0151888 -0.11327
0.0396834 0.0412168 0.118971 -0.000266155 0.0740952 -0.15239
0.0401063 0.0416391 0.119048 -0.000159817 0.133074 -0.202777
0.0405329 0.0420648 0.119169 -4.92493e-05 0.181776 -0.253716
0.040971 0.0425022 0.119316 6.45591e-05 0.229516 -0.305786
0.0414217 0.0429522 0.119459 0.00016233 0.290778 -0.349617
0.0418794 0.0434092 0.119637 0.00027033 0.335716 -0.399262
0.0423512 0.0438801 0.11983 0.000390581 0.369696 -0.454967
0.0428265 0.0443545 0.120045 0.000513844 0.398812 -0.510357
0.043311 0.0448382 0.120273 0.000639573 0.426857 -0.566592
0.0438064 0.0453327 0.120504 0.000758602 0.459569 -0.619652
0.0443085 0.0458339 0.120752 0.000883801 0.482806 -0.675498
0.0448195 0.0463439 0.121013 0.00101318 0.501151 -0.732909
0.04534 0.0468634 0.121283 0.00114607 0.515893 -0.791597
0.04587 0.0473925 0.121561 0.00128203 0.527351 -0.851361
0.0464094 0.0479308 0.121846 0.0014208 0.535469 -0.912096
0.0469577 0.048478 0.122136 0.00156222 0.540151 -0.973721
0.0475143 0.0490336 0.122431 0.00170619 0.541424 -1.03618
0.0480792 0.0495974 0.12273 0.0018527 0.539406 -1.09948
0.048652 0.0501691 0.123031 0.00200178 0.534244 -1.16362
0.0492327 0.0507486 0.123334 0.00215341 0.52609 -1.2286
0.0498211 0.0513358 0.123637 0.00230759 0.515095 -1.29442
0.0504172 0.0519306 0.12394 0.00246432 0.501398 -1.36107
0.0510207 0.0525329 0.124241 0.0026236 0.485138 -1.42856
0.0516316 0.0531425 0.124538 0.0027854 0.466443 -1.49689
0.0522497 0.0537593 0.124831 0.00294972 0.445437 -1.56605
0.0528749 0.0543832 0.125119 0.00311653 0.422237 -1.63607
0.053507 0.0550139 0.1254 0.00328582 0.396949 -1.70694
0.0541458 0.0556514 0.125674 0.00345755 0.369675 -1.77867
0.0547911 0.0562953 0.125938 0.00363172 0.340514 -1.85129
0.0554427 0.0569455 0.126193 0.0038083 0.309559 -1.92481
0.0561005 0.0576018 0.126436 0.00398729 0.2769 -1.99924
0.0567641 0.058264 0.126668 0.00416869 0.242619 -2.07461
0.0574334 0.0589317 0.126887 0.00435247 0.206794 -2.15094
0.058108 0.0596048 0.127091 0.00453867 0.169492 -2.22826
0.0587878 0.0602831 0.127281 0.00472727 0.130773 -2.30662
0.0594725 0.0609662 0.127455 0.00491821 0.0905389 -2.386
0.060162 0.0616541 0.127612 0.00511143 0.0487115 -2.46643
