time distance
0.002 3.74198e-05
0.004 7.97207e-05
0.006 0.00013018
0.008 0.000213771
0.01 0.000346419
0.012 0.000506698
0.014 0.000687075
0.016 0.000883526
0.018 0.00109358
0.02 0.00131584
0.022 0.0015499
0.024 0.00179467
0.026 0.00204799
0.028 0.00230767
0.03 0.00257277
0.032 0.00284307
0.034 0.00311851
0.036 0.0033992
0.038 0.00368993
0.04 0.00399837
0.042 0.00432747
0.044 0.00467664
0.046 0.00504727
0.048 0.00543682
0.05 0.00584261
0.052 0.00626265
0.054 0.00669528
0.056 0.00713876
0.058 0.00759199
0.06 0.00805446
0.062 0.00852548
0.064 0.00900441
0.066 0.00949066
0.068 0.00998375
0.07 0.0104832
0.072 0.0109885
0.074 0.0114991
0.076 0.0120145
0.078 0.0125342
0.08 0.0130575
0.082 0.0135836
0.084 0.0141121
0.086 0.0146422
0.088 0.0151731
0.09 0.0157042
0.092 0.0162344
0.094 0.0167629
0.096 0.0172887
0.098 0.0178106
0.1 0.0183276
0.102 0.0188389
0.104 0.0193439
0.106 0.0198419
0.108 0.0203321
0.11 0.0208247
0.112 0.021321
0.114 0.0218185
0.116 0.0223186
0.118 0.0228207
0.12 0.0233205
0.122 0.0238203
0.124 0.0243222
0.126 0.0248261
0.128 0.0253284
0.13 0.0258295
0.132 0.0263283
0.134 0.0268208
0.136 0.0273092
0.138 0.0277929
0.14 0.0282684
0.142 0.0287365
0.144 0.0291978
0.146 0.0296512
0.148 0.0300971
0.15 0.0305333
0.152 0.0309595
0.154 0.0313771
0.156 0.0317856
0.158 0.0321831
0.16 0.032569
0.162 0.0329432
0.164 0.0333053
0.166 0.0336574
0.168 0.0340022
0.17 0.0343367
0.172 0.0346983
0.174 0.0350665
0.176 0.0354298
0.178 0.035788
0.18 0.0361325
0.182 0.0364687
0.184 0.0367961
0.186 0.0371049
0.188 0.0374422
0.19 0.0377817
0.192 0.0381351
0.194 0.0385091
0.196 0.038886
0.198 0.0392765
0.2 0.0396834
0.202 0.0401063
0.204 0.0405329
0.206 0.040971
0.208 0.0414217
0.21 0.0418794
0.212 0.0423512
0.214 0.0428265
0.216 0.043311
0.218 0.0438064
0.22 0.0443085
0.222 0.0448195
0.224 0.04534
0.226 0.04587
0.228 0.0464094
0.23 0.0469577
0.232 0.0475143
0.234 0.0480792
0.236 0.048652
0.238 0.0492327
0.24 0.0498211
0.242 0.0504172
0.244 0.0510207
0.246 0.0516316
0.248 0.0522497
0.25 0.0528749
0.252 0.053507
0.254 0.0541458
0.256 0.0547911
0.258 0.0554427
0.26 0.0561005
0.262 0.0567641
0.264 0.0574334
0.266 0.058108
0.268 0.0587878
0.27 0.0594725
0.272 0.060162
0.274 0.0608561
0.276 0.0615545
0.278 0.062257
0.28 0.0629632
0.282 0.0636727
0.284 0.0643853
0.286 0.0651004
0.288 0.0658177
0.29 0.0665368
0.292 0.0672573
0.294 0.0679787
0.296 0.0687006
0.298 0.0694225
0.3 0.0701439
0.302 0.0708642
0.304 0.0715828
0.306 0.0722992
0.308 0.0730126
0.31 0.0737224
0.312 0.0744279
0.314 0.0751284
0.316 0.0758235
0.318 0.0765127
0.32 0.0771956
0.322 0.0778719
0.324 0.0785409
0.326 0.0791913
0.328 0.0798198
0.33 0.0804237
0.332 0.081006
0.334 0.0815671
0.336 0.0821047
0.338 0.0826183
0.34 0.0831175
0.342 0.0835924
0.344 0.0840396
0.346 0.0844601
0.348 0.084862
0.35 0.0852342
0.352 0.0855767
0.354 0.0858996
0.356 0.0861905
0.358 0.086447
0.36 0.0866707
0.362 0.086874
0.364 0.0870584
0.366 0.0872399
