distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
3.64847e-05 0 0 1.47241 15.4741 0.0625399 14.9833 0 0
7.76997e-05 0 0 2.61163 13.8814 1.04 14.4079 0 0
0.000126711 0 0 2.72298 12.9884 1.21112 13.44 0 0
0.00021426 0 0 10.741 7.65165 1.36042 8.53953 0 0
0.00032408 0 0 7.59855 8.72405 1.40175 5.97992 0 0
0.000482683 0 0 7.05526 12.2385 9.25368 1.75835 0 0
0.000674093 0 0 7.64761 12.3419 4.71627 0.443533 0 0
0.000893301 0 0 7.0455 11.6846 2.03647 0.339325 0 0
0.00113666 0 0 6.17064 10.8394 1.7956 0.566169 0 0
0.00140187 0 0 5.33155 10.1107 2.19558 1.05218 0 0
0.00168755 0 0 4.65295 9.58392 2.32838 1.58083 0 0
0.00199288 0 0 4.14624 9.25014 2.54595 2.06809 0 0
0.00231742 0 0 3.78183 9.06773 2.77535 2.49634 0 0
0.00266093 0 0 3.52096 8.98902 2.98509 2.8676 0 0
0.00302325 0 0 3.32872 8.97282 3.16524 3.19092 0 0
0.00340425 0 0 3.17849 8.98837 3.31602 3.47622 0 0
0.0038038 0 0 3.05226 9.01523 3.44154 3.7318 0 0
0.00422184 0 0 2.96217 9.05239 3.55659 3.95645 0 0
0.00465232 0 0 2.9204 8.32352 1.27775 4.55649 0 0
0.00509385 0 0 2.55848 7.66405 1.28562 5.01043 0 0
0.0055455 0 0 2.25642 6.61537 1.28828 5.25956 0 0
0.00600613 0 0 1.90929 5.43993 1.27831 5.3648 0 0
0.00647464 0 0 1.61193 4.44359 1.25943 5.39611 0 0
0.00695026 0 0 1.44873 3.89392 1.2368 5.41963 0 0
0.00743252 0 0 1.39801 3.71136 1.21407 5.46219 0 0
0.0079209 0 0 1.28249 3.32287 1.1871 5.46427 0 0
0.00841525 0 0 1.32589 3.46006 1.1229 5.12791 0 0
0.00891588 0 0 1.55703 4.171 1.06624 4.94636 0 0
0.00942323 0 0 1.91945 5.27178 1.02341 4.91523 0 0
0.00993829 0 0 2.33325 6.50694 0.99197 4.97484 0 0
0.010462 0 0 2.63437 7.42234 0.965206 5.05257 0 0
0.0109937 0 0 2.12427 6.27709 0.919657 4.95569 0 0
0.0115325 0 0 1.87525 5.46469 0.862552 4.81545 0 0
0.0120777 0 0 1.67404 4.86852 0.798487 4.6618 0 0
0.0126287 0 0 1.50157 4.40949 0.729792 4.5115 0 0
0.0131852 0 0 1.34544 4.03687 0.657866 4.37314 0 0
0.0137464 0 0 1.19743 3.71804 0.583525 4.25058 0 0
0.014312 0 0 1.05808 3.45223 0.507536 4.14689 0 0
0.0148815 0 0 0.947746 3.30342 0.431648 4.07023 0 0
0.0154545 0 0 0.823959 3.12701 0.355135 4.01265 0 0
0.0160305 0 0 0.687466 2.92845 0.277577 3.97004 0 0
0.016609 0 0 0.5389 2.71187 0.198719 3.93972 0 0
0.0171892 0 0 0.379012 2.48147 0.122217 3.94382 0 0
0.0177706 0 0 0.207966 2.23971 0.0461056 3.96744 0 0
0.0183525 0 0 0.0255658 1.98768 -0.0332661 3.98772 0 0
0.018941 0 0 0 0 -0.32604 3.2349 0.802668 16.0759
0.0195317 0 0 0 0 -0.381919 3.14243 1.48712 13.3019
0.020123 0 0 0 0 -0.394218 3.28536 1.23702 11.2625
0.0207156 0 0 0 0 -0.409999 3.47642 1.56997 12.9019
0.0213086 0 0 0 0 -0.514978 3.70442 1.06931 9.60683
0.0219016 0 0 0 0 -0.39115 3.84623 0.777004 7.62649
0.0224935 0 0 0 0 -0.34802 4.22178 0.520747 6.11678
0.0230848 0 0 0 0 -0.355755 4.41984 0.40979 5.32196
0.0236757 0 0 0 0 -0.399355 4.49498 0.375028 4.95243
0.0242667 0 0 0 0 -0.521559 4.35749 0.569661 5.33816
0.0248547 0 0 0 0 -0.482971 4.6897 0.392648 4.71701
0.0254409 0 0 0 0 -0.500632 4.8421 0.406328 4.57986
0.0260263 0 0 0 0 -0.5675 4.84399 0.475951 4.66148
0.0266114 0 0 0 0 -0.661613 4.76244 0.574155 4.85187
0.027197 0 0 0 0 -0.833006 4.51694 0.92694 5.62942
0.0277797 0 0 0 0 -0.81149 4.75323 0.765246 5.16819
0.0283614 0 0 0 0 -0.841596 4.852 0.833767 5.163
0.0289432 0 0 0 0 -0.987138 4.69313 1.15792 5.78492
0.0295229 0 0 0 0 -0.968569 4.9106 1.06203 5.42494
0.0301023 0 0 0 0 -1.0165 4.95999 1.16657 5.46757
