setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.4667 -0.4667 -0.3333 0.3333 0.00933454 -0.00933347 -0.00666528 0.00666634 3.64847e-05
0.466574 -0.466574 -0.333174 0.333174 0.0184792 -0.0184781 -0.0131953 0.0131964 7.76997e-05
0.466195 -0.466196 -0.332796 0.332795 0.0274335 -0.0274323 -0.0195873 0.0195884 0.000126711
0.465564 -0.465566 -0.332166 0.332164 0.036196 -0.0361945 -0.0258387 0.0258399 0.00021426
0.46468 -0.464683 -0.331283 0.33128 0.0447656 -0.044764 -0.0319475 0.0319486 0.00032408
0.463546 -0.463549 -0.330149 0.330146 0.0531411 -0.0531395 -0.0379112 0.0379126 0.000482683
0.462161 -0.462165 -0.328765 0.328761 0.0613214 -0.0613197 -0.0437281 0.0437295 0.000674093
0.460526 -0.460531 -0.327131 0.327126 0.0693055 -0.0693037 -0.0493961 0.0493974 0.000893301
0.458642 -0.458648 -0.325248 0.325242 0.0770921 -0.0770904 -0.0549131 0.0549143 0.00113666
0.456511 -0.456517 -0.323117 0.323111 0.0846805 -0.0846787 -0.0602771 0.0602782 0.00140187
0.454134 -0.45414 -0.32074 0.320734 0.0920695 -0.0920678 -0.0654862 0.0654873 0.00168755
0.451512 -0.451519 -0.318119 0.318112 0.0992583 -0.0992567 -0.0705388 0.0705397 0.00199288
0.448647 -0.448654 -0.315254 0.315247 0.106246 -0.106245 -0.075433 0.0754339 0.00231742
0.44554 -0.445549 -0.312149 0.31214 0.113032 -0.11303 -0.0801672 0.080168 0.00266093
0.442195 -0.442204 -0.308804 0.308795 0.119615 -0.119614 -0.0847399 0.0847405 0.00302325
0.438612 -0.438622 -0.305222 0.305212 0.125995 -0.125994 -0.0891494 0.0891499 0.00340425
0.434794 -0.434804 -0.301404 0.301394 0.132171 -0.13217 -0.0933944 0.0933948 0.0038038
0.430744 -0.430755 -0.297355 0.297344 0.138142 -0.138142 -0.0974735 0.0974737 0.00422184
0.426464 -0.426475 -0.293075 0.293064 0.143909 -0.143908 -0.101385 0.101386 0.00465232
0.421956 -0.421969 -0.288569 0.288556 0.14947 -0.149469 -0.105129 0.105129 0.00509385
0.417225 -0.417237 -0.283837 0.283825 0.154825 -0.154825 -0.108703 0.108703 0.0055455
0.412272 -0.412285 -0.278885 0.278872 0.159974 -0.159974 -0.112107 0.112106 0.00600613
0.4071 -0.407114 -0.273714 0.2737 0.164916 -0.164917 -0.115339 0.115338 0.00647464
0.401714 -0.401728 -0.268328 0.268314 0.169652 -0.169653 -0.118399 0.118398 0.00695026
0.396116 -0.396131 -0.262731 0.262716 0.174181 -0.174182 -0.121285 0.121284 0.00743252
