setKForeLeft setKHindLeft setKForeRight setKHindRight realKForeLeft realKHindLeft realKForeRight realKHindRight distance
0.8333 0.2 0.2 0.5667 0.0444854 0.0176408 0.0207087 0.0414175 3.64847e-05
0.8333 0.2 0.2 0.5667 0.0544563 0.00383495 0.0107379 0.0483204 7.76997e-05
0.8333 0.2 0.2 0.5667 0.0621262 -0.0107379 0.00076699 0.0544563 0.000126711
0.8333 0.2 0.2 0.5667 0.0697961 -0.0107379 -0.0076699 0.0613592 0.00021426
0.8333 0.2 0.2 0.5667 0.077466 -0.0107379 -0.0161068 0.0682621 0.00032408
0.8333 0.2 0.2 0.5667 0.0859029 -0.0107379 -0.0145728 0.077466 0.000482683
0.8333 0.2 0.2 0.5667 0.0943398 -0.0107379 -0.0130388 0.0866699 0.000674093
0.8333 0.2 0.2 0.5667 0.104311 -0.0107379 -0.0122718 0.0966408 0.000893301
0.8333 0.2 0.2 0.5667 0.114282 -0.0107379 -0.0115049 0.108146 0.00113666
0.8333 0.2 0.2 0.5667 0.125019 -0.0107379 -0.0115049 0.119651 0.00140187
0.8333 0.2 0.2 0.5667 0.137291 -0.0107379 -0.0107379 0.132689 0.00168755
0.8333 0.2 0.2 0.5667 0.151097 -0.0107379 -0.0107379 0.147262 0.00199288
0.8333 0.2 0.2 0.5667 0.16567 -0.0107379 -0.0107379 0.162602 0.00231742
0.8333 0.2 0.2 0.5667 0.18101 -0.0107379 -0.0107379 0.178709 0.00266093
0.8333 0.2 0.2 0.5667 0.197884 -0.0107379 -0.0107379 0.19635 0.00302325
0.8333 0.2 0.2 0.5667 0.216291 -0.0107379 -0.0107379 0.214757 0.00340425
0.8333 0.2 0.2 0.5667 0.235466 -0.0107379 -0.0107379 0.234699 0.0038038
0.8333 0.2 0.2 0.5667 0.255408 -0.0107379 -0.0107379 0.254641 0.00422184
0.8333 0.2 0.2 0.5667 0.276117 -0.0107379 -0.00997088 0.27535 0.00465232
0.8333 0.2 0.2 0.5667 0.297592 -0.00997088 -0.00997088 0.296058 0.00509385
0.8333 0.2 0.2 0.5667 0.319835 -0.00920388 -0.00843689 0.316767 0.0055455
0.8333 0.2 0.2 0.5667 0.342078 -0.0076699 -0.00690291 0.335942 0.00600613
0.8333 0.2 0.2 0.5667 0.365854 -0.00383495 -0.00536893 0.35435 0.00647464
0.8333 0.2 0.2 0.5667 0.389631 0.00076699 -0.00306796 0.371223 0.00695026
0.8333 0.2 0.2 0.5667 0.414175 0.00613592 0 0.386563 0.00743252
0.8333 0.2 0.2 0.5667 0.439485 0.0130388 0.00306796 0.401136 0.0079209
0.8333 0.2 0.2 0.5667 0.464796 0.0199418 0.00690291 0.414175 0.00841525
0.8333 0.2 0.2 0.5667 0.490107 0.0268447 0.0115049 0.426447 0.00891588
0.8333 0.2 0.2 0.5667 0.515418 0.0337476 0.0161068 0.436418 0.00942323
0.8333 0.2 0.2 0.5667 0.538427 0.0391165 0.0222427 0.446388 0.00993829
0.8333 0.2 0.2 0.5667 0.56067 0.0437185 0.0276117 0.454058 0.010462
0.8333 0.2 0.2 0.5667 0.581379 0.0483204 0.0337476 0.461728 0.0109937
0.8333 0.2 0.2 0.5667 0.600553 0.0544563 0.0406505 0.468631 0.0115325
0.8333 0.2 0.2 0.5667 0.618194 0.0598253 0.0483204 0.474767 0.0120777
0.8333 0.2 0.2 0.5667 0.634301 0.0667282 0.0559903 0.480136 0.0126287
0.8333 0.2 0.2 0.5667 0.648874 0.0736311 0.0644272 0.485505 0.0131852
0.8333 0.2 0.2 0.5667 0.661913 0.081301 0.0736311 0.490107 0.0137464
0.8333 0.2 0.2 0.5667 0.674185 0.0897379 0.083602 0.494709 0.014312
