distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
3.64847e-05 0.111217 -0.140704 -0.0840938 -0.143781 0.11122 -0.14105 -0.084033 -0.143424
7.76997e-05 0.1117 -0.140438 -0.0841014 -0.144015 0.111223 -0.14117 -0.0836481 -0.143292
0.000126711 0.112454 -0.140159 -0.0841119 -0.144269 0.11122 -0.141304 -0.0831027 -0.143162
0.00021426 0.113058 -0.139964 -0.0856881 -0.144308 0.110956 -0.141544 -0.0828044 -0.142942
0.00032408 0.11365 -0.139797 -0.0872604 -0.144307 0.110581 -0.141806 -0.0825905 -0.14268
0.000482683 0.114072 -0.139694 -0.0888626 -0.144252 0.109198 -0.142105 -0.0826081 -0.142336
0.000674093 0.114421 -0.139609 -0.0904449 -0.144178 0.107877 -0.14239 -0.0826954 -0.141952
0.000893301 0.114697 -0.139528 -0.0919919 -0.144095 0.106618 -0.142651 -0.0828462 -0.141535
0.00113666 0.114889 -0.139448 -0.0934978 -0.144007 0.105415 -0.142886 -0.0830687 -0.141087
0.00140187 0.114979 -0.139364 -0.0949627 -0.143913 0.104259 -0.143099 -0.0833761 -0.140607
0.00168755 0.114955 -0.139276 -0.0963887 -0.143815 0.103146 -0.143291 -0.0837786 -0.14009
0.00199288 0.114811 -0.139182 -0.0977781 -0.14371 0.102068 -0.143465 -0.0842809 -0.139534
0.00231742 0.114546 -0.139079 -0.0991331 -0.143599 0.101022 -0.143623 -0.0848824 -0.138934
0.00266093 0.114164 -0.138966 -0.100455 -0.143481 0.100006 -0.143768 -0.0855789 -0.138287
0.00302325 0.113673 -0.138838 -0.101745 -0.143357 0.0990165 -0.1439 -0.0863627 -0.137592
0.00340425 0.113081 -0.138694 -0.103004 -0.143227 0.0980531 -0.144021 -0.087225 -0.136845
0.0038038 0.1124 -0.13853 -0.104231 -0.143091 0.0971149 -0.144131 -0.0881558 -0.136046
0.00422184 0.111638 -0.138342 -0.105428 -0.142951 0.0962013 -0.144231 -0.0891456 -0.135192
0.00465232 0.110833 -0.138121 -0.106584 -0.142814 0.095301 -0.144313 -0.090143 -0.134299
0.00509385 0.109986 -0.137864 -0.10771 -0.142676 0.0944005 -0.144377 -0.0910871 -0.13338
0.0055455 0.109088 -0.137575 -0.108877 -0.142514 0.0934881 -0.144428 -0.0919496 -0.132446
