distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
3.64847e-05 0.110179 -0.141515 -0.0851499 -0.143153 0.110178 -0.141869 -0.0850877 -0.142806
7.76997e-05 0.110633 -0.141271 -0.0851897 -0.143361 0.110148 -0.142019 -0.0847329 -0.142665
0.000126711 0.11136 -0.141014 -0.0852318 -0.143588 0.110115 -0.142183 -0.0842167 -0.142532
0.00021426 0.112058 -0.140745 -0.0867134 -0.143661 0.109935 -0.142359 -0.0838315 -0.142376
0.00032408 0.112783 -0.140467 -0.0881508 -0.143715 0.10969 -0.142528 -0.0834848 -0.142208
0.000482683 0.113408 -0.140179 -0.0895456 -0.143754 0.108515 -0.142682 -0.0832902 -0.142014
0.000674093 0.113979 -0.139882 -0.0908991 -0.143777 0.107421 -0.142822 -0.0831499 -0.141802
0.000893301 0.114482 -0.139576 -0.0922125 -0.143786 0.106393 -0.142948 -0.0830703 -0.141572
0.00113666 0.114899 -0.139261 -0.0934868 -0.143782 0.105419 -0.143063 -0.0830651 -0.141321
0.00140187 0.11521 -0.138936 -0.0947226 -0.143768 0.104492 -0.143166 -0.0831477 -0.141047
0.00168755 0.115407 -0.138601 -0.0959206 -0.143742 0.103607 -0.143261 -0.0833271 -0.140746
0.00199288 0.115483 -0.138252 -0.0970814 -0.143708 0.102759 -0.143346 -0.0836065 -0.140416
0.00231742 0.11544 -0.137888 -0.0982054 -0.143665 0.101947 -0.143423 -0.0839844 -0.140053
0.00266093 0.115283 -0.137506 -0.0992931 -0.143615 0.101167 -0.143493 -0.0844555 -0.139656
0.00302325 0.115019 -0.137104 -0.100345 -0.143559 0.100419 -0.143555 -0.0850121 -0.139222
0.00340425 0.114659 -0.136678 -0.101361 -0.143497 0.0997017 -0.143611 -0.0856453 -0.13875
0.0038038 0.114212 -0.136227 -0.102341 -0.14343 0.0990143 -0.143661 -0.0863453 -0.138238
0.00422184 0.113688 -0.135747 -0.103287 -0.143358 0.0983563 -0.143706 -0.087103 -0.137686
0.00465232 0.113113 -0.135239 -0.104198 -0.143284 0.0977035 -0.143744 -0.0878794 -0.137098
0.00509385 0.112488 -0.134699 -0.105085 -0.143204 0.0970454 -0.143774 -0.0886102 -0.136488
0.0055455 0.111814 -0.134128 -0.106012 -0.143104 0.0963768 -0.143796 -0.0892608 -0.135866
0.00600613 0.111089 -0.133524 -0.107024 -0.142971 0.0956926 -0.143809 -0.0898127 -0.135243
