distance x y z pitch roll
3.64847e-05 0.00156709 0.149472 6.52257e-06 -0.422006 -0.00290596
7.76997e-05 0.0016083 0.14955 1.73436e-05 -0.434337 -0.00720412
0.000126711 0.00165731 0.149662 3.23085e-05 -0.4463 -0.0130147
0.00021426 0.00174486 0.149752 4.64053e-05 -0.410233 -0.0184359
0.00032408 0.00185468 0.149835 6.84241e-05 -0.356974 -0.0271079
0.000482683 0.00201328 0.149901 0.000110871 -0.273295 -0.0439986
0.000674093 0.00220469 0.149958 0.000173315 -0.182116 -0.0684663
0.000893301 0.00242389 0.150008 0.000255272 -0.089273 -0.1001
0.00113666 0.00266725 0.150051 0.00035515 0.00292183 -0.138298
0.00140187 0.00293246 0.150085 0.000471063 0.0942842 -0.182392
0.00168755 0.00321813 0.15011 0.000601356 0.18538 -0.231823
0.00199288 0.00352345 0.150126 0.000744749 0.276908 -0.286167
0.00231742 0.00384799 0.150134 0.00090031 0.369462 -0.345111
0.00266093 0.0041915 0.150134 0.00106738 0.463463 -0.40843
0.00302325 0.0045538 0.150127 0.00124547 0.559164 -0.475957
0.00340425 0.00493478 0.150114 0.00143421 0.656682 -0.54756
0.0038038 0.00533429 0.150095 0.00163331 0.756044 -0.623129
0.00422184 0.00575229 0.150072 0.00184254 0.857283 -0.702576
0.00465232 0.00618269 0.150045 0.00205953 0.955593 -0.7849
0.00509385 0.00662413 0.150015 0.00228271 1.0519 -0.869546
0.0055455 0.00707565 0.149977 0.00250976 1.14883 -0.955662
0.00600613 0.00753611 0.149927 0.00273834 1.24895 -1.04243
0.00647464 0.00800443 0.149863 0.00296655 1.35411 -1.12923
0.00695026 0.00847981 0.149782 0.00319339 1.46497 -1.21576
0.00743252 0.00896179 0.149683 0.00341848 1.58142 -1.30194
0.0079209 0.00944984 0.149566 0.00364108 1.70395 -1.38748
0.00841525 0.00994381 0.149431 0.00386199 1.83099 -1.47279
0.00891588 0.010444 0.149281 0.00408285 1.95987 -1.55851
0.00942323 0.0109509 0.149121 0.00430592 2.0872 -1.64543
0.00993829 0.0114654 0.148956 0.00453352 2.20986 -1.73435
0.010462 0.0119885 0.14879 0.00476732 2.32592 -1.82583
0.0109937 0.0125196 0.148618 0.0050051 2.43852 -1.91898
0.0115325 0.0130576 0.148436 0.00524562 2.54917 -2.01348
0.0120777 0.0136021 0.148241 0.00548802 2.65876 -2.10911
0.0126287 0.0141523 0.148033 0.00573168 2.76781 -2.20569
0.0131852 0.0147078 0.147808 0.00597611 2.87661 -2.30312
0.0137464 0.015268 0.147567 0.00622086 2.9853 -2.40127
0.014312 0.0158325 0.147307 0.0064656 3.09388 -2.50007
0.0148815 0.0164008 0.147029 0.00671016 3.20211 -2.59953
0.0154545 0.0169726 0.146731 0.00695432 3.30981 -2.69961
0.0160305 0.0175472 0.146414 0.00719779 3.41684 -2.80025
0.016609 0.0181242 0.146076 0.00744024 3.5231 -2.90137
0.0171892 0.0187029 0.145717 0.00768126 3.62855 -3.00288
0.0177706 0.0192826 0.145336 0.00792041 3.73319 -3.10467
0.0183525 0.0198628 0.144933 0.00815723 3.83699 -3.20662
0.018941 0.0204491 0.144558 0.00836118 3.91046 -3.29054
0.0195317 0.0210374 0.144204 0.00853727 3.95485 -3.36299
0.020123 0.0216269 0.143863 0.00869061 3.97445 -3.42824
0.0207156 0.0222185 0.143543 0.00882043 3.96531 -3.48659
0.0213086 0.022811 0.143233 0.00893109 3.9347 -3.53895
0.0219016 0.0234038 0.142922 0.00902364 3.88877 -3.58476
0.0224935 0.0239957 0.142609 0.00910171 3.82897 -3.62504
0.0230848 0.0245871 0.142291 0.00916565 3.75845 -3.65996
0.0236757 0.0251783 0.141964 0.00921575 3.67884 -3.68956
0.0242667 0.0257695 0.141625 0.0092473 3.59326 -3.71263
0.0248547 0.0263583 0.14128 0.00926744 3.49548 -3.73041
0.0254409 0.0269456 0.140928 0.00927445 3.38759 -3.74297
0.0260263 0.0275322 0.140569 0.00926774 3.27045 -3.75004
0.0266114 0.0281186 0.140203 0.00924691 3.14418 -3.7514
0.027197 0.0287053 0.139825 0.00920621 3.01099 -3.74566
0.0277797 0.0292899 0.139445 0.00915361 2.86385 -3.73378
0.0283614 0.0298736 0.13906 0.00908683 2.70464 -3.71595
0.0289432 0.0304573 0.138666 0.00900062 2.53627 -3.69072
0.0295229 0.0310393 0.138271 0.0089013 2.35318 -3.659
0.0301023 0.0316211 0.137874 0.00878698 2.15721 -3.62079
0.0306823 0.0322036 0.137474 0.00865691 1.94907 -3.57573
0.0312646 0.0327877 0.137067 0.00850294 1.73128 -3.52324
0.0318455 0.0333711 0.13666 0.00833684 1.49714 -3.46225
0.0324272 0.0339554 0.136252 0.00815504 1.24876 -3.39418
0.0330107 0.0345406 0.135835 0.00795119 0.992231 -3.3197
0.0335914 0.0351235 0.135408 0.00773872 0.725276 -3.23864
0.0341686 0.0357031 0.134959 0.00751979 0.455281 -3.15396
0.0347419 0.0362786 0.134487 0.0072944 0.183995 -3.06596
0.035312 0.0368497 0.133985 0.00705398 -0.0840166 -2.9758
0.0358755 0.0374139 0.13346 0.00680523 -0.354679 -2.88182
0.036432 0.0379711 0.132911 0.00654833 -0.628136 -2.78384
0.0369814 0.0385211 0.132344 0.00628647 -0.906934 -2.6816
0.0375243 0.0390644 0.13175 0.00601344 -1.18594 -2.57534
0.0380592 0.0395994 0.131134 0.00573189 -1.46899 -2.46483
0.0385857 0.0401258 0.130496 0.00544169 -1.75644 -2.34978
0.0391034 0.0406434 0.129837 0.00514265 -2.04868 -2.22997
0.0396124 0.0411522 0.129162 0.00483826 -2.34886 -2.1054
0.0401146 0.041654 0.128466 0.00452331 -2.65259 -1.97648
0.0406083 0.042147 0.127752 0.00420043 -2.96394 -1.84296
0.0410928 0.0426309 0.127021 0.00386915 -3.28287 -1.70434
0.0415679 0.0431052 0.126274 0.00352904 -3.60949 -1.56032
0.0420331 0.0435695 0.12551 0.00317973 -3.94397 -1.41058
0.0424881 0.0440235 0.124731 0.00282091 -4.28657 -1.25484
0.0429324 0.0444669 0.123936 0.00245227 -4.63758 -1.0928
0.0434287 0.0449595 0.123267 0.00220851 -4.77963 -1.04315
0.0439452 0.0454713 0.122671 0.00204674 -4.79931 -1.05873
0.0444682 0.0459893 0.122137 0.00192063 -4.74985 -1.12252
0.0449879 0.0465049 0.1216 0.00185688 -4.65954 -1.19821
0.0454967 0.0470098 0.121097 0.00180813 -4.55279 -1.29905
0.0460351 0.0475453 0.120677 0.00178556 -4.48382 -1.38209
0.0465901 0.0480988 0.120321 0.00180994 -4.42423 -1.38947
0.0471564 0.0486642 0.120048 0.00184987 -4.36639 -1.40227
0.0477433 0.0492504 0.119842 0.00190233 -4.31969 -1.42287
0.0483508 0.049857 0.11967 0.00197777 -4.29936 -1.46196
0.0489628 0.0504682 0.11953 0.00203368 -4.27339 -1.48631
0.0495789 0.0510833 0.119418 0.00211607 -4.27301 -1.52869
0.0501918 0.051695 0.119338 0.00220307 -4.27556 -1.56528
0.0508084 0.0523103 0.119266 0.0023116 -4.29201 -1.61973
0.0514215 0.0529219 0.119214 0.0024225 -4.30657 -1.66694
0.0520386 0.0535375 0.11916 0.00252845 -4.31249 -1.71226
0.0526591 0.0541565 0.119112 0.00265815 -4.33858 -1.77537
0.0532741 0.0547697 0.119083 0.00279323 -4.36849 -1.83405
0.0538919 0.0553857 0.119059 0.00294721 -4.41028 -1.90826
0.0545061 0.0559978 0.119051 0.00310631 -4.4525 -1.97761
0.0551243 0.0566139 0.11905 0.00327271 -4.4942 -2.0506
0.0557501 0.0572376 0.119047 0.0034562 -4.54636 -2.13785
0.0563746 0.0578598 0.119054 0.00365034 -4.60618 -2.22509
0.0569978 0.0584806 0.119075 0.0038498 -4.66673 -2.31243
0.0576259 0.0591061 0.119101 0.00405649 -4.72748 -2.40359
0.0582613 0.0597392 0.119126 0.00427857 -4.79735 -2.50603
0.0588963 0.0603717 0.119162 0.00450547 -4.8693 -2.60583
0.0595365 0.0610094 0.119199 0.00474655 -4.94924 -2.71549
0.0601763 0.0616465 0.119247 0.00499288 -5.03051 -2.82372
0.0608211 0.0622887 0.119298 0.00524618 -5.11212 -2.93545
0.0614731 0.0629387 0.119345 0.00551415 -5.20312 -3.06275
0.0621259 0.0635891 0.119399 0.00579218 -5.30093 -3.18737
0.062779 0.0642395 0.119462 0.00607543 -5.3995 -3.31133
0.0634376 0.0648957 0.119526 0.00636574 -5.49796 -3.43886
0.0641035 0.0655601 0.119584 0.00667086 -5.60577 -3.58449
0.0647707 0.0662253 0.119645 0.00698583 -5.72024 -3.72579
0.0654384 0.0668907 0.119714 0.00730588 -5.83511 -3.86529
0.0661109 0.0675625 0.119777 0.00764066 -5.9588 -4.02571
0.0667846 0.0682344 0.119846 0.00797996 -6.08215 -4.1741
0.0674627 0.0689127 0.119907 0.00833382 -6.21449 -4.34557
0.0681407 0.0695913 0.119969 0.00869832 -6.35421 -4.51988
0.0688202 0.0702697 0.120036 0.0090678 -6.49165 -4.68091
0.0695032 0.0709543 0.120092 0.00945155 -6.63859 -4.86979
0.0701845 0.0716386 0.120148 0.00984722 -6.7935 -5.06571
0.070868 0.0723224 0.120206 0.0102479 -6.94427 -5.24052
0.0715546 0.0730122 0.120253 0.0106611 -7.10545 -5.44726
0.0722385 0.0737011 0.120297 0.0110863 -7.27509 -5.66135
0.0729249 0.0743894 0.120341 0.0115183 -7.43898 -5.84962
0.0736139 0.0750836 0.120371 0.0119612 -7.61378 -6.07356
0.0742999 0.0757765 0.120397 0.012415 -7.79797 -6.30515
0.074983 0.0764681 0.120419 0.0128794 -7.99062 -6.54515
0.0756633 0.0771582 0.120437 0.0133541 -8.19162 -6.79464
0.0763409 0.0778465 0.12045 0.0138388 -8.40133 -7.05446
0.0770215 0.078534 0.120462 0.0143384 -8.59835 -7.2715
0.0777023 0.0792255 0.120453 0.014845 -8.80054 -7.53946
0.0783784 0.079914 0.120439 0.0153587 -9.01134 -7.81644
0.0790497 0.0805989 0.120419 0.0158799 -9.23128 -8.10196
0.0797158 0.0812794 0.120391 0.0164084 -9.4603 -8.39691
0.080376 0.0819547 0.120355 0.0169438 -9.69807 -8.70189
0.0810299 0.0826238 0.120311 0.0174852 -9.94409 -9.01705
0.0816767 0.0832861 0.120258 0.0180319 -10.1978 -9.34219
0.0823159 0.0839406 0.120195 0.0185827 -10.4585 -9.67681
0.0829467 0.0845867 0.120123 0.0191366 -10.7256 -10.0202
