time distance
0.002 3.64847e-05
0.004 7.76997e-05
0.006 0.000126711
0.008 0.00021426
0.01 0.00032408
0.012 0.000482683
0.014 0.000674093
0.016 0.000893301
0.018 0.00113666
0.02 0.00140187
0.022 0.00168755
0.024 0.00199288
0.026 0.00231742
0.028 0.00266093
0.03 0.00302325
0.032 0.00340425
0.034 0.0038038
0.036 0.00422184
0.038 0.00465232
0.04 0.00509385
0.042 0.0055455
0.044 0.00600613
0.046 0.00647464
0.048 0.00695026
0.05 0.00743252
0.052 0.0079209
0.054 0.00841525
0.056 0.00891588
0.058 0.00942323
0.06 0.00993829
0.062 0.010462
0.064 0.0109937
0.066 0.0115325
0.068 0.0120777
0.07 0.0126287
0.072 0.0131852
0.074 0.0137464
0.076 0.014312
0.078 0.0148815
0.08 0.0154545
0.082 0.0160305
0.084 0.016609
0.086 0.0171892
0.088 0.0177706
0.09 0.0183525
0.092 0.018941
0.094 0.0195317
0.096 0.020123
0.098 0.0207156
0.1 0.0213086
0.102 0.0219016
0.104 0.0224935
0.106 0.0230848
0.108 0.0236757
0.11 0.0242667
0.112 0.0248547
0.114 0.0254409
0.116 0.0260263
0.118 0.0266114
0.12 0.027197
0.122 0.0277797
0.124 0.0283614
0.126 0.0289432
0.128 0.0295229
0.13 0.0301023
0.132 0.0306823
0.134 0.0312646
0.136 0.0318455
0.138 0.0324272
0.14 0.0330107
0.142 0.0335914
0.144 0.0341686
0.146 0.0347419
0.148 0.035312
0.15 0.0358755
0.152 0.036432
0.154 0.0369814
0.156 0.0375243
0.158 0.0380592
0.16 0.0385857
0.162 0.0391034
0.164 0.0396124
0.166 0.0401146
0.168 0.0406083
0.17 0.0410928
0.172 0.0415679
0.174 0.0420331
0.176 0.0424881
0.178 0.0429324
0.18 0.0434287
0.182 0.0439452
0.184 0.0444682
0.186 0.0449879
0.188 0.0454967
0.19 0.0460351
0.192 0.0465901
0.194 0.0471564
0.196 0.0477433
0.198 0.0483508
0.2 0.0489628
0.202 0.0495789
0.204 0.0501918
0.206 0.0508084
0.208 0.0514215
0.21 0.0520386
0.212 0.0526591
0.214 0.0532741
0.216 0.0538919
0.218 0.0545061
0.22 0.0551243
0.222 0.0557501
0.224 0.0563746
0.226 0.0569978
0.228 0.0576259
0.23 0.0582613
0.232 0.0588963
0.234 0.0595365
0.236 0.0601763
0.238 0.0608211
0.24 0.0614731
0.242 0.0621259
0.244 0.062779
0.246 0.0634376
0.248 0.0641035
0.25 0.0647707
0.252 0.0654384
0.254 0.0661109
0.256 0.0667846
0.258 0.0674627
0.26 0.0681407
