distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
3.50821e-05 307.2 8.30781e-19 1.11052 11.7003 0.0546096 10.8194 1.3411e-08 1.46801e+06
7.46046e-05 307.2 8.30781e-19 1.9887 11.0331 0.673995 10.9193 1.3411e-08 1.46801e+06
0.000121134 307.2 8.30781e-19 2.15193 10.7528 0.84109 10.6029 1.3411e-08 1.46801e+06
0.000176734 307.2 8.30781e-19 2.3259 10.6644 0.998831 10.0852 1.3411e-08 1.46801e+06
0.000242788 0 0 2.41503 9.93723 1.15094 9.40478 0 0
0.000342247 0 0 8.63307 6.45405 1.28079 5.84948 0 0
0.000461924 0 0 6.3059 8.18365 1.29852 4.93184 0 0
0.00060428 0 0 6.91218 9.38189 1.25739 3.7576 0 0
0.000770491 0 0 7.22984 10.1359 1.21822 2.97934 0 0
0.00096093 0 0 7.30866 10.5507 1.18384 2.52974 0 0
0.00118905 0 0 7.22181 12.3298 6.0383 1.03412 0 0
0.00145181 0 0 7.84662 12.9475 3.09835 0.579128 0 0
0.00174009 0 0 7.89406 12.1041 1.0594 1.01845 0 0
0.00205208 0 0 7.19333 11.3914 1.01556 1.56169 0 0
0.00238601 0 0 6.60438 10.8003 0.997387 2.07641 0 0
0.00274038 0 0 6.11826 10.3169 0.979938 2.54691 0 0
0.00311352 0 0 5.68947 9.86275 0.963604 2.99936 0 0
0.00350386 0 0 5.29699 9.43919 0.94944 3.42488 0 0
0.00391013 0 0 4.94526 9.06446 0.936944 3.80887 0 0
0.00433129 0 0 4.63815 8.74505 0.925366 4.14482 0 0
0.00476084 0 0 2.21491 7.62447 0.917418 4.70426 0 0
0.00519853 0 0 2.10624 6.90428 0.907274 4.91735 0 0
0.00564377 0 0 2.03014 6.43892 0.889375 5.03385 0 0
0.00609595 0 0 1.97329 6.11917 0.867348 5.09899 0 0
0.0065547 0 0 1.93125 5.90156 0.84204 5.12367 0 0
0.0070198 0 0 1.89923 5.75337 0.813672 5.11879 0 0
0.00749113 0 0 1.87387 5.65143 0.782436 5.09316 0 0
0.00796863 0 0 1.85264 5.57909 0.748543 5.05402 0 0
0.00845229 0 0 1.83371 5.52446 0.712212 5.00711 0 0
0.00894202 0 0 1.78707 5.34343 0.67265 4.94357 0 0
0.00943764 0 0 1.71364 5.0617 0.62912 4.86329 0 0
0.00993895 0 0 1.64634 4.8428 0.582408 4.78236 0 0
0.0104458 0 0 1.58225 4.6609 0.533271 4.70712 0 0
0.0109579 0 0 1.51872 4.50018 0.482081 4.6402 0 0
0.0114752 0 0 1.454 4.35068 0.42912 4.58268 0 0
0.0119973 0 0 1.38694 4.20624 0.374562 4.53475 0 0
0.012524 0 0 1.31677 4.06313 0.318519 4.49609 0 0
0.013055 0 0 1.243 3.91916 0.261064 4.46615 0 0
0.01359 0 0 1.16529 3.77312 0.202249 4.44434 0 0
0.0141287 0 0 11469.9 720.491 0.143094 4.4369 0 0
0.0146708 0 0 11469.8 720.408 0.083577 4.44108 0 0
