setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.3167 -0.3167 -0.1833 0.1833 0.00633459 -0.00633354 -0.00366532 0.00366637 3.50821e-05
0.316621 -0.316621 -0.183221 0.183221 0.0125403 -0.0125392 -0.00725638 0.00725745 7.46046e-05
0.316384 -0.316385 -0.182985 0.182984 0.0186171 -0.018616 -0.0107709 0.010772 0.000121134
0.31599 -0.315991 -0.182591 0.18259 0.0245646 -0.0245634 -0.0142072 0.0142083 0.000176734
0.315438 -0.315439 -0.182039 0.182038 0.030382 -0.0303808 -0.0175638 0.0175649 0.000242788
0.314729 -0.314731 -0.181331 0.181329 0.0360689 -0.0360675 -0.0208391 0.0208402 0.000342247
0.313863 -0.313866 -0.180466 0.180463 0.0416248 -0.0416232 -0.0240315 0.0240327 0.000461924
0.312841 -0.312844 -0.179444 0.179441 0.0470491 -0.0470474 -0.0271397 0.0271408 0.00060428
0.311664 -0.311667 -0.178267 0.178264 0.0523414 -0.0523396 -0.0301622 0.0301633 0.000770491
0.310332 -0.310336 -0.176936 0.176932 0.0575012 -0.0574993 -0.0330977 0.0330987 0.00096093
0.308846 -0.30885 -0.17545 0.175446 0.0625281 -0.0625261 -0.0359445 0.0359456 0.00118905
0.307207 -0.307212 -0.173812 0.173807 0.0674216 -0.0674195 -0.0387017 0.0387028 0.00145181
0.305417 -0.305422 -0.172022 0.172017 0.0721815 -0.0721793 -0.0413681 0.0413691 0.00174009
0.303475 -0.30348 -0.17008 0.170075 0.0768074 -0.0768051 -0.0439423 0.0439432 0.00205208
0.301384 -0.30139 -0.16799 0.167984 0.0812989 -0.0812966 -0.0464232 0.046424 0.00238601
0.299145 -0.299151 -0.165751 0.165745 0.0856558 -0.0856535 -0.0488097 0.0488105 0.00274038
0.296759 -0.296765 -0.163365 0.163359 0.0898778 -0.0898756 -0.0511008 0.0511014 0.00311352
0.294227 -0.294234 -0.160834 0.160827 0.0939648 -0.0939626 -0.0532954 0.0532959 0.00350386
0.291552 -0.29156 -0.15816 0.158152 0.0979165 -0.0979144 -0.0553926 0.055393 0.00391013
0.288735 -0.288743 -0.155343 0.155335 0.101733 -0.101731 -0.0573916 0.0573919 0.00433129
0.285778 -0.285786 -0.152386 0.152378 0.105414 -0.105412 -0.0592914 0.0592916 0.00476084
0.282682 -0.282691 -0.149291 0.149282 0.108959 -0.108957 -0.0610914 0.0610914 0.00519853
0.27945 -0.279459 -0.146059 0.14605 0.112369 -0.112367 -0.0627907 0.0627905 0.00564377
0.276084 -0.276093 -0.142693 0.142684 0.115643 -0.115642 -0.0643887 0.0643884 0.00609595
0.272585 -0.272594 -0.139194 0.139185 0.118782 -0.118781 -0.0658848 0.0658843 0.0065547
0.268956 -0.268966 -0.135566 0.135556 0.121786 -0.121784 -0.0672783 0.0672778 0.0070198
0.2652 -0.26521 -0.13181 0.1318 0.124654 -0.124653 -0.0685689 0.0685682 0.00749113
0.261318 -0.261328 -0.127928 0.127918 0.127387 -0.127386 -0.0697561 0.0697552 0.00796863
0.257313 -0.257324 -0.123924 0.123913 0.129986 -0.129985 -0.0708394 0.0708383 0.00845229
0.253188 -0.253199 -0.119799 0.119788 0.13245 -0.132449 -0.0718186 0.0718173 0.00894202
0.248945 -0.248956 -0.115556 0.115545 0.13478 -0.134779 -0.0726933 0.0726919 0.00943764
0.244587 -0.244598 -0.111198 0.111187 0.136976 -0.136976 -0.0734634 0.0734618 0.00993895
0.240116 -0.240128 -0.106728 0.106716 0.139038 -0.139039 -0.0741286 0.0741269 0.0104458
0.235536 -0.235549 -0.102149 0.102136 0.140968 -0.140969 -0.074689 0.074687 0.0109579
0.23085 -0.230862 -0.0974623 0.0974498 0.142766 -0.142767 -0.0751445 0.0751423 0.0114752
0.22606 -0.226072 -0.0926723 0.0926596 0.144432 -0.144433 -0.075495 0.0754926 0.0119973
0.221169 -0.221182 -0.0877817 0.0877686 0.145967 -0.145968 -0.0757407 0.0757382 0.012524
0.21618 -0.216193 -0.0827934 0.0827802 0.147371 -0.147372 -0.0758817 0.075879 0.013055
0.211097 -0.211111 -0.0777108 0.0776973 0.148645 -0.148647 -0.0759183 0.0759154 0.01359
0.205923 -0.205937 -0.0725369 0.0725232 0.149791 -0.149793 -0.0758507 0.0758475 0.0141287
0.200661 -0.200675 -0.0672751 0.0672612 0.150808 -0.15081 -0.0756792 0.0756758 0.0146708
0.195315 -0.195329 -0.0619287 0.0619145 0.151699 -0.151701 -0.0754041 0.0754006 0.015216
0.189887 -0.189901 -0.0565011 0.0564867 0.152462 -0.152465 -0.0750261 0.0750223 0.0157638
0.184381 -0.184396 -0.0509956 0.050981 0.153101 -0.153103 -0.0745455 0.0745415 0.0163139
0.178801 -0.178816 -0.0454158 0.045401 0.153615 -0.153618 -0.0739629 0.0739587 0.0168659
0.17315 -0.173165 -0.0397652 0.0397502 0.154005 -0.154009 -0.0732789 0.0732746 0.0174269
0.167432 -0.167447 -0.0340473 0.0340322 0.154274 -0.154277 -0.0724943 0.0724898 0.0179926
0.161651 -0.161666 -0.0282658 0.0282505 0.154421 -0.154425 -0.0716098 0.0716051 0.0185618
0.155809 -0.155824 -0.0224244 0.0224089 0.154449 -0.154453 -0.0706261 0.0706212 0.0191331
0.149911 -0.149927 -0.0165266 0.016511 0.154358 -0.154363 -0.0695441 0.069539 0.0197073
0.143961 -0.143976 -0.0105763 0.0105605 0.15415 -0.154155 -0.0683647 0.0683595 0.0202831
0.137961 -0.137977 -0.00457714 0.00456128 0.153827 -0.153831 -0.067089 0.0670835 0.0208598
0.131917 -0.131933 0.00146702 -0.00148298 0.153389 -0.153393 -0.0657179 0.0657122 0.0214364
0.125832 -0.125848 0.00755237 -0.00756844 0.152837 -0.152842 -0.0642525 0.0642466 0.0220129
0.119709 -0.119725 0.0136751 -0.0136912 0.152175 -0.15218 -0.062694 0.0626879 0.022588
0.113552 -0.113569 0.0198313 -0.0198475 0.151402 -0.151408 -0.0610435 0.0610372 0.023162
0.107367 -0.107383 0.0260171 -0.0260334 0.150522 -0.150527 -0.0593023 0.0592958 0.023735
0.101155 -0.101171 0.0322286 -0.032245 0.149534 -0.14954 -0.0574717 0.0574649 0.0243069
0.0949217 -0.0949382 0.0384618 -0.0384783 0.148442 -0.148448 -0.055553 0.0555461 0.0248781
0.0886706 -0.088687 0.044713 -0.0447294 0.147247 -0.147253 -0.0535478 0.0535406 0.0254467
0.0824056 -0.0824221 0.0509779 -0.0509944 0.14595 -0.145956 -0.0514573 0.0514499 0.0260131
0.0761306 -0.0761471 0.0572529 -0.0572694 0.144553 -0.14456 -0.0492831 0.0492755 0.0265779
0.0698497 -0.0698662 0.0635338 -0.0635503 0.143059 -0.143066 -0.0470268 0.047019 0.0271412
0.0635668 -0.0635834 0.0698166 -0.0698332 0.14147 -0.141477 -0.04469 0.044682 0.0277039
