setKForeLeft setKHindLeft setKForeRight setKHindRight realKForeLeft realKHindLeft realKForeRight realKHindRight distance
0.6733 0.2 0.2 0.4867 0.0398835 0.0222427 0.0253107 0.0368155 3.50821e-05
0.6733 0.2 0.2 0.4867 0.0467864 0.0130388 0.0199418 0.0414175 7.46046e-05
0.6733 0.2 0.2 0.4867 0.0529223 0.00306796 0.0145728 0.0452524 0.000121134
0.6733 0.2 0.2 0.4867 0.0582913 -0.00690291 0.00920388 0.0490874 0.000176734
0.6733 0.2 0.2 0.4867 0.0636602 -0.0161068 0.00383495 0.0544563 0.000242788
0.6733 0.2 0.2 0.4867 0.0713301 -0.0145728 0 0.0621262 0.000342247
0.6733 0.2 0.2 0.4867 0.080534 -0.0130388 -0.00383495 0.0720971 0.000461924
0.6733 0.2 0.2 0.4867 0.0905049 -0.0122718 -0.00690291 0.082835 0.00060428
0.6733 0.2 0.2 0.4867 0.10201 -0.0115049 -0.00920388 0.0943398 0.000770491
0.6733 0.2 0.2 0.4867 0.114282 -0.0115049 -0.0107379 0.108146 0.00096093
0.6733 0.2 0.2 0.4867 0.128087 -0.0107379 -0.0107379 0.122718 0.00118905
0.6733 0.2 0.2 0.4867 0.143427 -0.0107379 -0.0107379 0.139592 0.00145181
0.6733 0.2 0.2 0.4867 0.159534 -0.0107379 -0.0107379 0.156466 0.00174009
0.6733 0.2 0.2 0.4867 0.177175 -0.0107379 -0.00997088 0.174107 0.00205208
0.6733 0.2 0.2 0.4867 0.194816 -0.0107379 -0.00843689 0.193282 0.00238601
0.6733 0.2 0.2 0.4867 0.21399 -0.0107379 -0.0076699 0.212456 0.00274038
0.6733 0.2 0.2 0.4867 0.233932 -0.0107379 -0.00536893 0.232398 0.00311352
0.6733 0.2 0.2 0.4867 0.254641 -0.0107379 -0.00383495 0.251573 0.00350386
0.6733 0.2 0.2 0.4867 0.276117 -0.0107379 -0.00153398 0.269981 0.00391013
0.6733 0.2 0.2 0.4867 0.297592 -0.0107379 0.00153398 0.287621 0.00433129
0.6733 0.2 0.2 0.4867 0.319835 -0.00997088 0.00460194 0.303728 0.00476084
0.6733 0.2 0.2 0.4867 0.342845 -0.00997088 0.0076699 0.318301 0.00519853
0.6733 0.2 0.2 0.4867 0.365854 -0.00920388 0.0115049 0.332107 0.00564377
0.6733 0.2 0.2 0.4867 0.388864 -0.00843689 0.0153398 0.344379 0.00609595
0.6733 0.2 0.2 0.4867 0.41034 -0.00690291 0.0199418 0.355117 0.0065547
0.6733 0.2 0.2 0.4867 0.430282 -0.00536893 0.0245437 0.365087 0.0070198
0.6733 0.2 0.2 0.4867 0.449456 -0.00383495 0.0299126 0.374291 0.00749113
0.6733 0.2 0.2 0.4867 0.467097 -0.00153398 0.0352816 0.381961 0.00796863
0.6733 0.2 0.2 0.4867 0.483204 0.00076699 0.0414175 0.389631 0.00845229
0.6733 0.2 0.2 0.4867 0.497777 0.00383495 0.0475534 0.396534 0.00894202
0.6733 0.2 0.2 0.4867 0.510816 0.00690291 0.0544563 0.40267 0.00943764
0.6733 0.2 0.2 0.4867 0.523087 0.00997088 0.0613592 0.408039 0.00993895
0.6733 0.2 0.2 0.4867 0.533825 0.0138058 0.0690291 0.413408 0.0104458
0.6733 0.2 0.2 0.4867 0.543796 0.0184078 0.077466 0.41801 0.0109579
0.6733 0.2 0.2 0.4867 0.553 0.0230097 0.0859029 0.422612 0.0114752
0.6733 0.2 0.2 0.4867 0.561437 0.0283786 0.0951068 0.426447 0.0119973
0.6733 0.2 0.2 0.4867 0.569107 0.0345146 0.104311 0.429515 0.012524
0.6733 0.2 0.2 0.4867 0.57601 0.0406505 0.114282 0.43335 0.013055
0.6733 0.2 0.2 0.4867 0.582146 0.0475534 0.124252 0.436418 0.01359
0.6733 0.2 0.2 0.4867 0.587515 0.0544563 0.13499 0.439485 0.0141287
0.6733 0.2 0.2 0.4867 0.592884 0.0621262 0.146495 0.441786 0.0146708
0.6733 0.2 0.2 0.4867 0.598253 0.0705631 0.158 0.444087 0.015216
0.6733 0.2 0.2 0.4867 0.602087 0.079 0.170272 0.446388 0.0157638
0.6733 0.2 0.2 0.4867 0.606689 0.0882039 0.182544 0.448689 0.0163139
0.6733 0.2 0.2 0.4867 0.610524 0.0974078 0.195583 0.450223 0.0168659
0.6733 0.2 0.2 0.4867 0.613592 0.106612 0.208621 0.459427 0.0174269
0.6733 0.2 0.2 0.4867 0.61666 0.115816 0.220893 0.467864 0.0179926
0.6733 0.2 0.2 0.4867 0.618961 0.125786 0.233932 0.476301 0.0185618
0.6733 0.2 0.2 0.4867 0.621262 0.133456 0.246204 0.483971 0.0191331
0.6733 0.2 0.2 0.4867 0.623563 0.140359 0.259243 0.491641 0.0197073
0.6733 0.2 0.2 0.4867 0.625097 0.145728 0.271515 0.498544 0.0202831
0.6733 0.2 0.2 0.4867 0.627398 0.151864 0.284553 0.505447 0.0208598
0.6733 0.2 0.2 0.4867 0.629699 0.156466 0.296825 0.51235 0.0214364
0.6733 0.2 0.2 0.4867 0.631233 0.163369 0.309864 0.518486 0.0220129
0.6733 0.2 0.2 0.4867 0.633534 0.168738 0.32367 0.524621 0.022588
0.6733 0.2 0.2 0.4867 0.635068 0.17334 0.336709 0.530757 0.023162
0.6733 0.2 0.2 0.4867 0.637369 0.176408 0.350515 0.536126 0.023735
0.6733 0.2 0.2 0.4867 0.638903 0.178709 0.363553 0.541495 0.0243069
0.6733 0.2 0.2 0.4867 0.640437 0.187146 0.377359 0.546097 0.0248781
0.6733 0.2 0.2 0.4867 0.641971 0.192515 0.391932 0.550699 0.0254467
0.6733 0.2 0.2 0.4867 0.642738 0.19635 0.405738 0.555301 0.0260131
0.6733 0.2 0.2 0.4867 0.644272 0.198651 0.420311 0.559136 0.0265779
0.6733 0.2 0.2 0.4867 0.645039 0.200184 0.434884 0.562204 0.0271412
0.6733 0.2 0.2 0.4867 0.646573 0.207854 0.449456 0.565272 0.0277039
0.6733 0.2 0.2 0.4867 0.64734 0.216291 0.464029 0.567573 0.0282639
0.6733 0.2 0.2 0.4867 0.648107 0.224728 0.478602 0.569874 0.0288213
0.6733 0.2 0.2 0.4867 0.648874 0.22933 0.493175 0.571408 0.0293756
0.6733 0.2 0.2 0.4867 0.649641 0.230864 0.508515 0.572175 0.029928
0.6733 0.2 0.2 0.4867 0.650408 0.239301 0.523087 0.572942 0.0304799
0.6733 0.2 0.2 0.4867 0.651175 0.247738 0.538427 0.572942 0.0310291
0.6733 0.2 0.2 0.4867 0.651942 0.251573 0.553767 0.572175 0.0315754
0.6733 0.2 0.2 0.4867 0.652709 0.259243 0.56834 0.570641 0.0321212
0.6733 0.2 0.2 0.4867 0.652709 0.26768 0.58368 0.569107 0.0326643
