distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
3.50821e-05 0.11123 -0.140773 -0.0840847 -0.143715 0.111228 -0.140987 -0.0840308 -0.143492
7.46046e-05 0.111548 -0.140586 -0.0840873 -0.143878 0.111234 -0.141039 -0.0838222 -0.143418
0.000121134 0.112015 -0.140391 -0.084091 -0.144057 0.111238 -0.141097 -0.0835739 -0.14334
0.000176734 0.112515 -0.140193 -0.0841071 -0.144249 0.111227 -0.141164 -0.083372 -0.143247
0.000242788 0.112962 -0.140001 -0.0841523 -0.144434 0.111189 -0.141243 -0.0832789 -0.143131
0.000342247 0.11311 -0.139878 -0.0853938 -0.144449 0.110936 -0.141402 -0.0835318 -0.142923
0.000461924 0.113123 -0.139777 -0.0865844 -0.144441 0.110596 -0.141585 -0.0839508 -0.142662
0.00060428 0.112998 -0.139689 -0.0877333 -0.144417 0.110185 -0.141775 -0.0845116 -0.142349
0.000770491 0.112742 -0.139609 -0.0888457 -0.144382 0.109716 -0.141964 -0.0851965 -0.141983
0.00096093 0.112362 -0.139528 -0.0899249 -0.14434 0.109198 -0.142147 -0.0859905 -0.141563
0.00118905 0.111807 -0.139463 -0.0909977 -0.144281 0.108475 -0.142339 -0.0869568 -0.141062
0.00145181 0.111125 -0.139397 -0.0920545 -0.144215 0.107757 -0.142526 -0.0880242 -0.14049
0.00174009 0.110381 -0.139309 -0.093076 -0.144156 0.10705 -0.142692 -0.0891188 -0.139868
0.00205208 0.109575 -0.139198 -0.0940644 -0.144102 0.106325 -0.14284 -0.0902478 -0.139194
0.00238601 0.10871 -0.139059 -0.0950224 -0.144052 0.105582 -0.14297 -0.091411 -0.138466
0.00274038 0.107788 -0.138893 -0.0959524 -0.144005 0.10482 -0.143084 -0.0926056 -0.137683
0.00311352 0.106818 -0.138695 -0.0968553 -0.143961 0.104041 -0.143182 -0.0937711 -0.136859
0.00350386 0.105805 -0.138464 -0.0977318 -0.143919 0.103249 -0.143265 -0.0948534 -0.136008
0.00391013 0.104756 -0.138198 -0.0985826 -0.14388 0.102443 -0.143334 -0.0958216 -0.135147
0.00433129 0.103676 -0.137895 -0.0994086 -0.143842 0.101624 -0.143388 -0.0966608 -0.134285
0.00476084 0.102596 -0.137547 -0.100216 -0.143808 0.100818 -0.143419 -0.0973407 -0.133445
0.00519853 0.101504 -0.137158 -0.10102 -0.143773 0.100015 -0.14343 -0.0978837 -0.132629
0.00564377 0.100437 -0.136733 -0.101825 -0.143733 0.0992118 -0.143421 -0.0983079 -0.131837
0.00609595 0.0994526 -0.136285 -0.102632 -0.143687 0.0984058 -0.143395 -0.0986291 -0.13107
0.0065547 0.0985851 -0.135827 -0.103441 -0.143635 0.0975964 -0.143351 -0.0988628 -0.130329
0.0070198 0.0978504 -0.13537 -0.104254 -0.143576 0.0967829 -0.14329 -0.0990241 -0.129613
0.00749113 0.0972523 -0.134923 -0.10507 -0.14351 0.0959654 -0.143211 -0.0991266 -0.128921
0.00796863 0.0967858 -0.134492 -0.10589 -0.143437 0.0951439 -0.143113 -0.0991829 -0.128252
0.00845229 0.0964404 -0.134083 -0.106712 -0.143356 0.0943186 -0.142997 -0.0992042 -0.127604
0.00894202 0.0962011 -0.133699 -0.107539 -0.143266 0.0934886 -0.142862 -0.0992018 -0.126976
0.00943764 0.0960509 -0.133342 -0.108372 -0.14316 0.0926522 -0.142709 -0.0991862 -0.126364
0.00993895 0.0959736 -0.133014 -0.109211 -0.143039 0.0918088 -0.142538 -0.0991651 -0.125768
0.0104458 0.0959546 -0.132715 -0.110058 -0.142901 0.0909582 -0.142348 -0.099144 -0.125185
0.0109579 0.0959802 -0.132444 -0.110911 -0.142746 0.0901009 -0.142138 -0.0991274 -0.124616
0.0114752 0.0960384 -0.132201 -0.11177 -0.142572 0.0892374 -0.141909 -0.0991184 -0.124058
0.0119973 0.0961188 -0.131985 -0.112634 -0.142381 0.0883685 -0.141659 -0.0991196 -0.123511
0.012524 0.0962123 -0.131795 -0.113503 -0.142171 0.0874949 -0.141388 -0.0991331 -0.122975
0.013055 0.0963116 -0.131629 -0.114376 -0.141943 0.0866176 -0.141096 -0.0991603 -0.122449
0.01359 0.0964104 -0.131487 -0.115251 -0.141695 0.0857375 -0.140782 -0.0992022 -0.121933
0.0141287 0.0965045 -0.131367 -0.116128 -0.141428 0.0848563 -0.140445 -0.0992589 -0.121425
0.0146708 0.0965904 -0.131268 -0.117003 -0.141143 0.0839757 -0.140085 -0.0993304 -0.120927
0.015216 0.0966653 -0.131189 -0.117878 -0.140839 0.083097 -0.1397 -0.0994168 -0.120438
0.0157638 0.0967269 -0.131128 -0.118748 -0.140517 0.0822215 -0.139291 -0.0995183 -0.119957
0.0163139 0.0967734 -0.131085 -0.119615 -0.140176 0.0813505 -0.138858 -0.0996352 -0.119485
0.0168659 0.0968038 -0.131058 -0.120476 -0.139817 0.080485 -0.138399 -0.0997675 -0.11902
0.0174269 0.0968997 -0.130998 -0.121227 -0.139491 0.0797345 -0.137913 -0.100494 -0.118419
0.0179926 0.0970424 -0.130909 -0.121872 -0.139199 0.079091 -0.137402 -0.101122 -0.117874
0.0185618 0.0972093 -0.130795 -0.122427 -0.138936 0.0785349 -0.136868 -0.101672 -0.117378
0.0191331 0.0973864 -0.130659 -0.122774 -0.138752 0.0780537 -0.136315 -0.102154 -0.116925
0.0197073 0.0975745 -0.130499 -0.122962 -0.138633 0.0776513 -0.135745 -0.102565 -0.116521
0.0202831 0.0977572 -0.130322 -0.122987 -0.138582 0.0773052 -0.13516 -0.102925 -0.116155
0.0208598 0.0979255 -0.130132 -0.122995 -0.138538 0.0769993 -0.134562 -0.10325 -0.11582
0.0214364 0.0980801 -0.129933 -0.122893 -0.138538 0.0767271 -0.133954 -0.103544 -0.115511
0.0220129 0.0982184 -0.129728 -0.122969 -0.13846 0.0764799 -0.133336 -0.103816 -0.115226
0.022588 0.0983504 -0.129514 -0.122852 -0.138457 0.0762618 -0.132707 -0.104063 -0.114968
0.023162 0.0984743 -0.129295 -0.122594 -0.138512 0.0760691 -0.132068 -0.104287 -0.114736
