distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
3.50821e-05 0.110192 -0.141583 -0.0851388 -0.143089 0.110188 -0.141805 -0.0850841 -0.142874
7.46046e-05 0.110484 -0.141416 -0.0851703 -0.143229 0.110166 -0.141883 -0.0849031 -0.142792
0.000121134 0.110924 -0.141239 -0.0852038 -0.143382 0.11014 -0.14197 -0.084683 -0.142707
0.000176734 0.111402 -0.141055 -0.085246 -0.143547 0.110105 -0.142065 -0.0845053 -0.142614
0.000242788 0.111836 -0.140866 -0.085307 -0.143708 0.110051 -0.142167 -0.0844257 -0.142504
0.000342247 0.112069 -0.140668 -0.0864631 -0.143747 0.109876 -0.142274 -0.0845991 -0.142359
0.000461924 0.112196 -0.14046 -0.0875368 -0.143779 0.109648 -0.142383 -0.0849025 -0.142184
0.00060428 0.112209 -0.14024 -0.0885443 -0.143806 0.109375 -0.142485 -0.0853231 -0.141979
0.000770491 0.112108 -0.140004 -0.0894975 -0.143826 0.109061 -0.142581 -0.0858505 -0.141741
0.00096093 0.111896 -0.139752 -0.0904048 -0.14384 0.108713 -0.14267 -0.0864747 -0.141467
0.00118905 0.111541 -0.139479 -0.0912721 -0.143849 0.108195 -0.142751 -0.0872353 -0.141148
0.00145181 0.111077 -0.13918 -0.0921038 -0.143853 0.107701 -0.142825 -0.0880807 -0.140786
0.00174009 0.110547 -0.138856 -0.0929031 -0.143853 0.107213 -0.142894 -0.08896 -0.140386
0.00205208 0.109952 -0.138503 -0.0936723 -0.143848 0.106705 -0.142957 -0.0898778 -0.139946
0.00238601 0.109295 -0.13812 -0.0944131 -0.143839 0.106178 -0.143013 -0.0908327 -0.139465
0.00274038 0.108581 -0.137705 -0.0951269 -0.143826 0.105632 -0.143062 -0.0918217 -0.138941
0.00311352 0.107815 -0.137257 -0.0958145 -0.143811 0.105068 -0.143106 -0.0927846 -0.138386
0.00350386 0.107005 -0.136773 -0.0964768 -0.143792 0.10449 -0.143142 -0.0936674 -0.137814
0.00391013 0.106156 -0.136254 -0.0971145 -0.143771 0.103898 -0.143173 -0.094439 -0.137239
0.00433129 0.105275 -0.135697 -0.0977279 -0.143748 0.103292 -0.143197 -0.0950844 -0.13667
0.00476084 0.10438 -0.135103 -0.0983346 -0.14372 0.102689 -0.143211 -0.0955819 -0.136122
0.00519853 0.103466 -0.134473 -0.0989434 -0.143686 0.102083 -0.143213 -0.0959496 -0.135595
0.00564377 0.102572 -0.13381 -0.0995561 -0.143644 0.101472 -0.143203 -0.096203 -0.135093
0.00609595 0.101758 -0.133126 -0.100173 -0.143596 0.100857 -0.143181 -0.0963568 -0.134617
0.0065547 0.101058 -0.132431 -0.100794 -0.14354 0.100236 -0.143146 -0.0964256 -0.134167
0.0070198 0.100488 -0.131736 -0.10142 -0.143477 0.0996105 -0.143098 -0.0964239 -0.133743
0.00749113 0.100052 -0.13105 -0.10205 -0.143408 0.0989792 -0.143037 -0.0963652 -0.133344
0.00796863 0.0997464 -0.130377 -0.102685 -0.143331 0.0983426 -0.142962 -0.0962619 -0.132969
0.00845229 0.0995602 -0.129724 -0.103323 -0.143247 0.0977008 -0.142873 -0.0961252 -0.132615
0.00894202 0.099479 -0.129093 -0.103966 -0.143153 0.0970533 -0.14277 -0.0959659 -0.132283
0.00943764 0.0994871 -0.128486 -0.104616 -0.143045 0.0963995 -0.142652 -0.0957934 -0.131969
0.00993895 0.0995688 -0.127904 -0.105271 -0.142924 0.0957391 -0.142518 -0.0956151 -0.131674
0.0104458 0.0997097 -0.127347 -0.105933 -0.142788 0.0950721 -0.142369 -0.0954362 -0.131394
0.0109579 0.0998962 -0.126816 -0.106601 -0.142637 0.0943989 -0.142203 -0.095261 -0.131131
0.0114752 0.100116 -0.126309 -0.107274 -0.142471 0.0937198 -0.14202 -0.0950931 -0.130882
0.0119973 0.10036 -0.125827 -0.107952 -0.142289 0.0930352 -0.14182 -0.094935 -0.130647
0.012524 0.100617 -0.125368 -0.108635 -0.14209 0.0923457 -0.141602 -0.0947888 -0.130425
0.013055 0.10088 -0.124932 -0.109322 -0.141875 0.0916519 -0.141366 -0.0946562 -0.130215
0.01359 0.101144 -0.124519 -0.110013 -0.141643 0.0909544 -0.141111 -0.0945386 -0.130018
0.0141287 0.101403 -0.124127 -0.110706 -0.141393 0.0902542 -0.140838 -0.0944363 -0.129832
0.0146708 0.101653 -0.123756 -0.111401 -0.141126 0.0895521 -0.140544 -0.0943499 -0.129657
0.015216 0.101891 -0.123405 -0.112096 -0.140841 0.0888491 -0.140231 -0.09428 -0.129492
0.0157638 0.102115 -0.123074 -0.112791 -0.140538 0.088146 -0.139898 -0.0942271 -0.129337
0.0163139 0.102323 -0.122761 -0.113486 -0.140216 0.0874436 -0.139545 -0.0941915 -0.129191
0.0168659 0.102512 -0.122467 -0.114179 -0.139876 0.0867426 -0.139171 -0.0941735 -0.129054
0.0174269 0.102713 -0.122195 -0.114821 -0.139534 0.0860935 -0.138786 -0.0948126 -0.128746
0.0179926 0.10291 -0.121944 -0.115412 -0.139191 0.0854944 -0.138393 -0.0954028 -0.128436
0.0185618 0.103087 -0.121711 -0.115961 -0.138847 0.0849365 -0.137992 -0.0959535 -0.128125
0.0191331 0.103239 -0.121494 -0.116338 -0.138551 0.0844142 -0.137581 -0.0964701 -0.127815
0.0197073 0.103364 -0.121291 -0.116595 -0.138289 0.0839293 -0.137164 -0.0969509 -0.127508
