distance x y z pitch roll
3.50821e-05 0.00156568 0.149449 5.58391e-06 -0.421308 -0.00248189
7.46046e-05 0.00160521 0.149487 1.53803e-05 -0.432521 -0.00639632
0.000121134 0.00165174 0.149545 2.93764e-05 -0.443978 -0.0118607
0.000176734 0.00170734 0.14962 4.81552e-05 -0.453888 -0.0191419
0.000242788 0.00177339 0.149706 7.1332e-05 -0.459639 -0.0280338
0.000342247 0.00187284 0.149766 9.58951e-05 -0.426917 -0.0374607
0.000461924 0.00199252 0.149815 0.000128721 -0.380733 -0.050217
0.00060428 0.00213487 0.149856 0.000172885 -0.324744 -0.0674193
0.000770491 0.00230108 0.14989 0.000230653 -0.261642 -0.0898166
0.00096093 0.00249151 0.149917 0.00030333 -0.193417 -0.117833
0.00118905 0.00271963 0.149934 0.000396604 -0.111096 -0.153801
0.00145181 0.00298239 0.149946 0.000511264 -0.0212915 -0.197871
0.00174009 0.00327066 0.149954 0.000644992 0.0668869 -0.248968
0.00205208 0.00358263 0.149958 0.000796282 0.154005 -0.306537
0.00238601 0.00391654 0.149959 0.000963413 0.240492 -0.369994
0.00274038 0.0042709 0.149955 0.00114486 0.326717 -0.438816
0.00311352 0.00464401 0.149947 0.0013391 0.412606 -0.51245
0.00350386 0.00503432 0.149935 0.00154471 0.498105 -0.590382
0.00391013 0.00544056 0.14992 0.00176045 0.583267 -0.672162
0.00433129 0.00586166 0.1499 0.00198527 0.668191 -0.757406
0.00476084 0.00629117 0.149877 0.00221659 0.748747 -0.845042
0.00519853 0.00672879 0.149849 0.00245264 0.827038 -0.934525
0.00564377 0.00717395 0.149813 0.00269245 0.904055 -1.02555
0.00609595 0.00762604 0.14977 0.00293548 0.980249 -1.11793
0.0065547 0.00808467 0.149718 0.00318138 1.0559 -1.21155
0.0070198 0.00854963 0.149657 0.00342996 1.13118 -1.30636
0.00749113 0.00902079 0.149587 0.00368116 1.20615 -1.40234
0.00796863 0.00949811 0.149508 0.00393494 1.28081 -1.4995
0.00845229 0.00998155 0.149419 0.00419132 1.35513 -1.59786
0.00894202 0.010471 0.149319 0.00445007 1.42936 -1.69736
0.00943764 0.0109664 0.149207 0.00471079 1.5039 -1.79786
0.00993895 0.0114674 0.149083 0.00497322 1.57895 -1.89933
0.0104458 0.0119738 0.148945 0.00523713 1.65459 -2.00172
0.0109579 0.0124856 0.148793 0.00550233 1.7308 -2.10498
0.0114752 0.0130024 0.148626 0.00576862 1.80756 -2.2091
0.0119973 0.013524 0.148444 0.00603581 1.88478 -2.31403
0.012524 0.0140502 0.148246 0.00630368 1.96239 -2.41974
0.013055 0.0145806 0.148032 0.00657202 2.0403 -2.52618
0.01359 0.015115 0.147801 0.00684058 2.11842 -2.6333
0.0141287 0.015653 0.147554 0.00710924 2.19649 -2.74112
0.0146708 0.0161944 0.147289 0.00737785 2.27427 -2.84962
0.015216 0.0167388 0.147007 0.00764625 2.35159 -2.95879
0.0157638 0.0172858 0.146708 0.0079142 2.42828 -3.06858
0.0163139 0.017835 0.146392 0.00818144 2.50422 -3.17894
0.0168659 0.018386 0.146057 0.00844769 2.57931 -3.28982
0.0174269 0.0189461 0.145746 0.00868532 2.62954 -3.3888
0.0179926 0.0195109 0.145451 0.00889705 2.65689 -3.47856
0.0185618 0.0200794 0.145164 0.00908649 2.66521 -3.56022
0.0191331 0.0206503 0.144882 0.00925633 2.65724 -3.63476
0.0197073 0.0212242 0.144606 0.00940567 2.63218 -3.70177
0.0202831 0.0217998 0.144328 0.00953768 2.59483 -3.76261
0.0208598 0.0223763 0.144045 0.0096539 2.54867 -3.81772
0.0214364 0.022953 0.143753 0.00975562 2.49516 -3.8676
0.0220129 0.0235296 0.143449 0.00984277 2.43613 -3.91208
0.022588 0.024105 0.143136 0.0099166 2.37071 -3.95165
0.023162 0.0246795 0.142812 0.00997707 2.29966 -3.98619
0.023735 0.025253 0.142478 0.0100242 2.22336 -4.01568
0.0243069 0.0258255 0.142132 0.0100579 2.14194 -4.04008
0.0248781 0.0263975 0.141773 0.0100762 2.05682 -4.05881
0.0254467 0.026967 0.141404 0.0100819 1.96426 -4.07229
0.0260131 0.0275346 0.141026 0.0100742 1.86521 -4.08052
0.0265779 0.0281007 0.140639 0.010053 1.76008 -4.08336
0.0271412 0.0286654 0.140241 0.010018 1.64899 -4.0807
0.0277039 0.0292294 0.139832 0.00996625 1.53314 -4.07176
0.0282639 0.0297909 0.139415 0.00990013 1.40903 -4.05674
0.0288213 0.0303499 0.138989 0.00981929 1.27675 -4.0355
0.0293756 0.0309061 0.138558 0.0097251 1.13554 -4.00818
