time distance
0.002 3.50821e-05
0.004 7.46046e-05
0.006 0.000121134
0.008 0.000176734
0.01 0.000242788
0.012 0.000342247
0.014 0.000461924
0.016 0.00060428
0.018 0.000770491
0.02 0.00096093
0.022 0.00118905
0.024 0.00145181
0.026 0.00174009
0.028 0.00205208
0.03 0.00238601
0.032 0.00274038
0.034 0.00311352
0.036 0.00350386
0.038 0.00391013
0.04 0.00433129
0.042 0.00476084
0.044 0.00519853
0.046 0.00564377
0.048 0.00609595
0.05 0.0065547
0.052 0.0070198
0.054 0.00749113
0.056 0.00796863
0.058 0.00845229
0.06 0.00894202
0.062 0.00943764
0.064 0.00993895
0.066 0.0104458
0.068 0.0109579
0.07 0.0114752
0.072 0.0119973
0.074 0.012524
0.076 0.013055
0.078 0.01359
0.08 0.0141287
0.082 0.0146708
0.084 0.015216
0.086 0.0157638
0.088 0.0163139
0.09 0.0168659
0.092 0.0174269
0.094 0.0179926
0.096 0.0185618
0.098 0.0191331
0.1 0.0197073
0.102 0.0202831
0.104 0.0208598
0.106 0.0214364
0.108 0.0220129
0.11 0.022588
0.112 0.023162
0.114 0.023735
0.116 0.0243069
0.118 0.0248781
0.12 0.0254467
0.122 0.0260131
0.124 0.0265779
0.126 0.0271412
0.128 0.0277039
0.13 0.0282639
0.132 0.0288213
0.134 0.0293756
0.136 0.029928
0.138 0.0304799
0.14 0.0310291
0.142 0.0315754
0.144 0.0321212
0.146 0.0326643
0.148 0.033205
0.15 0.0337458
0.152 0.0342839
0.154 0.0348225
0.156 0.0353596
0.158 0.0358926
0.16 0.0364228
0.162 0.036947
0.164 0.037465
0.166 0.037977
0.168 0.0384833
0.17 0.0389841
0.172 0.0394797
0.174 0.0399702
0.176 0.0404899
0.178 0.0410284
0.18 0.0415798
0.182 0.0421406
0.184 0.0427149
0.186 0.0433023
0.188 0.043888
0.19 0.0444654
0.192 0.0450409
0.194 0.0456188
0.196 0.046184
0.198 0.0467453
0.2 0.0472969
0.202 0.0478462
0.204 0.0483873
0.206 0.0489222
0.208 0.0494564
0.21 0.0499826
0.212 0.050501
0.214 0.0510179
0.216 0.0515286
0.218 0.0520381
0.22 0.0525496
0.222 0.0530572
0.224 0.0535599
0.226 0.0540577
0.228 0.0545554
0.23 0.0550561
0.232 0.055554
0.234 0.0560494
0.236 0.0565418
0.238 0.0570362
0.24 0.0575282
0.242 0.0580226
0.244 0.0585154
0.246 0.0590063
0.248 0.0594997
0.25 0.0599922
0.252 0.0604834
0.254 0.0609734
0.256 0.061466
0.258 0.0619581
0.26 0.0624495
0.262 0.06294
0.264 0.0634331
0.266 0.0639248
0.268 0.0644151
0.27 0.064904
0.272 0.0653912
0.274 0.0658765
0.276 0.0663645
0.278 0.0668545
0.28 0.0673421
0.282 0.0678271
0.284 0.0683091
0.286 0.0687879
0.288 0.0692631
0.29 0.0697346
0.292 0.0702021
0.294 0.0706656
0.296 0.0711251
0.298 0.0715807
0.3 0.0720327
0.302 0.0724811
0.304 0.0729258
0.306 0.0733669
0.308 0.0738041
0.31 0.0742373
0.312 0.0746662
0.314 0.0750905
0.316 0.0755097
0.318 0.0759235
0.32 0.0763315
0.322 0.0767331
0.324 0.0771279
0.326 0.0775153
0.328 0.0778946
0.33 0.0782655
0.332 0.0786271
0.334 0.0789791
0.336 0.0793206
0.338 0.0796512
0.34 0.0799703
0.342 0.0802779
0.344 0.0805736
0.346 0.0808574
0.348 0.0811291
0.35 0.0813885
0.352 0.0816354
0.354 0.0818699
0.356 0.0820924
0.358 0.082303
0.36 0.082502
0.362 0.0826891
0.364 0.0828645
0.366 0.0830282
0.368 0.0831803
0.37 0.083321
0.372 0.0834494
0.374 0.0835679
0.376 0.0836743
0.378 0.0837688
0.38 0.083855
0.382 0.0839292
0.384 0.0839918
0.386 0.0840473
0.388 0.0840909
0.39 0.0841232
0.392 0.0841501
0.394 0.0841652
0.396 0.084169
0.398 0.0841683
0.4 0.0841545
0.402 0.084129
0.404 0.0841012
0.406 0.0840608
0.408 0.0840083
0.41 0.0839559
0.412 0.0838904
0.414 0.0838126
0.416 0.0837374
0.418 0.0836485
0.42 0.0835468
0.422 0.0834506
0.424 0.0833397
0.426 0.0832152
0.428 0.0830996
0.43 0.082968
0.432 0.0828379
0.434 0.0826912
0.436 0.0825292
0.438 0.0823833
0.44 0.0822236
0.442 0.0820456
0.444 0.0818722
0.446 0.0816807
0.448 0.081473
0.45 0.0812662
0.452 0.0810439
0.454 0.0808072
0.456 0.0805647
0.458 0.0803095
0.46 0.0800458
0.462 0.0797708
0.464 0.0794914
0.466 0.0792013
0.468 0.0789076
0.47 0.0786036
0.472 0.0782964
0.474 0.0779779
0.476 0.0776501
0.478 0.0773232
0.48 0.0769855
0.482 0.0766356
0.484 0.0762842
0.486 0.0759204
0.488 0.0755524
0.49 0.0751723
0.492 0.0747892
0.494 0.0743942
0.496 0.0739883
0.498 0.0735836
0.5 0.0731677
0.502 0.0727415
0.504 0.072316
0.506 0.0718804
0.508 0.0714417
0.51 0.0709939
0.512 0.0705375
0.514 0.0700835
0.516 0.0696206
0.518 0.0691494
0.52 0.0686796
0.522 0.0682023
0.524 0.0677198
0.526 0.0672427
0.528 0.0667597
0.53 0.0662716
0.532 0.0657889
0.534 0.0653128
0.536 0.0648395
0.538 0.0643776
0.54 0.0639122
0.542 0.0634437
0.544 0.0631371
0.546 0.0629373
0.548 0.062782
0.55 0.0626601
0.552 0.0625597
0.554 0.062471
0.556 0.0623914
0.558 0.062316
0.56 0.0622451
0.562 0.062177
0.564 0.0621193
0.566 0.0620653
0.568 0.0620154
0.57 0.0619692
0.572 0.0619264
0.574 0.061886
0.576 0.0618476
0.578 0.0618108
0.58 0.0617748
0.582 0.0617389
0.584 0.061702
0.586 0.0616634
0.588 0.0616229
0.59 0.0615799
0.592 0.0615341
0.594 0.0614849
0.596 0.0614319
0.598 0.0613746
0.6 0.0613135
0.602 0.0612477
0.604 0.0611764
0.606 0.0610991
0.608 0.061015
0.61 0.0609235
0.612 0.0608241
0.614 0.0607161
0.616 0.0605989
0.618 0.0604721
0.62 0.0603354
0.622 0.0601912
0.624 0.0600367
0.626 0.0598742
0.628 0.0597017
0.63 0.0595243
0.632 0.0593372
0.634 0.0591433
0.636 0.0589451
0.638 0.0587362
0.64 0.0585163
0.642 0.0582881
0.644 0.0580548
0.646 0.0578097
0.648 0.0575524
0.65 0.0572854
0.652 0.0570193
0.654 0.0567387
0.656 0.0564444
0.658 0.0561392
0.66 0.0558271
0.662 0.0554997
0.664 0.0551602
0.666 0.0548127
0.668 0.0544597
0.67 0.0540908
0.672 0.0537126
0.674 0.0533169
0.676 0.0529069
0.678 0.052487
0.68 0.052048
0.682 0.0516056
0.684 0.0511477
0.686 0.0506795
0.688 0.0501911
0.69 0.0496855
0.692 0.049164
0.694 0.0486401
0.696 0.0481046
0.698 0.0476064
0.7 0.0471543
0.702 0.0467515
0.704 0.046358
0.706 0.0459939
0.708 0.0456489
0.71 0.0453015
0.712 0.0449689
0.714 0.0446467
0.716 0.0443343
0.718 0.0440213
0.72 0.0437156
0.722 0.0434161
0.724 0.0431161
0.726 0.0428215
0.728 0.0425324
0.73 0.0422499
0.732 0.0419706
0.734 0.0416966
0.736 0.0414287
0.738 0.041168
0.74 0.0409152
0.742 0.040669
0.744 0.0404281
0.746 0.0401943
0.748 0.0399685
0.75 0.039751
0.752 0.0395422
0.754 0.0393427
0.756 0.0391493
0.758 0.0389627
0.76 0.0387826
0.762 0.0386079
0.764 0.0384347
0.766 0.0382624
0.768 0.0380905
0.77 0.0379189
0.772 0.0377474
0.774 0.0375759
0.776 0.0374044
0.778 0.0372332
0.78 0.0370621
0.782 0.0368914
0.784 0.0367211
0.786 0.0365514
0.788 0.0363825
0.79 0.0362143
0.792 0.0360471
0.794 0.0358808
0.796 0.0357158
0.798 0.0355519
0.8 0.0353974
0.802 0.0352509
0.804 0.0351112
0.806 0.0349778
0.808 0.0348503
0.81 0.0347287
0.812 0.0346131
0.814 0.0345029
0.816 0.0343978
0.818 0.0342975
0.82 0.0342019
0.822 0.0341107
0.824 0.0340236
0.826 0.0339427
0.828 0.0338659
0.83 0.0337933
0.832 0.0337254
0.834 0.0336616
0.836 0.0336018
0.838 0.0335459
0.84 0.0334938
0.842 0.0334454
0.844 0.0334009
0.846 0.0333604
0.848 0.0333239
0.85 0.0332914
0.852 0.0332628
0.854 0.0332382
0.856 0.0332176
0.858 0.033201
0.86 0.0331883
0.862 0.0331797
0.864 0.0331752
0.866 0.0331748
0.868 0.0331785
0.87 0.0331865
0.872 0.0331987
0.874 0.0332153
0.876 0.0332363
0.878 0.0332631
0.88 0.0332956
0.882 0.0333336
0.884 0.0333771
0.886 0.0334261
0.888 0.0334806
0.89 0.0335407
0.892 0.0336064
0.894 0.0336779
0.896 0.0337567
0.898 0.0338416
0.9 0.0339259
0.902 0.0340062
0.904 0.0340866
0.906 0.0341675
0.908 0.0342493
0.91 0.0343319
0.912 0.0344155
0.914 0.0345001
0.916 0.0345888
0.918 0.0346806
0.92 0.0347745
0.922 0.03487
0.924 0.0349665
0.926 0.0350637
0.928 0.0351613
0.93 0.0352588
0.932 0.0353562
0.934 0.035453
0.936 0.0355491
0.938 0.0356444
0.94 0.0357383
0.942 0.035831
0.944 0.035923
0.946 0.036015
0.948 0.0361079
0.95 0.0362025
0.952 0.0362997
0.954 0.0364005
0.956 0.0365057
0.958 0.0366161
0.96 0.0367327
0.962 0.0368557
