setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.4667 -0.4667 -0.3333 0.3333 0.0932722 -0.0932722 -0.0666352 0.0666353 8.77593e-07
0.466574 -0.466574 -0.333174 0.333174 0.167897 -0.126922 -0.11993 0.11993 4.22825e-06
0.466195 -0.466196 -0.332796 0.332795 0.227539 -0.19475 -0.162497 0.162497 6.85427e-06
0.465564 -0.465566 -0.332166 0.332164 0.275135 -0.2489 -0.196427 0.196427 0
0.46468 -0.464683 -0.331283 0.33128 0.31304 -0.29205 -0.223397 0.223396 0
0.463546 -0.463549 -0.330149 0.330146 0.343139 -0.326347 -0.244747 0.244745 0
0.462161 -0.462165 -0.328765 0.328761 0.366942 -0.353509 -0.26155 0.261548 0
0.460526 -0.460531 -0.327131 0.327126 0.385658 -0.374912 -0.274666 0.274663 0
0.458642 -0.458648 -0.325248 0.325242 0.400255 -0.391659 -0.284782 0.284779 0
0.456511 -0.456517 -0.323117 0.323111 0.411506 -0.404631 -0.292449 0.292446 0
0.454134 -0.45414 -0.32074 0.320734 0.420032 -0.414533 -0.298108 0.298103 0
0.451512 -0.451519 -0.318119 0.318112 0.426328 -0.42193 -0.30211 0.302105 0
0.448647 -0.448654 -0.315254 0.315247 0.430792 -0.427275 -0.304739 0.304733 0
0.44554 -0.445549 -0.312149 0.31214 0.433741 -0.43093 -0.306221 0.306215 0
0.442195 -0.442204 -0.308804 0.308795 0.435432 -0.433185 -0.306737 0.306731 0
0.438612 -0.438622 -0.305222 0.305212 0.436068 -0.434272 -0.306434 0.306427 0
0.434794 -0.434804 -0.301404 0.301394 0.435813 -0.434378 -0.305428 0.30542 0
0.430744 -0.430755 -0.297355 0.297344 0.434799 -0.433654 -0.303814 0.303805 0
0.426464 -0.426475 -0.293075 0.293064 0.433132 -0.432218 -0.301666 0.301657 0
0.421956 -0.421969 -0.288569 0.288556 0.430897 -0.430168 -0.299047 0.299037 0
0.417225 -0.417237 -0.283837 0.283825 0.428163 -0.427582 -0.296005 0.295994 0
0.412272 -0.412285 -0.278885 0.278872 0.424984 -0.424523 -0.292581 0.29257 0
0.4071 -0.407114 -0.273714 0.2737 0.421408 -0.421041 -0.288807 0.288796 0
0.401714 -0.401728 -0.268328 0.268314 0.417469 -0.417178 -0.284712 0.284699 0
0.396116 -0.396131 -0.262731 0.262716 0.413198 -0.412969 -0.280315 0.280303 0
0.39031 -0.390325 -0.256925 0.25691 0.408621 -0.40844 -0.275637 0.275624 0
0.3843 -0.384316 -0.250916 0.2509 0.403756 -0.403615 -0.270693 0.270679 0
0.378089 -0.378105 -0.244705 0.244689 0.398623 -0.398513 -0.265496 0.265481 0
0.371681 -0.371698 -0.238298 0.238281 0.393234 -0.39315 -0.260056 0.260041 0
0.365081 -0.365098 -0.231698 0.231681 0.387604 -0.38754 -0.254384 0.254369 0
0.358292 -0.35831 -0.22491 0.224892 0.381741 -0.381694 -0.24849 0.248474 0
0.351319 -0.351337 -0.217937 0.217919 0.375657 -0.375623 -0.242379 0.242363 0
0.344166 -0.344185 -0.210785 0.210766 0.369359 -0.369335 -0.23606 0.236043 0
0.336838 -0.336858 -0.203458 0.203438 0.362855 -0.36284 -0.22954 0.229522 0
0.32934 -0.32936 -0.19596 0.19594 0.356152 -0.356144 -0.222824 0.222806 0
0.321675 -0.321696 -0.188296 0.188275 0.349256 -0.349254 -0.215918 0.2159 0
0.31385 -0.313871 -0.180471 0.18045 0.342175 -0.342177 -0.208829 0.20881 0
0.305868 -0.305889 -0.172489 0.172468 0.334914 -0.33492 -0.201561 0.201542 0
0.297736 -0.297757 -0.164357 0.164336 0.327478 -0.327487 -0.19412 0.1941 0
0.289457 -0.289479 -0.156079 0.156057 0.319874 -0.319886 -0.186512 0.186492 0
0.281038 -0.28106 -0.14766 0.147638 0.312107 -0.312121 -0.178742 0.178721 0
0.272483 -0.272506 -0.139106 0.139083 0.304182 -0.304198 -0.170815 0.170794 0
0.263799 -0.263822 -0.130422 0.130399 0.296105 -0.296123 -0.162736 0.162715 0
0.25499 -0.255013 -0.121613 0.12159 0.287882 -0.287901 -0.154511 0.15449 0
0.246062 -0.246085 -0.112685 0.112662 0.279518 -0.279538 -0.146146 0.146124 0
0.23702 -0.237044 -0.103644 0.10362 0.271019 -0.271039 -0.137646 0.137623 0
0.227871 -0.227896 -0.0944957 0.0944715 0.262389 -0.26241 -0.129016 0.128993 0
0.218621 -0.218645 -0.0852453 0.0852208 0.253636 -0.253657 -0.120262 0.120239 0
0.209274 -0.209299 -0.075899 0.0758742 0.244763 -0.244786 -0.111389 0.111366 0
0.199838 -0.199863 -0.0664626 0.0664376 0.235778 -0.235801 -0.102404 0.10238 0
0.190317 -0.190342 -0.056942 0.0569169 0.226686 -0.226709 -0.0933117 0.0932876 0
0.180718 -0.180743 -0.0473434 0.0473181 0.217493 -0.217516 -0.0841181 0.0840938 0
0.171047 -0.171073 -0.0376728 0.0376472 0.208204 -0.208228 -0.0748291 0.0748045 0
0.161311 -0.161336 -0.0279362 0.0279105 0.198825 -0.198849 -0.0654506 0.0654258 0
0.151514 -0.15154 -0.0181399 0.018114 0.189363 -0.189388 -0.0559885 0.0559635 0
0.141664 -0.14169 -0.00828996 0.00826396 0.179823 -0.179848 -0.0464489 0.0464237 0
0.131767 -0.131793 0.00160733 -0.00163344 0.170212 -0.170237 -0.0368377 0.0368123 0
0.121828 -0.121854 0.0115457 -0.0115719 0.160535 -0.160561 -0.0271611 0.0271356 0
0.111855 -0.111881 0.021519 -0.0215452 0.150799 -0.150825 -0.0174252 0.0173995 0
0.101853 -0.101879 0.0315207 -0.0315471 0.14101 -0.141036 -0.00763607 0.00761024 0
0.0918289 -0.0918553 0.0415447 -0.0415711 0.131174 -0.1312 0.0022 -0.00222595 0
0.081789 -0.0818154 0.0515846 -0.051611 0.121297 -0.121323 0.0120768 -0.0121029 0
0.0717395 -0.071766 0.061634 -0.0616605 0.111386 -0.111412 0.0219882 -0.0220143 0
0.0616869 -0.0617134 0.0716866 -0.0717131 0.101446 -0.101472 0.0319278 -0.031954 0
0.0516375 -0.0516639 0.0817361 -0.0817625 0.0914843 -0.0915105 0.0418894 -0.0419156 0
0.0415975 -0.0416239 0.0917761 -0.0918025 0.081507 -0.0815333 0.0518666 -0.0518929 0
0.0315734 -0.0315998 0.1018 -0.101827 0.0715204 -0.0715467 0.0618533 -0.0618796 0
0.0215715 -0.0215978 0.111802 -0.111828 0.0615307 -0.061557 0.071843 -0.0718692 0
0.0115981 -0.0116244 0.121776 -0.121802 0.0515443 -0.0515705 0.0818294 -0.0818557 0
0.00165955 -0.00168566 0.131714 -0.13174 0.0415674 -0.0415936 0.0918063 -0.0918326 0
-0.00823797 0.00821198 0.141612 -0.141638 0.0316064 -0.0316326 0.101767 -0.101794 0
