setKForeLeft setKHindLeft setKForeRight setKHindRight realKForeLeft realKHindLeft realKForeRight realKHindRight distance
0.8333 0.2 0.2 0.5667 0.144194 -0.148796 -0.105078 0.100476 8.77593e-07
0.8333 0.2 0.2 0.5667 0.21399 -0.107379 -0.076699 0.151864 4.22825e-06
0.8333 0.2 0.2 0.5667 0.235466 -0.078233 -0.0391165 0.167971 6.85427e-06
0.8333 0.2 0.2 0.5667 0.227029 -0.0345146 0.00230097 0.164136 0
0.8333 0.2 0.2 0.5667 0.202485 0.0145728 0.0444854 0.149563 0
0.8333 0.2 0.2 0.5667 0.171806 0.0644272 0.0851359 0.130388 0
0.8333 0.2 0.2 0.5667 0.140359 0.113515 0.123485 0.111214 0
0.8333 0.2 0.2 0.5667 0.112748 0.158767 0.158 0.0943398 0
0.8333 0.2 0.2 0.5667 0.0905049 0.197884 0.187146 0.082068 0
0.8333 0.2 0.2 0.5667 0.0751651 0.230864 0.210922 0.0743981 0
0.8333 0.2 0.2 0.5667 0.0659612 0.256942 0.230097 0.0720971 0
0.8333 0.2 0.2 0.5667 0.0636602 0.277651 0.24467 0.0751651 0
0.8333 0.2 0.2 0.5667 0.0667282 0.291456 0.254641 0.082068 0
0.8333 0.2 0.2 0.5667 0.075932 0.30066 0.260777 0.0935728 0
0.8333 0.2 0.2 0.5667 0.0889709 0.306029 0.264612 0.108913 0
0.8333 0.2 0.2 0.5667 0.105845 0.307563 0.266146 0.126553 0
0.8333 0.2 0.2 0.5667 0.126553 0.306029 0.265379 0.146495 0
0.8333 0.2 0.2 0.5667 0.148796 0.302961 0.263845 0.169505 0
0.8333 0.2 0.2 0.5667 0.174107 0.298359 0.260777 0.193282 0
0.8333 0.2 0.2 0.5667 0.200951 0.292223 0.256942 0.217825 0
0.8333 0.2 0.2 0.5667 0.228563 0.286087 0.253107 0.243136 0
0.8333 0.2 0.2 0.5667 0.257709 0.279951 0.249272 0.266913 0
0.8333 0.2 0.2 0.5667 0.286854 0.273816 0.245437 0.289155 0
0.8333 0.2 0.2 0.5667 0.316767 0.26768 0.241602 0.311398 0
0.8333 0.2 0.2 0.5667 0.347447 0.261544 0.237767 0.33134 0
0.8333 0.2 0.2 0.5667 0.378126 0.255408 0.234699 0.349748 0
0.8333 0.2 0.2 0.5667 0.408806 0.250806 0.231631 0.366621 0
0.8333 0.2 0.2 0.5667 0.439485 0.245437 0.228563 0.381961 0
0.8333 0.2 0.2 0.5667 0.468631 0.241602 0.226262 0.396534 0
0.8333 0.2 0.2 0.5667 0.49701 0.237767 0.223961 0.408806 0
0.8333 0.2 0.2 0.5667 0.523854 0.233932 0.22166 0.420311 0
0.8333 0.2 0.2 0.5667 0.548398 0.230864 0.219359 0.431049 0
0.8333 0.2 0.2 0.5667 0.570641 0.227796 0.217825 0.441019 0
0.8333 0.2 0.2 0.5667 0.59135 0.224728 0.216291 0.449456 0
0.8333 0.2 0.2 0.5667 0.610524 0.222427 0.214757 0.457126 0
0.8333 0.2 0.2 0.5667 0.627398 0.220126 0.21399 0.464029 0
0.8333 0.2 0.2 0.5667 0.642738 0.218592 0.212456 0.470932 0
0.8333 0.2 0.2 0.5667 0.657311 0.217058 0.211689 0.476301 0
0.8333 0.2 0.2 0.5667 0.669583 0.215524 0.210922 0.48167 0
0.8333 0.2 0.2 0.5667 0.681087 0.21399 0.210155 0.487039 0
0.8333 0.2 0.2 0.5667 0.691825 0.212456 0.209388 0.491641 0
0.8333 0.2 0.2 0.5667 0.701029 0.210922 0.208621 0.495476 0
0.8333 0.2 0.2 0.5667 0.710233 0.210155 0.207854 0.499311 0
0.8333 0.2 0.2 0.5667 0.717903 0.209388 0.207087 0.503146 0
0.8333 0.2 0.2 0.5667 0.725573 0.207854 0.20632 0.506214 0
0.8333 0.2 0.2 0.5667 0.731709 0.207087 0.20632 0.509282 0
0.8333 0.2 0.2 0.5667 0.738612 0.20632 0.205553 0.51235 0
0.8333 0.2 0.2 0.5667 0.743981 0.205553 0.205553 0.514651 0
0.8333 0.2 0.2 0.5667 0.74935 0.204786 0.204786 0.517719 0
0.8333 0.2 0.2 0.5667 0.753952 0.204019 0.204786 0.520019 0
0.8333 0.2 0.2 0.5667 0.758553 0.204019 0.204019 0.521553 0
0.8333 0.2 0.2 0.5667 0.763155 0.203252 0.204019 0.523854 0
0.8333 0.2 0.2 0.5667 0.76699 0.202485 0.203252 0.526155 0
0.8333 0.2 0.2 0.5667 0.770825 0.201718 0.203252 0.527689 0
0.8333 0.2 0.2 0.5667 0.773893 0.201718 0.202485 0.529223 0
0.8333 0.2 0.2 0.5667 0.777728 0.200951 0.202485 0.530757 0
0.8333 0.2 0.2 0.5667 0.780029 0.200184 0.201718 0.532291 0
0.8333 0.2 0.2 0.5667 0.783097 0.200184 0.201718 0.533825 0
0.8333 0.2 0.2 0.5667 0.785398 0.199418 0.201718 0.534592 0
0.8333 0.2 0.2 0.5667 0.788466 0.199418 0.200951 0.536126 0
0.8333 0.2 0.2 0.5667 0.790767 0.198651 0.200951 0.53766 0
0.8333 0.2 0.2 0.5667 0.792301 0.197884 0.200184 0.538427 0
0.8333 0.2 0.2 0.5667 0.794602 0.197884 0.200184 0.539194 0
0.8333 0.2 0.2 0.5667 0.796136 0.197117 0.200184 0.540728 0
0.8333 0.2 0.2 0.5667 0.798437 0.197117 0.199418 0.541495 0
0.8333 0.2 0.2 0.5667 0.799971 0.19635 0.199418 0.542262 0
0.8333 0.2 0.2 0.5667 0.801505 0.19635 0.199418 0.543029 0
0.8333 0.2 0.2 0.5667 0.803039 0.19635 0.198651 0.543796 0
0.8333 0.2 0.2 0.5667 0.803806 0.195583 0.198651 0.544563 0
0.8333 0.2 0.2 0.5667 0.80534 0.195583 0.198651 0.54533 0
0.8333 0.2 0.2 0.5667 0.806874 0.194816 0.197884 0.546097 0
0.8333 0.2 0.2 0.5667 0.807641 0.194816 0.197884 0.546097 0
0.8333 0.2 0.2 0.5667 0.808408 0.194049 0.197884 0.546864 0
0.8333 0.2 0.2 0.5667 0.809942 0.194049 0.197117 0.547631 0
0.8333 0.2 0.2 0.5667 0.810709 0.194049 0.197117 0.548398 0
0.8333 0.2 0.2 0.5667 0.811476 0.193282 0.197117 0.548398 0
0.8333 0.2 0.2 0.5667 0.812243 0.193282 0.19635 0.549165 0
0.8333 0.2 0.2 0.5667 0.81301 0.193282 0.19635 0.549932 0
0.8333 0.2 0.2 0.5667 0.813777 0.192515 0.19635 0.549932 0
0.8333 0.2 0.2 0.5667 0.814544 0.192515 0.19635 0.550699 0
0.8333 0.2 0.2 0.5667 0.815311 0.192515 0.195583 0.550699 0
0.8333 0.2 0.2 0.5667 0.816078 0.191748 0.195583 0.551466 0
0.8333 0.2 0.2 0.5667 0.816078 0.191748 0.195583 0.551466 0
0.8333 0.2 0.2 0.5667 0.816845 0.191748 0.195583 0.552233 0
0.8333 0.2 0.2 0.5667 0.817612 0.190981 0.194816 0.552233 0
0.8333 0.2 0.2 0.5667 0.818379 0.190981 0.194816 0.553 0
0.8333 0.2 0.2 0.5667 0.818379 0.190981 0.194816 0.553 0
0.8333 0.2 0.2 0.5667 0.819146 0.190214 0.194816 0.553767 0
0.8333 0.2 0.2 0.5667 0.819146 0.190214 0.194049 0.553767 0
0.8333 0.2 0.2 0.5667 0.819913 0.190214 0.194049 0.554534 0
0.8333 0.2 0.2 0.5667 0.819913 0.190214 0.194049 0.554534 0
0.8333 0.2 0.2 0.5667 0.82068 0.189447 0.194049 0.555301 0
0.8333 0.2 0.2 0.5667 0.82068 0.189447 0.193282 0.555301 0
0.8333 0.2 0.2 0.5667 0.821447 0.189447 0.193282 0.555301 0
0.2 0.5667 0.8333 0.2 0.82068 0.190214 0.194049 0.554534 0
0.2 0.5667 0.8333 0.2 0.818379 0.191748 0.195583 0.553 0
0.2 0.5667 0.8333 0.2 0.813777 0.194816 0.199418 0.549165 0
0.2 0.5667 0.8333 0.2 0.807641 0.200184 0.204019 0.543796 0
0.2 0.5667 0.8333 0.2 0.799971 0.207087 0.210922 0.536126 0
0.2 0.5667 0.8333 0.2 0.79 0.215524 0.219359 0.526922 0
0.2 0.5667 0.8333 0.2 0.779262 0.225495 0.230097 0.516185 0
0.2 0.5667 0.8333 0.2 0.766223 0.237767 0.241602 0.503913 0
0.2 0.5667 0.8333 0.2 0.752418 0.250806 0.255408 0.490107 0
0.2 0.5667 0.8333 0.2 0.737078 0.266146 0.269981 0.475534 0
0.2 0.5667 0.8333 0.2 0.720971 0.282252 0.286087 0.45866 0
0.2 0.5667 0.8333 0.2 0.704097 0.299126 0.303728 0.441786 0
0.2 0.5667 0.8333 0.2 0.685689 0.317534 0.322136 0.424146 0
0.2 0.5667 0.8333 0.2 0.666515 0.335175 0.341311 0.407272 0
0.2 0.5667 0.8333 0.2 0.64734 0.352049 0.362019 0.391165 0
0.2 0.5667 0.8333 0.2 0.626631 0.368155 0.382728 0.375825 0
0.2 0.5667 0.8333 0.2 0.605922 0.382728 0.404971 0.361252 0
0.2 0.5667 0.8333 0.2 0.58368 0.397301 0.427214 0.348214 0
0.2 0.5667 0.8333 0.2 0.561437 0.409573 0.450223 0.336709 0
0.2 0.5667 0.8333 0.2 0.539194 0.421845 0.474 0.325204 0
0.2 0.5667 0.8333 0.2 0.516185 0.431816 0.497777 0.315233 0
0.2 0.5667 0.8333 0.2 0.493175 0.441786 0.521553 0.306029 0
0.2 0.5667 0.8333 0.2 0.471699 0.450223 0.544563 0.297592 0
0.2 0.5667 0.8333 0.2 0.45099 0.45866 0.566806 0.290689 0
0.2 0.5667 0.8333 0.2 0.431816 0.465563 0.586748 0.283019 0
0.2 0.5667 0.8333 0.2 0.414942 0.471699 0.605922 0.276884 0
0.2 0.5667 0.8333 0.2 0.398068 0.477835 0.622796 0.271515 0
0.2 0.5667 0.8333 0.2 0.383495 0.483204 0.638903 0.266146 0
0.2 0.5667 0.8333 0.2 0.369689 0.487806 0.653476 0.260777 0
0.2 0.5667 0.8333 0.2 0.357418 0.492408 0.666515 0.256942 0
0.2 0.5667 0.8333 0.2 0.345146 0.496243 0.67802 0.25234 0
0.2 0.5667 0.8333 0.2 0.335175 0.500078 0.688757 0.249272 0
0.2 0.5667 0.8333 0.2 0.325204 0.503913 0.698728 0.245437 0
0.2 0.5667 0.8333 0.2 0.316 0.506981 0.707165 0.242369 0
0.2 0.5667 0.8333 0.2 0.307563 0.509282 0.715602 0.239301 0
0.2 0.5667 0.8333 0.2 0.30066 0.51235 0.723272 0.237 0
0.2 0.5667 0.8333 0.2 0.29299 0.514651 0.730175 0.234699 0
0.2 0.5667 0.8333 0.2 0.286854 0.516952 0.736311 0.232398 0
0.2 0.5667 0.8333 0.2 0.280718 0.519252 0.74168 0.230097 0
0.2 0.5667 0.8333 0.2 0.27535 0.521553 0.747049 0.228563 0
0.2 0.5667 0.8333 0.2 0.270748 0.523087 0.752418 0.226262 0
0.2 0.5667 0.8333 0.2 0.266146 0.525388 0.75702 0.224728 0
0.2 0.5667 0.8333 0.2 0.261544 0.526922 0.760854 0.223194 0
0.2 0.5667 0.8333 0.2 0.257709 0.528456 0.765456 0.22166 0
0.2 0.5667 0.8333 0.2 0.253874 0.52999 0.768524 0.220893 0
0.2 0.5667 0.8333 0.2 0.250806 0.530757 0.772359 0.219359 0
0.2 0.5667 0.8333 0.2 0.247738 0.532291 0.775427 0.217825 0
0.2 0.5667 0.8333 0.2 0.24467 0.533825 0.778495 0.217058 0
0.2 0.5667 0.8333 0.2 0.242369 0.534592 0.781563 0.216291 0
0.2 0.5667 0.8333 0.2 0.239301 0.535359 0.783864 0.214757 0
0.2 0.5667 0.8333 0.2 0.237 0.536893 0.786165 0.21399 0
0.2 0.5667 0.8333 0.2 0.235466 0.53766 0.788466 0.213223 0
0.2 0.5667 0.8333 0.2 0.233165 0.538427 0.790767 0.212456 0
0.2 0.5667 0.8333 0.2 0.231631 0.539194 0.792301 0.211689 0
0.2 0.5667 0.8333 0.2 0.22933 0.539961 0.794602 0.210922 0
0.2 0.5667 0.8333 0.2 0.227796 0.540728 0.796136 0.210155 0
0.2 0.5667 0.8333 0.2 0.226262 0.541495 0.79767 0.209388 0
0.2 0.5667 0.8333 0.2 0.224728 0.541495 0.799204 0.209388 0
0.2 0.5667 0.8333 0.2 0.223194 0.542262 0.800738 0.208621 0
