distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
8.77593e-07 0.111446 -0.13996 -0.0826542 -0.145394 0.112498 -0.143483 -0.0833048 -0.142134
4.22825e-06 0.116169 -0.137619 -0.0921108 -0.145118 0.101374 -0.144434 -0.079868 -0.140905
6.85427e-06 0.123814 -0.135338 -0.1055 -0.144047 0.0910382 -0.144393 -0.074283 -0.139998
0 0.132471 -0.133015 -0.118104 -0.141743 0.0816043 -0.143592 -0.068083 -0.139089
0 0.14108 -0.130472 -0.129258 -0.138565 0.0733654 -0.142288 -0.0619507 -0.138172
0 0.148884 -0.127833 -0.138802 -0.134884 0.0663851 -0.140632 -0.0563854 -0.137224
0 0.15552 -0.125285 -0.146652 -0.131023 0.0606551 -0.138838 -0.0516624 -0.1363
0 0.160861 -0.123012 -0.152853 -0.127328 0.0561314 -0.137088 -0.0478977 -0.135471
0 0.164925 -0.121146 -0.15756 -0.124036 0.052709 -0.135507 -0.0451042 -0.134795
0 0.167809 -0.119752 -0.160972 -0.121285 0.0502548 -0.134171 -0.0432316 -0.1343
0 0.169644 -0.118837 -0.163297 -0.119125 0.0486273 -0.133108 -0.0421947 -0.13399
0 0.170553 -0.118381 -0.164765 -0.117504 0.0476626 -0.132317 -0.0419203 -0.133846
0 0.170712 -0.118279 -0.165468 -0.116466 0.0472923 -0.131775 -0.042246 -0.133837
0 0.170217 -0.11848 -0.165606 -0.115883 0.0473664 -0.131446 -0.043108 -0.133924
0 0.169153 -0.118929 -0.16536 -0.115607 0.0477527 -0.131296 -0.0444465 -0.13407
0 0.16768 -0.119502 -0.164714 -0.115706 0.04844 -0.131281 -0.046102 -0.134233
0 0.165843 -0.120166 -0.163831 -0.116022 0.0493137 -0.131366 -0.0480464 -0.134382
0 0.163718 -0.12087 -0.162787 -0.116489 0.0503149 -0.131523 -0.0502166 -0.134493
0 0.161371 -0.121567 -0.161638 -0.117056 0.0514003 -0.131731 -0.0525477 -0.134546
0 0.158858 -0.122222 -0.160427 -0.117686 0.0525366 -0.131972 -0.0549236 -0.134523
0 0.156225 -0.122812 -0.159187 -0.11835 0.0536987 -0.132232 -0.0572625 -0.134422
0 0.153513 -0.123319 -0.157941 -0.119026 0.0548686 -0.132503 -0.0595097 -0.134247
0 0.150751 -0.12373 -0.156706 -0.1197 0.0560344 -0.132776 -0.0616315 -0.134009
0 0.147966 -0.124041 -0.155493 -0.120364 0.0571885 -0.133048 -0.0636102 -0.13372
0 0.145178 -0.124247 -0.154307 -0.12101 0.0583272 -0.133316 -0.0654402 -0.133392
0 0.142403 -0.124348 -0.15315 -0.121637 0.0594492 -0.133576 -0.0671244 -0.133037
0 0.139652 -0.124347 -0.152022 -0.122244 0.0605555 -0.13383 -0.0686718 -0.132665
0 0.136949 -0.124244 -0.150921 -0.12283 0.061648 -0.134075 -0.0700953 -0.132285
0 0.134367 -0.124042 -0.149843 -0.123396 0.0627298 -0.134312 -0.0714095 -0.131902
0 0.13195 -0.123751 -0.148783 -0.123945 0.0638039 -0.134541 -0.0726304 -0.131524
0 0.129718 -0.123388 -0.147738 -0.124477 0.0648738 -0.134761 -0.0737739 -0.131154
0 0.127677 -0.122968 -0.146702 -0.124994 0.0659428 -0.134973 -0.0748549 -0.130794
0 0.125821 -0.122508 -0.145672 -0.125497 0.0670143 -0.135178 -0.0758871 -0.130448
0 0.124136 -0.122023 -0.144644 -0.125988 0.0680912 -0.135375 -0.0768831 -0.130115
0 0.122605 -0.121526 -0.143613 -0.126469 0.0691763 -0.135564 -0.0778536 -0.129796
0 0.121207 -0.121025 -0.142576 -0.12694 0.0702718 -0.135746 -0.078808 -0.129493
0 0.119921 -0.12053 -0.14153 -0.127402 0.0713799 -0.13592 -0.0797543 -0.129204
0 0.118728 -0.120045 -0.140473 -0.127855 0.072502 -0.136086 -0.0806991 -0.128929
0 0.11761 -0.119577 -0.139403 -0.128302 0.0736397 -0.136244 -0.0816476 -0.128667
0 0.116549 -0.119127 -0.138317 -0.128741 0.074794 -0.136394 -0.0826042 -0.128417
0 0.115531 -0.118698 -0.137214 -0.129173 0.0759656 -0.136536 -0.0835721 -0.128179
0 0.114545 -0.118291 -0.136094 -0.129599 0.0771552 -0.136669 -0.0845538 -0.12795
0 0.113579 -0.117906 -0.134955 -0.130018 0.078363 -0.136792 -0.0855512 -0.127731
0 0.112625 -0.117544 -0.133797 -0.13043 0.0795892 -0.136906 -0.0865656 -0.12752
0 0.111677 -0.117204 -0.132619 -0.130834 0.0808338 -0.13701 -0.0875977 -0.127315
0 0.11073 -0.116886 -0.131422 -0.131232 0.0820965 -0.137103 -0.088648 -0.127115
0 0.109779 -0.116588 -0.130204 -0.131622 0.0833771 -0.137186 -0.0897166 -0.12692
0 0.108821 -0.11631 -0.128968 -0.132003 0.0846752 -0.137257 -0.0908034 -0.126727
0 0.107854 -0.11605 -0.127711 -0.132377 0.0859902 -0.137317 -0.091908 -0.126537
0 0.106877 -0.115807 -0.126436 -0.132741 0.0873215 -0.137364 -0.0930299 -0.126348
0 0.105888 -0.11558 -0.125143 -0.133096 0.0886684 -0.137399 -0.0941685 -0.126159
0 0.104886 -0.115367 -0.123831 -0.133442 0.0900301 -0.137421 -0.0953232 -0.125969
0 0.103873 -0.115167 -0.122503 -0.133776 0.0914059 -0.13743 -0.0964931 -0.125777
0 0.102846 -0.114979 -0.121158 -0.134101 0.0927948 -0.137425 -0.0976774 -0.125582
0 0.101807 -0.114801 -0.119798 -0.134414 0.0941959 -0.137406 -0.0988752 -0.125383
0 0.100756 -0.114632 -0.118422 -0.134715 0.0956083 -0.137373 -0.100086 -0.12518
0 0.0996929 -0.11447 -0.117034 -0.135004 0.0970309 -0.137326 -0.101307 -0.124972
0 0.0986187 -0.114316 -0.115632 -0.13528 0.0984629 -0.137264 -0.10254 -0.124758
0 0.0975338 -0.114166 -0.114218 -0.135544 0.0999031 -0.137187 -0.103782 -0.124538
0 0.096439 -0.114021 -0.112793 -0.135794 0.101351 -0.137095 -0.105032 -0.124311
0 0.0953349 -0.113879 -0.111359 -0.136031 0.102804 -0.136988 -0.10629 -0.124076
0 0.0942225 -0.113739 -0.109915 -0.136253 0.104263 -0.136865 -0.107555 -0.123833
0 0.0931025 -0.1136 -0.108464 -0.136461 0.105725 -0.136728 -0.108824 -0.123582
0 0.0919757 -0.113462 -0.107006 -0.136655 0.107191 -0.136575 -0.110098 -0.123323
0 0.090843 -0.113323 -0.105542 -0.136834 0.108658 -0.136406 -0.111376 -0.123054
0 0.0897054 -0.113183 -0.104074 -0.136998 0.110126 -0.136223 -0.112655 -0.122776
0 0.0885637 -0.113041 -0.102603 -0.137147 0.111594 -0.136024 -0.113935 -0.122489
0 0.0874188 -0.112896 -0.101129 -0.137281 0.11306 -0.13581 -0.115216 -0.122193
0 0.0862718 -0.112748 -0.0996537 -0.137399 0.114524 -0.135582 -0.116496 -0.121886
0 0.0851234 -0.112597 -0.0981785 -0.137502 0.115984 -0.135338 -0.117773 -0.12157
0 0.0839748 -0.112441 -0.0967043 -0.13759 0.117439 -0.135081 -0.119048 -0.121245
0 0.0828268 -0.112281 -0.0952323 -0.137663 0.118889 -0.134809 -0.120318 -0.12091
0 0.0816803 -0.112115 -0.0937636 -0.13772 0.120331 -0.134523 -0.121583 -0.120565
0 0.0805363 -0.111945 -0.0922992 -0.137762 0.121766 -0.134224 -0.122843 -0.120212
0 0.0793958 -0.111769 -0.0908403 -0.13779 0.123192 -0.133912 -0.124095 -0.119849
0 0.0782596 -0.111588 -0.0893879 -0.137802 0.124608 -0.133588 -0.125339 -0.119477
0 0.0771287 -0.1114 -0.0879432 -0.137801 0.126013 -0.133251 -0.126574 -0.119097
0 0.076004 -0.111207 -0.0865072 -0.137785 0.127407 -0.132902 -0.127799 -0.118708
0 0.0748864 -0.111009 -0.085081 -0.137755 0.128787 -0.132543 -0.129014 -0.118312
0 0.0737769 -0.110804 -0.0836657 -0.137711 0.130154 -0.132173 -0.130217 -0.117908
0 0.0726761 -0.110594 -0.0822621 -0.137654 0.131506 -0.131793 -0.131407 -0.117497
0 0.0715851 -0.110378 -0.0808715 -0.137585 0.132843 -0.131403 -0.132584 -0.11708
0 0.0705047 -0.110156 -0.0794947 -0.137503 0.134163 -0.131005 -0.133747 -0.116656
0 0.0694357 -0.10993 -0.0781328 -0.137409 0.135466 -0.130598 -0.134895 -0.116227
0 0.0683789 -0.109698 -0.0767867 -0.137304 0.13675 -0.130185 -0.136027 -0.115792
0 0.067335 -0.109461 -0.0754574 -0.137187 0.138016 -0.129764 -0.137143 -0.115354
0 0.066305 -0.10922 -0.0741457 -0.13706 0.139263 -0.129338 -0.138242 -0.114911
0 0.0652894 -0.108975 -0.0728526 -0.136924 0.140489 -0.128906 -0.139322 -0.114465
0 0.0642891 -0.108726 -0.071579 -0.136778 0.141694 -0.12847 -0.140384 -0.114017
0 0.0633048 -0.108474 -0.0703256 -0.136623 0.142877 -0.12803 -0.141427 -0.113566
0 0.0623371 -0.108219 -0.0690934 -0.136461 0.144038 -0.127587 -0.142451 -0.113115
0 0.0613867 -0.107961 -0.0678831 -0.13629 0.145176 -0.127143 -0.143453 -0.112663
0 0.0604542 -0.1077 -0.0666956 -0.136113 0.14629 -0.126696 -0.144435 -0.11221
0 0.0595403 -0.107439 -0.0655315 -0.13593 0.147379 -0.12625 -0.145396 -0.111759
0 0.0587167 -0.107224 -0.0644645 -0.135742 0.148373 -0.12582 -0.146273 -0.11136
0 0.0580093 -0.107081 -0.0635393 -0.135547 0.149228 -0.125419 -0.147039 -0.111045
0 0.0574217 -0.107022 -0.0627799 -0.135348 0.14992 -0.12505 -0.147684 -0.110829
0 0.0569465 -0.107051 -0.062196 -0.135142 0.15044 -0.124715 -0.148211 -0.110719
0 0.0565723 -0.107167 -0.0617874 -0.134927 0.150788 -0.124412 -0.148627 -0.110716
0 0.0562867 -0.107368 -0.0615476 -0.134702 0.150969 -0.124137 -0.148943 -0.110816
0 0.0560778 -0.107648 -0.0614661 -0.134462 0.150992 -0.123883 -0.14917 -0.111014
0 0.0559352 -0.108004 -0.0615304 -0.134204 0.15087 -0.123645 -0.149319 -0.111304
0 0.0558502 -0.10843 -0.0617267 -0.133924 0.150615 -0.123416 -0.1494 -0.111678
0 0.0558157 -0.108922 -0.0620413 -0.13362 0.150238 -0.12319 -0.149421 -0.11213
0 0.0558263 -0.109474 -0.0624608 -0.133287 0.149754 -0.12296 -0.149389 -0.112652
0 0.0558777 -0.110083 -0.0629725 -0.132924 0.149173 -0.122721 -0.149309 -0.113238
0 0.0559671 -0.110745 -0.063508 -0.13253 0.148506 -0.122469 -0.149235 -0.113845
0 0.0560926 -0.111457 -0.0640064 -0.132108 0.147763 -0.122197 -0.149208 -0.114437
0 0.0562527 -0.112214 -0.0644309 -0.131664 0.146953 -0.121903 -0.149247 -0.114994
0 0.0564469 -0.113014 -0.0647622 -0.131203 0.146085 -0.121585 -0.14936 -0.115507
0 0.0566753 -0.113853 -0.0649934 -0.130733 0.145165 -0.121239 -0.149543 -0.115973
0 0.0569383 -0.114727 -0.0651261 -0.130258 0.144199 -0.120863 -0.149789 -0.116392
0 0.057237 -0.115635 -0.0651676 -0.129784 0.143194 -0.120456 -0.15009 -0.116765
0 0.0575725 -0.116573 -0.0651284 -0.129315 0.142154 -0.120016 -0.150435 -0.117095
0 0.0579462 -0.117539 -0.0650208 -0.128854 0.141083 -0.119543 -0.150815 -0.117386
0 0.0582933 -0.118496 -0.0648578 -0.128404 0.140052 -0.119029 -0.151219 -0.117643
0 0.0585772 -0.119424 -0.0646522 -0.127967 0.139111 -0.118474 -0.151639 -0.117868
0 0.0587847 -0.120311 -0.0644159 -0.127545 0.138286 -0.117884 -0.152066 -0.118067
0 0.0589156 -0.121152 -0.0641599 -0.127139 0.137588 -0.117265 -0.152494 -0.118241
0 0.0589761 -0.121946 -0.063894 -0.12675 0.137015 -0.116628 -0.152915 -0.118395
0 0.0589754 -0.122694 -0.0636266 -0.126378 0.136559 -0.11598 -0.153325 -0.118532
0 0.0589242 -0.123396 -0.0633652 -0.126025 0.136206 -0.11533 -0.153719 -0.118656
0 0.058833 -0.124055 -0.0631157 -0.125691 0.135941 -0.114685 -0.154091 -0.118769
0 0.0587119 -0.124672 -0.0628833 -0.125376 0.135749 -0.11405 -0.15444 -0.118874
