distance x y z pitch roll
8.77593e-07 -0.000361392 0.16647 2.43157e-06 -0.00575904 -0.00407366
4.22825e-06 -0.000358042 0.166465 -7.87296e-06 0.00297234 0.0128944
6.85427e-06 -0.000355414 0.166444 -9.14322e-06 -0.0119171 0.0255951
0 -0.000365972 0.166414 -1.2385e-05 -0.00839271 0.0106604
0 -0.00036829 0.16642 -1.05158e-05 -0.00906456 0.00732832
0 -0.000369471 0.166432 -9.65738e-06 -0.00884433 0.00606529
0 -0.000370276 0.166443 -8.76105e-06 -0.00810135 0.00465292
0 -0.000370776 0.166453 -7.14027e-06 -0.00732962 0.00205229
0 -0.000371035 0.16646 -4.88657e-06 -0.00664016 -0.00152822
0 -0.000371141 0.166466 -2.38801e-06 -0.00606637 -0.00541775
0 -0.000371055 0.166471 8.60348e-08 -0.00574677 -0.00925646
0 -0.000374651 0.166462 2.46254e-06 0.000322434 -0.0107103
0 -0.000374056 0.166465 3.51081e-06 -0.000634616 -0.0122615
0 -0.000373109 0.166469 3.97873e-06 -0.00177561 -0.0129714
0 -0.000376857 0.166454 1.88351e-06 0.00507151 -0.00858892
0 -0.000375569 0.166457 8.86737e-07 0.00275718 -0.00714475
0 -0.000374038 0.166461 4.45657e-07 0.000535742 -0.00651328
0 -0.000372931 0.166465 1.17746e-07 -0.0010305 -0.00601214
0 -0.000372178 0.166467 -2.62407e-07 -0.00212123 -0.00541328
0 -0.000371685 0.166468 -7.31576e-07 -0.00292448 -0.00467199
0 -0.000371365 0.166469 -1.28104e-06 -0.00352569 -0.00380491
0 -0.000371159 0.166469 -1.88081e-06 -0.0039771 -0.00286067
0 -0.00037103 0.166469 -2.49338e-06 -0.00431485 -0.00189842
0 -0.000370953 0.166469 -3.0831e-06 -0.00456543 -0.000973782
0 -0.000370909 0.166469 -3.62149e-06 -0.00474884 -0.000130781
0 -0.000370889 0.166469 -4.08946e-06 -0.00488038 0.000601255
0 -0.000370883 0.166469 -4.47725e-06 -0.00497196 0.00120752
0 -0.000370892 0.166469 -4.78226e-06 -0.00503991 0.00168408
0 -0.000370931 0.166469 -4.99737e-06 -0.00510912 0.00201873
0 -0.000370987 0.166469 -5.11122e-06 -0.00516248 0.00219327
0 -0.000371051 0.166469 -5.12414e-06 -0.0051904 0.00220928
0 -0.000371117 0.166469 -5.04997e-06 -0.00519178 0.00208946
0 -0.00037118 0.166469 -4.91104e-06 -0.00517051 0.00186936
0 -0.000371237 0.16647 -4.73223e-06 -0.00513247 0.00158801
0 -0.000371285 0.16647 -4.53637e-06 -0.00508375 0.00128093
0 -0.000371324 0.16647 -4.34165e-06 -0.00502968 0.000976261
0 -0.000371354 0.16647 -4.16076e-06 -0.00497449 0.000693546
0 -0.000371376 0.16647 -4.00123e-06 -0.00492122 0.000444311
0 -0.000371391 0.16647 -3.86637e-06 -0.0048719 0.000233551
0 -0.000371401 0.16647 -3.7564e-06 -0.00482769 6.15317e-05
0 -0.000371406 0.16647 -3.66954e-06 -0.00478912 -7.45211e-05
