setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.4667 -0.4667 -0.3333 0.3333 0.0093339 -0.00933393 -0.00666599 0.00666596 1.53987e-07
0.466574 -0.466574 -0.333174 0.333174 0.0184786 -0.0184786 -0.0131961 0.0131961 6.24359e-07
0.466195 -0.466196 -0.332796 0.332795 0.0274328 -0.0274328 -0.019588 0.019588 4.70358e-07
0.465564 -0.465566 -0.332166 0.332164 0.0361954 -0.0361954 -0.0258395 0.0258395 4.60246e-07
0.46468 -0.464683 -0.331283 0.33128 0.044765 -0.0447651 -0.0319484 0.0319483 5.03648e-07
0.463546 -0.463549 -0.330149 0.330146 0.0531406 -0.0531407 -0.0379124 0.0379123 5.67548e-07
0.462161 -0.462165 -0.328765 0.328761 0.061321 -0.0613212 -0.0437294 0.0437292 6.2347e-07
0.460526 -0.460531 -0.327131 0.327126 0.069305 -0.0693053 -0.0493974 0.0493971 6.44184e-07
0.458642 -0.458648 -0.325248 0.325242 0.0770918 -0.0770921 -0.0549144 0.054914 6.46472e-07
0.456511 -0.456517 -0.323117 0.323111 0.0846801 -0.0846806 -0.0602785 0.060278 6.37709e-07
0.454134 -0.45414 -0.32074 0.320734 0.0920692 -0.0920698 -0.0654877 0.0654871 6.22092e-07
0.451512 -0.451519 -0.318119 0.318112 0.099258 -0.0992587 -0.0705403 0.0705396 6.02573e-07
0.448647 -0.448654 -0.315254 0.315247 0.106246 -0.106247 -0.0754346 0.0754337 5.81298e-07
0.44554 -0.445549 -0.312149 0.31214 0.113032 -0.113033 -0.0801689 0.0801678 5.5975e-07
0.442195 -0.442204 -0.308804 0.308795 0.119615 -0.119616 -0.0847416 0.0847404 5.38864e-07
0.438612 -0.438622 -0.305222 0.305212 0.125995 -0.125996 -0.0891512 0.0891498 5.19154e-07
0.434794 -0.434804 -0.301404 0.301394 0.132171 -0.132172 -0.0933962 0.0933947 5.00821e-07
0.430744 -0.430755 -0.297355 0.297344 0.138142 -0.138144 -0.0974754 0.0974737 4.83861e-07
0.426464 -0.426475 -0.293075 0.293064 0.143909 -0.143911 -0.101387 0.101385 4.66584e-07
0.421956 -0.421969 -0.288569 0.288556 0.14947 -0.149472 -0.105131 0.105129 4.37628e-07
0.417225 -0.417237 -0.283837 0.283825 0.154825 -0.154827 -0.108705 0.108703 4.07119e-07
0.412272 -0.412285 -0.278885 0.278872 0.159974 -0.159976 -0.112109 0.112106 3.78373e-07
0.4071 -0.407114 -0.273714 0.2737 0.164916 -0.164919 -0.115341 0.115338 3.5237e-07
0.401714 -0.401728 -0.268328 0.268314 0.169652 -0.169655 -0.118401 0.118398 3.29273e-07
0.396116 -0.396131 -0.262731 0.262716 0.174181 -0.174185 -0.121287 0.121284 3.08912e-07
0.39031 -0.390325 -0.256925 0.25691 0.178504 -0.178507 -0.124 0.123996 2.90984e-07
0.3843 -0.384316 -0.250916 0.2509 0.18262 -0.182624 -0.126538 0.126534 2.75148e-07
0.378089 -0.378105 -0.244705 0.244689 0.186529 -0.186533 -0.128902 0.128898 2.54295e-07
0.371681 -0.371698 -0.238298 0.238281 0.190232 -0.190237 -0.13109 0.131085 2.07563e-07
0.365081 -0.365098 -0.231698 0.231681 0.193729 -0.193734 -0.133102 0.133097 1.49246e-07
0.358292 -0.35831 -0.22491 0.224892 0.19702 -0.197025 -0.134938 0.134933 8.87774e-08
0.351319 -0.351337 -0.217937 0.217919 0.200106 -0.200112 -0.136598 0.136593 3.20209e-08
0.344166 -0.344185 -0.210785 0.210766 0.202988 -0.202993 -0.138082 0.138076 0
0.336838 -0.336858 -0.203458 0.203438 0.205665 -0.20567 -0.139389 0.139383 0
0.32934 -0.32936 -0.19596 0.19594 0.208138 -0.208144 -0.140521 0.140515 0
0.321675 -0.321696 -0.188296 0.188275 0.210409 -0.210415 -0.141476 0.14147 0
0.31385 -0.313871 -0.180471 0.18045 0.212478 -0.212484 -0.142256 0.142249 0
0.305868 -0.305889 -0.172489 0.172468 0.214345 -0.214352 -0.142861 0.142854 0
0.297736 -0.297757 -0.164357 0.164336 0.216013 -0.21602 -0.143291 0.143283 0
0.289457 -0.289479 -0.156079 0.156057 0.217482 -0.21749 -0.143546 0.143539 0
0.281038 -0.28106 -0.14766 0.147638 0.218753 -0.218761 -0.143629 0.143621 0
0.272483 -0.272506 -0.139106 0.139083 0.219828 -0.219836 -0.143538 0.14353 0
0.263799 -0.263822 -0.130422 0.130399 0.220707 -0.220716 -0.143276 0.143267 0
0.25499 -0.255013 -0.121613 0.12159 0.221393 -0.221402 -0.142843 0.142834 0
0.246062 -0.246085 -0.112685 0.112662 0.221886 -0.221895 -0.142239 0.14223 0
0.23702 -0.237044 -0.103644 0.10362 0.222189 -0.222198 -0.141468 0.141458 0
0.227871 -0.227896 -0.0944957 0.0944715 0.222303 -0.222312 -0.140528 0.140519 0
0.218621 -0.218645 -0.0852453 0.0852208 0.222229 -0.222239 -0.139422 0.139413 0
0.209274 -0.209299 -0.075899 0.0758742 0.22197 -0.22198 -0.138152 0.138142 0
0.199838 -0.199863 -0.0664626 0.0664376 0.221527 -0.221538 -0.136718 0.136708 0
0.190317 -0.190342 -0.056942 0.0569169 0.220903 -0.220914 -0.135123 0.135112 0
0.180718 -0.180743 -0.0473434 0.0473181 0.220099 -0.22011 -0.133367 0.133356 0
0.171047 -0.171073 -0.0376728 0.0376472 0.219118 -0.21913 -0.131453 0.131442 0
0.161311 -0.161336 -0.0279362 0.0279105 0.217962 -0.217974 -0.129383 0.129371 0
0.151514 -0.15154 -0.0181399 0.018114 0.216633 -0.216645 -0.127158 0.127146 0
0.141664 -0.14169 -0.00828996 0.00826396 0.215134 -0.215146 -0.124781 0.124768 0
0.131767 -0.131793 0.00160733 -0.00163344 0.213466 -0.213479 -0.122253 0.12224 0
0.121828 -0.121854 0.0115457 -0.0115719 0.211634 -0.211646 -0.119577 0.119564 0
0.111855 -0.111881 0.021519 -0.0215452 0.209638 -0.209651 -0.116755 0.116742 0
0.101853 -0.101879 0.0315207 -0.0315471 0.207482 -0.207496 -0.11379 0.113776 0
0.0918289 -0.0918553 0.0415447 -0.0415711 0.205169 -0.205183 -0.110683 0.110669 0
0.081789 -0.0818154 0.0515846 -0.051611 0.202702 -0.202716 -0.107437 0.107424 0
0.0717395 -0.071766 0.061634 -0.0616605 0.200082 -0.200097 -0.104056 0.104042 0
0.0616869 -0.0617134 0.0716866 -0.0717131 0.197315 -0.197329 -0.100541 0.100527 0
0.0516375 -0.0516639 0.0817361 -0.0817625 0.194401 -0.194416 -0.0968957 0.0968811 0
0.0415975 -0.0416239 0.0917761 -0.0918025 0.191345 -0.19136 -0.0931222 0.0931074 0
0.0315734 -0.0315998 0.1018 -0.101827 0.18815 -0.188165 -0.0892238 0.0892088 0
0.0215715 -0.0215978 0.111802 -0.111828 0.184818 -0.184833 -0.0852033 0.085188 0
0.0115981 -0.0116244 0.121776 -0.121802 0.181354 -0.181369 -0.0810637 0.0810482 0
0.00165955 -0.00168566 0.131714 -0.13174 0.17776 -0.177775 -0.0768082 0.0767925 0
-0.00823797 0.00821198 0.141612 -0.141638 0.17404 -0.174056 -0.0724398 0.0724239 0
-0.0180882 0.0180623 0.151462 -0.151488 0.170197 -0.170213 -0.0679617 0.0679456 0
-0.0278848 0.0278591 0.161259 -0.161285 0.166236 -0.166252 -0.0633773 0.063361 0
