setKForeLeft setKHindLeft setKForeRight setKHindRight realKForeLeft realKHindLeft realKForeRight realKHindRight distance
0.8333 0.2 0.2 0.5667 0.0130388 -0.0176408 -0.0115049 0.00690291 1.53987e-07
0.8333 0.2 0.2 0.5667 0.0245437 -0.0153398 -0.0115049 0.0153398 6.24359e-07
0.8333 0.2 0.2 0.5667 0.0337476 -0.0115049 -0.00843689 0.0230097 4.70358e-07
0.8333 0.2 0.2 0.5667 0.0414175 -0.00536893 -0.00383495 0.0299126 4.60246e-07
0.8333 0.2 0.2 0.5667 0.0498544 0.00230097 0.00306796 0.0375825 5.03648e-07
0.8333 0.2 0.2 0.5667 0.0575243 0.0115049 0.0122718 0.0460194 5.67548e-07
0.8333 0.2 0.2 0.5667 0.0659612 0.0230097 0.0230097 0.0544563 6.2347e-07
0.8333 0.2 0.2 0.5667 0.075932 0.0345146 0.0352816 0.0651942 6.44184e-07
0.8333 0.2 0.2 0.5667 0.0859029 0.0475534 0.0475534 0.076699 6.46472e-07
0.8333 0.2 0.2 0.5667 0.0981748 0.0598253 0.0598253 0.0889709 6.37709e-07
0.8333 0.2 0.2 0.5667 0.111214 0.0720971 0.0713301 0.103544 6.22092e-07
0.8333 0.2 0.2 0.5667 0.125786 0.083602 0.082835 0.118884 6.02573e-07
0.8333 0.2 0.2 0.5667 0.141893 0.0943398 0.0935728 0.13499 5.81298e-07
0.8333 0.2 0.2 0.5667 0.158767 0.103544 0.103544 0.152631 5.5975e-07
0.8333 0.2 0.2 0.5667 0.176408 0.112748 0.112748 0.171039 5.38864e-07
0.8333 0.2 0.2 0.5667 0.195583 0.121184 0.120417 0.190981 5.19154e-07
0.8333 0.2 0.2 0.5667 0.215524 0.128854 0.128087 0.211689 5.00821e-07
0.8333 0.2 0.2 0.5667 0.236233 0.135757 0.13499 0.233165 4.83861e-07
0.8333 0.2 0.2 0.5667 0.257709 0.141893 0.141126 0.254641 4.66584e-07
0.8333 0.2 0.2 0.5667 0.280718 0.147262 0.146495 0.276884 4.37628e-07
0.8333 0.2 0.2 0.5667 0.303728 0.151864 0.151864 0.298359 4.07119e-07
0.8333 0.2 0.2 0.5667 0.327505 0.156466 0.156466 0.318301 3.78373e-07
0.8333 0.2 0.2 0.5667 0.351282 0.160301 0.160301 0.337476 3.5237e-07
0.8333 0.2 0.2 0.5667 0.375825 0.164136 0.163369 0.355117 3.29273e-07
0.8333 0.2 0.2 0.5667 0.401136 0.167204 0.166437 0.371223 3.08912e-07
0.8333 0.2 0.2 0.5667 0.426447 0.169505 0.169505 0.385796 2.90984e-07
0.8333 0.2 0.2 0.5667 0.452524 0.172573 0.172573 0.399602 2.75148e-07
0.8333 0.2 0.2 0.5667 0.478602 0.174874 0.174874 0.411874 2.54295e-07
0.8333 0.2 0.2 0.5667 0.503913 0.176408 0.176408 0.422612 2.07563e-07
0.8333 0.2 0.2 0.5667 0.528456 0.178709 0.178709 0.43335 1.49246e-07
0.8333 0.2 0.2 0.5667 0.550699 0.180243 0.180243 0.441786 8.87774e-08
0.8333 0.2 0.2 0.5667 0.572175 0.181777 0.181777 0.450223 3.20209e-08
0.8333 0.2 0.2 0.5667 0.592117 0.183311 0.183311 0.457893 0
0.8333 0.2 0.2 0.5667 0.609757 0.184845 0.184845 0.464796 0
0.8333 0.2 0.2 0.5667 0.626631 0.185612 0.186379 0.470932 0
0.8333 0.2 0.2 0.5667 0.641204 0.187146 0.187146 0.476301 0
0.8333 0.2 0.2 0.5667 0.65501 0.187913 0.18868 0.48167 0
0.8333 0.2 0.2 0.5667 0.667282 0.18868 0.189447 0.486272 0
0.8333 0.2 0.2 0.5667 0.678786 0.189447 0.190214 0.490874 0
0.8333 0.2 0.2 0.5667 0.688757 0.190214 0.190981 0.494709 0
0.8333 0.2 0.2 0.5667 0.697961 0.190981 0.191748 0.498544 0
0.8333 0.2 0.2 0.5667 0.707165 0.191748 0.192515 0.502379 0
0.8333 0.2 0.2 0.5667 0.714835 0.192515 0.193282 0.505447 0
0.8333 0.2 0.2 0.5667 0.721738 0.193282 0.194049 0.508515 0
0.8333 0.2 0.2 0.5667 0.728641 0.193282 0.194816 0.510816 0
0.8333 0.2 0.2 0.5667 0.734777 0.194049 0.194816 0.513884 0
0.8333 0.2 0.2 0.5667 0.740146 0.194816 0.195583 0.516185 0
0.8333 0.2 0.2 0.5667 0.745515 0.194816 0.19635 0.518486 0
0.8333 0.2 0.2 0.5667 0.750884 0.195583 0.19635 0.520786 0
0.8333 0.2 0.2 0.5667 0.755486 0.195583 0.197117 0.52232 0
0.8333 0.2 0.2 0.5667 0.75932 0.19635 0.197117 0.524621 0
0.8333 0.2 0.2 0.5667 0.763155 0.19635 0.197884 0.526155 0
0.8333 0.2 0.2 0.5667 0.76699 0.19635 0.197884 0.527689 0
0.8333 0.2 0.2 0.5667 0.770825 0.197117 0.197884 0.529223 0
0.8333 0.2 0.2 0.5667 0.773893 0.197117 0.198651 0.530757 0
0.8333 0.2 0.2 0.5667 0.776961 0.197117 0.198651 0.532291 0
0.8333 0.2 0.2 0.5667 0.780029 0.197117 0.198651 0.533825 0
0.8333 0.2 0.2 0.5667 0.78233 0.197884 0.199418 0.534592 0
0.8333 0.2 0.2 0.5667 0.784631 0.197884 0.199418 0.536126 0
0.8333 0.2 0.2 0.5667 0.786932 0.197884 0.199418 0.536893 0
0.8333 0.2 0.2 0.5667 0.789233 0.197884 0.199418 0.53766 0
0.8333 0.2 0.2 0.5667 0.791534 0.197884 0.199418 0.538427 0
0.8333 0.2 0.2 0.5667 0.793068 0.197884 0.200184 0.539961 0
0.8333 0.2 0.2 0.5667 0.795369 0.197884 0.200184 0.540728 0
0.8333 0.2 0.2 0.5667 0.796903 0.198651 0.200184 0.541495 0
0.8333 0.2 0.2 0.5667 0.798437 0.198651 0.200184 0.542262 0
0.8333 0.2 0.2 0.5667 0.799971 0.198651 0.200184 0.542262 0
0.8333 0.2 0.2 0.5667 0.801505 0.198651 0.200184 0.543029 0
0.8333 0.2 0.2 0.5667 0.802272 0.198651 0.200184 0.543796 0
0.8333 0.2 0.2 0.5667 0.803806 0.198651 0.200184 0.544563 0
0.8333 0.2 0.2 0.5667 0.804573 0.198651 0.200184 0.54533 0
0.8333 0.2 0.2 0.5667 0.806107 0.197884 0.200184 0.54533 0
0.8333 0.2 0.2 0.5667 0.806874 0.197884 0.200184 0.546097 0
0.8333 0.2 0.2 0.5667 0.807641 0.197884 0.200184 0.546097 0
0.8333 0.2 0.2 0.5667 0.808408 0.197884 0.200184 0.546864 0
0.8333 0.2 0.2 0.5667 0.809942 0.197884 0.200184 0.547631 0
