distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
1.53987e-07 0.112065 -0.142074 -0.08296 -0.143951 0.112165 -0.142411 -0.0830267 -0.143608
6.24359e-07 0.112354 -0.141844 -0.0846 -0.143983 0.111122 -0.142557 -0.0828621 -0.143467
4.70358e-07 0.1129 -0.141591 -0.0863863 -0.143981 0.10987 -0.142688 -0.0825539 -0.143323
4.60246e-07 0.113567 -0.141324 -0.0883306 -0.143933 0.108413 -0.142802 -0.0822048 -0.143172
5.03648e-07 0.114262 -0.141047 -0.0904248 -0.143835 0.106769 -0.142893 -0.0818798 -0.143008
5.67548e-07 0.114922 -0.140761 -0.0926553 -0.143675 0.104958 -0.142946 -0.0816222 -0.142829
6.2347e-07 0.115502 -0.140467 -0.0949746 -0.143438 0.103029 -0.142946 -0.0814593 -0.14263
6.44184e-07 0.115976 -0.140166 -0.0972953 -0.143135 0.101073 -0.142893 -0.0814062 -0.142411
6.46472e-07 0.116327 -0.139857 -0.0995571 -0.142777 0.0991525 -0.142789 -0.0814698 -0.142167
6.37709e-07 0.116551 -0.139539 -0.10172 -0.142378 0.0973116 -0.142642 -0.0816507 -0.141896
6.22092e-07 0.116646 -0.139209 -0.103759 -0.14195 0.0955771 -0.14246 -0.0819445 -0.141595
6.02573e-07 0.116616 -0.138866 -0.105661 -0.141504 0.0939647 -0.142251 -0.0823442 -0.141262
5.81298e-07 0.11647 -0.138506 -0.107421 -0.141052 0.0924815 -0.142025 -0.0828408 -0.140895
5.5975e-07 0.116215 -0.138126 -0.109041 -0.1406 0.0911279 -0.141787 -0.0834245 -0.140492
5.38864e-07 0.115862 -0.137725 -0.110526 -0.140156 0.0899005 -0.141545 -0.084085 -0.140051
5.19154e-07 0.115421 -0.137298 -0.111883 -0.139723 0.0887925 -0.141302 -0.0848122 -0.139571
5.00821e-07 0.114902 -0.136845 -0.113122 -0.139306 0.0877956 -0.141063 -0.0855966 -0.139051
4.83861e-07 0.114314 -0.136363 -0.114254 -0.138907 0.0869007 -0.14083 -0.086429 -0.138489
4.66584e-07 0.113667 -0.135849 -0.115287 -0.138526 0.0860985 -0.140606 -0.0872935 -0.137888
4.37628e-07 0.112968 -0.135304 -0.116233 -0.138164 0.0853798 -0.14039 -0.0881153 -0.13726
4.07119e-07 0.112225 -0.134724 -0.117099 -0.137822 0.0847358 -0.140186 -0.0888475 -0.13662
3.78373e-07 0.111445 -0.13411 -0.117894 -0.137498 0.0841584 -0.139991 -0.089464 -0.135978
3.5237e-07 0.110634 -0.13346 -0.118626 -0.137192 0.0836403 -0.139808 -0.0899534 -0.135345
3.29273e-07 0.109796 -0.132775 -0.119302 -0.136903 0.083175 -0.139634 -0.0903152 -0.134728
3.08912e-07 0.108936 -0.132054 -0.119927 -0.136631 0.0827572 -0.139471 -0.090556 -0.134131
2.90984e-07 0.10806 -0.131297 -0.120505 -0.136375 0.0823819 -0.139318 -0.090687 -0.133558
2.75148e-07 0.107169 -0.130503 -0.121042 -0.136134 0.0820454 -0.139175 -0.0907223 -0.133011
2.54295e-07 0.106285 -0.129676 -0.12154 -0.135907 0.0817442 -0.13904 -0.0906768 -0.132491
2.07563e-07 0.105474 -0.128827 -0.122002 -0.135695 0.0814756 -0.138914 -0.0905658 -0.131998
1.49246e-07 0.104778 -0.127968 -0.12243 -0.135495 0.0812375 -0.138796 -0.0904038 -0.13153
8.87774e-08 0.104216 -0.127111 -0.122827 -0.135308 0.0810278 -0.138685 -0.0902045 -0.131087
3.20209e-08 0.10379 -0.126265 -0.123194 -0.135133 0.0808453 -0.138583 -0.0899799 -0.130668
0 0.103497 -0.125438 -0.123532 -0.13497 0.0806889 -0.138487 -0.0897405 -0.130272
0 0.103322 -0.124633 -0.123842 -0.134818 0.0805576 -0.138398 -0.0894954 -0.129898
0 0.103252 -0.123856 -0.124126 -0.134676 0.0804509 -0.138316 -0.0892523 -0.129543
0 0.103268 -0.123108 -0.124382 -0.134545 0.0803683 -0.13824 -0.0890174 -0.129209
0 0.103354 -0.122391 -0.124612 -0.134424 0.0803095 -0.13817 -0.0887958 -0.128892
0 0.103492 -0.121705 -0.124816 -0.134314 0.0802741 -0.138106 -0.0885915 -0.128594
0 0.103669 -0.12105 -0.124995 -0.134213 0.080262 -0.138048 -0.0884079 -0.128311
0 0.103871 -0.120425 -0.125148 -0.134122 0.080273 -0.137995 -0.0882471 -0.128045
0 0.104086 -0.11983 -0.125275 -0.134041 0.0803071 -0.137946 -0.088111 -0.127794
0 0.104306 -0.119265 -0.125377 -0.133969 0.0803642 -0.137903 -0.088001 -0.127557
0 0.104523 -0.118729 -0.125454 -0.133906 0.0804442 -0.137864 -0.0879177 -0.127333
0 0.104729 -0.118221 -0.125506 -0.133852 0.0805471 -0.137829 -0.0878618 -0.127123
0 0.104922 -0.117739 -0.125533 -0.133808 0.0806728 -0.137798 -0.0878335 -0.126925
0 0.105096 -0.117285 -0.125535 -0.133772 0.0808213 -0.137772 -0.0878329 -0.126739
0 0.105249 -0.116856 -0.125512 -0.133744 0.0809926 -0.137748 -0.0878599 -0.126564
0 0.105379 -0.116451 -0.125464 -0.133725 0.0811865 -0.137729 -0.0879143 -0.126399
0 0.105485 -0.116071 -0.125392 -0.133714 0.0814031 -0.137712 -0.0879959 -0.126244
0 0.105565 -0.115714 -0.125295 -0.133712 0.081642 -0.137698 -0.0881042 -0.126099
0 0.105619 -0.115379 -0.125175 -0.133717 0.0819034 -0.137687 -0.088239 -0.125963
0 0.105647 -0.115065 -0.12503 -0.133729 0.0821869 -0.137679 -0.0883998 -0.125834
0 0.105649 -0.114772 -0.124861 -0.133749 0.0824926 -0.137673 -0.0885861 -0.125714
0 0.105624 -0.114499 -0.124668 -0.133776 0.0828201 -0.137668 -0.0887975 -0.1256
0 0.105573 -0.114244 -0.124452 -0.13381 0.0831693 -0.137666 -0.0890335 -0.125494
0 0.105496 -0.114008 -0.124213 -0.133851 0.08354 -0.137665 -0.0892936 -0.125393
0 0.105394 -0.113789 -0.12395 -0.133898 0.0839319 -0.137665 -0.0895773 -0.125298
0 0.105267 -0.113586 -0.123665 -0.13395 0.0843449 -0.137666 -0.0898842 -0.125208
0 0.105116 -0.113398 -0.123358 -0.134009 0.0847786 -0.137668 -0.0902138 -0.125123
0 0.104941 -0.113226 -0.123028 -0.134074 0.0852327 -0.137671 -0.0905655 -0.125041
0 0.104742 -0.113067 -0.122676 -0.134143 0.085707 -0.137673 -0.0909388 -0.124964
0 0.10452 -0.112921 -0.122302 -0.134218 0.0862012 -0.137676 -0.0913334 -0.12489
0 0.104276 -0.112788 -0.121907 -0.134297 0.0867149 -0.137678 -0.0917485 -0.124818
0 0.10401 -0.112666 -0.121491 -0.13438 0.0872478 -0.13768 -0.0921838 -0.124749
0 0.103722 -0.112555 -0.121055 -0.134467 0.0877994 -0.137681 -0.0926387 -0.124682
0 0.103414 -0.112454 -0.120598 -0.134559 0.0883695 -0.137681 -0.0931128 -0.124616
0 0.103086 -0.112363 -0.120122 -0.134653 0.0889577 -0.137679 -0.0936055 -0.124552
0 0.102738 -0.11228 -0.119625 -0.134751 0.0895634 -0.137676 -0.0941162 -0.124488
0 0.102371 -0.112206 -0.11911 -0.134851 0.0901864 -0.137671 -0.0946445 -0.124424
