distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
1.53987e-07 0.112054 -0.142083 -0.0829718 -0.143944 0.112154 -0.142421 -0.0830385 -0.143602
6.24359e-07 0.112345 -0.141852 -0.0846089 -0.143979 0.111113 -0.142563 -0.0828712 -0.14346
4.70358e-07 0.112891 -0.1416 -0.0863957 -0.143977 0.10986 -0.142693 -0.0825635 -0.143316
4.60246e-07 0.113558 -0.141334 -0.0883404 -0.14393 0.108404 -0.142807 -0.0822147 -0.143164
5.03648e-07 0.114253 -0.141056 -0.0904347 -0.143831 0.106759 -0.142898 -0.0818897 -0.143
5.67548e-07 0.114912 -0.14077 -0.0926651 -0.14367 0.104948 -0.142952 -0.0816321 -0.142821
6.2347e-07 0.115492 -0.140476 -0.0949844 -0.143433 0.103019 -0.142952 -0.0814691 -0.142623
6.44184e-07 0.115966 -0.140175 -0.0973053 -0.143129 0.101062 -0.142899 -0.0814162 -0.142404
6.46472e-07 0.116317 -0.139866 -0.0995673 -0.142771 0.0991422 -0.142795 -0.0814801 -0.14216
6.37709e-07 0.116541 -0.139548 -0.10173 -0.142371 0.097301 -0.142648 -0.0816612 -0.141889
6.22092e-07 0.116635 -0.139218 -0.10377 -0.141942 0.0955662 -0.142467 -0.0819553 -0.141589
6.02573e-07 0.116606 -0.138875 -0.105672 -0.141496 0.0939536 -0.142259 -0.0823553 -0.141256
5.81298e-07 0.116459 -0.138514 -0.107432 -0.141043 0.0924701 -0.142033 -0.0828521 -0.140889
5.5975e-07 0.116204 -0.138135 -0.109052 -0.14059 0.0911164 -0.141796 -0.083436 -0.140486
5.38864e-07 0.115851 -0.137733 -0.110537 -0.140146 0.0898888 -0.141553 -0.0840966 -0.140045
5.19154e-07 0.11541 -0.137307 -0.111895 -0.139713 0.0887807 -0.141311 -0.0848239 -0.139565
5.00821e-07 0.114891 -0.136854 -0.113134 -0.139296 0.0877838 -0.141072 -0.0856083 -0.139045
4.83861e-07 0.114303 -0.136371 -0.114266 -0.138896 0.0868889 -0.140839 -0.0864407 -0.138484
4.66584e-07 0.113655 -0.135858 -0.115299 -0.138515 0.0860866 -0.140614 -0.0873052 -0.137882
