distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
3.74198e-05 0 0 1.71367 17.99 0.0678267 17.7593 0 0
7.97207e-05 0 0 3.01704 15.7304 1.27816 16.685 0 0
0.00013018 0 0 3.06081 14.1671 1.44877 15.227 0 0
0.000213771 0 0 7.58559 4.57576 1.58686 9.07296 0 0
0.000346419 0 0 4.95766 9.68677 11.4762 3.31132 0 0
0.000506698 0 0 5.97943 10.1937 5.27464 1.20164 0 0
0.000687075 0 0 5.15371 9.43493 2.49141 0.891397 0 0
0.000883526 0 0 4.15063 8.49372 1.58237 1.24519 0 0
0.00109358 0 0 3.21895 7.69576 1.37202 1.82806 0 0
0.00131584 0 0 2.48452 7.13382 1.46672 2.4441 0 0
0.0015499 0 0 1.95293 6.11988 1.6708 2.87967 0 0
0.00179467 0 0 1.32436 4.15268 1.72969 3.11173 0 0
0.00204799 0 0 0.617415 1.83241 1.69005 3.26152 0 0
0.00230767 0 0 0 0.0434555 1.68624 3.2936 0 0
0.00257277 0 0 0 0 1.76514 3.48473 0 0
0.00284307 0 0 0 0 2.0096 3.69269 0 0
0.00311851 0 0 0 0 2.2454 3.88823 0 0
0.0033992 0 0 0 0.037385 2.45176 4.06653 0 0
0.00368993 0 0 1.30419 3.8201 2.95721 4.69056 0 0
0.00399837 0 0 3.08514 8.62581 3.92818 6.04656 0 0
0.00432747 0 0 4.57013 12.977 3.04991 6.21703 0 0
0.00467664 0 0 5.50898 15.4211 1.60926 6.92745 0 0
0.00504727 0 0 5.66279 15.7491 1.65717 7.33975 0 0
0.00543705 0 0 4.56138 12.9672 1.65987 7.31123 0 0
0.00584334 0 0 3.85425 10.7682 1.64009 7.15344 0 0
0.00626403 0 0 3.35707 9.20683 1.61178 6.96656 0 0
0.00669739 0 0 2.90096 7.88608 1.5782 6.76723 0 0
0.00714163 0 0 2.57037 6.92645 1.54547 6.61411 0 0
0.00759564 0 0 2.39429 6.39389 1.51589 6.50883 0 0
0.00805881 0 0 2.30279 6.12442 1.48867 6.43573 0 0
0.00853044 0 0 2.08631 5.62748 1.44476 6.24301 0 0
0.00900987 0 0 1.90291 5.19416 1.36205 5.79405 0 0
0.00949655 0 0 1.73122 4.81344 1.28051 5.42156 0 0
0.00998998 0 0 1.56647 4.47164 1.20103 5.11128 0 0
0.0104897 0 0 1.40464 4.15762 1.12246 4.85106 0 0
0.0109951 0 0 1.24221 3.86187 1.04411 4.63206 0 0
0.0115059 0 0 1.07629 3.57683 0.965466 4.44767 0 0
0.0120214 0 0 0.90457 3.29687 0.886166 4.29272 0 0
0.0125411 0 0 0.725263 3.01794 0.805944 4.16316 0 0
0.0130644 0 0 0.536954 2.73725 0.724618 4.05578 0 0
0.0135905 0 0 0.338529 2.45296 0.642074 3.96803 0 0
0.0141189 0 0 0.162817 2.24873 0.5596 3.90483 0 0
0.0146489 0 0 -0.0189381 2.04898 0.477121 3.8631 0 0
0.0151798 0 0 -0.222506 1.81607 0.394063 3.83812 0 0
0.0157107 0 0 -0.446587 1.55631 0.310076 3.82673 0 0
0.0162408 0 0 -0.690223 1.27455 0.225064 3.82732 0 0
0.0167692 0 0 -0.95276 0.974698 0.139037 3.83902 0 0
0.0172948 0 0 -1.2338 0.659919 0.0521061 3.86147 0 0
0.0178166 0 0 -1.64451 0.332989 -0.0356226 3.8943 0 0
0.0183333 0 0 0 0 -0.123653 3.93795 0 0
0.0188445 0 0 0 0 -0.206278 4.01304 0 0
0.0193493 0 0 0 0 -0.28519 4.11057 0 0
0.0198471 0 0 0 0 -0.359937 4.22888 0 0
0.0203372 0 0 0 0 -0.430749 4.36543 0 0
0.0208188 0 0 0 0 -0.497494 4.51877 0 0
0.0213026 0 0 0 0 -1.18792 2.78493 3.38365 24.5846
0.0217907 0 0 0 0 -1.34348 2.27258 5.1428 30.4782
0.0222803 0 0 0 0 -1.02436 3.35475 3.84696 21.6134
0.0227733 0 0 0 0 -0.909012 3.76253 3.07232 16.1772
0.0232683 0 0 0 0 -1.08036 3.41658 2.99332 14.0606
0.0237619 0 0 0 0 -0.852081 4.14015 2.31687 10.5004
0.0242571 0 0 0 0 -0.798023 4.41342 2.15942 8.86871
0.0247542 0 0 0 0 -0.949032 4.19925 2.53045 9.52768
0.0252499 0 0 0 0 -0.854884 4.60764 2.23564 7.73585
0.0257455 0 0 0 0 -0.840705 4.75324 0.97479 3.72823
0.026239 0 0 0 0 -0.827622 4.95122 0 0.798336
0.0267259 0 0 0 0 -0.731919 5.51493 0 0
0.027207 0 0 0 0 -0.758785 5.68104 0 0
0.027681 0 0 0 0 -0.720016 6.05016 0 0
0.0281486 0 0 0 0 -0.822818 6.00711 0 0
0.0286085 0 0 0 0 -0.814942 6.27615 0 0
0.0290614 0 0 0 0 -0.968513 6.11578 0 0
0.0295062 0 0 0 0 -0.973425 6.34826 0 0
0.0299434 0 0 0 0 -1.16232 6.12455 0 0
0.0303706 0 0 0 0 -1.17025 6.3504 0 0
0.0307876 0 0 0 0 -1.2047 6.51078 0 0
0.0311958 0 0 0 0 -1.23351 6.68119 0 0
0.0315948 0 0 0 0 -1.49732 6.33159 0 0
0.0319825 0 0 0 0 -1.50579 6.56342 0 0
0.0323585 0 0 0 0 -1.53822 6.73975 0 0
0.0327225 0 0 0 0 -1.57713 6.90157 0 0
0.0330742 0 0 0 0 -1.61953 7.0575 0 0
0.0334159 0 0 0 0 -1.61736 7.29578 0 0
0.0337502 0 0 -4.08415 2.28004 -1.86753 7.04202 0 0
0.0340742 0 0 -0.707181 1.54945 -1.82022 7.38171 0 0
0.0344248 29.3946 100.084 0 0 0 0 0 0
0.0347815 19.7051 69.5187 0 0 0 0 0 0
0.0351329 13.6817 48.0547 0 0 0 0 0 0
0.0354792 10.1725 35.2103 0 0 0 0 0 0
0.0358113 8.26029 28.0689 0 0 0 0 0 0
0.0361351 5.78572 19.5983 0 0 0 0 0 0
0.0364498 5.59444 19.1926 0 0 0 0 0 0
0.0367457 5.2701 16.6121 0 0 0 0 0 0
0.0370687 5.09929 16.8519 0 0 0 0 12.0675 26.3673
0.0373928 5.91626 18.3784 0 0 0 0 7.92604 16.9973
0.0377302 5.19097 16.8169 0 0 0 0 6.89272 14.4476
0.0380881 5.16815 16.946 0 0 0 0 5.82418 12.5799
0.0384487 4.69817 15.5302 0 0 0 0 6.55122 13.7002
0.0388195 4.38701 15.0659 0 0 0 0 7.0352 14.4747
0.0392084 4.09133 14.3656 0 0 0 0 6.33234 13.2711
0.0396207 4.0515 14.4998 0 0 0 0 5.27679 11.6426
0.0400371 3.77261 13.7877 0 0 0 0 5.2478 11.7127
