setKForeLeft setKHindLeft setKForeRight setKHindRight realKForeLeft realKHindLeft realKForeRight realKHindRight distance
0.8133 0.2 0.2 0.7267 0.0475534 0.0145728 0.0176408 0.0444854 3.74198e-05
0.8133 0.2 0.2 0.7267 0.0598253 -0.00230097 0.00460194 0.0536893 7.97207e-05
0.8133 0.2 0.2 0.7267 0.0690291 -0.0199418 -0.00843689 0.0605922 0.00013018
0.8133 0.2 0.2 0.7267 0.077466 -0.0168738 -0.0199418 0.0682621 0.000213771
0.8133 0.2 0.2 0.7267 0.0859029 -0.0153398 -0.0168738 0.076699 0.000346419
0.8133 0.2 0.2 0.7267 0.0935728 -0.0138058 -0.0153398 0.0851359 0.000506698
0.8133 0.2 0.2 0.7267 0.10201 -0.0122718 -0.0138058 0.0943398 0.000687075
0.8133 0.2 0.2 0.7267 0.10968 -0.0122718 -0.0122718 0.102777 0.000883526
0.8133 0.2 0.2 0.7267 0.118884 -0.0115049 -0.0122718 0.112748 0.00109358
0.8133 0.2 0.2 0.7267 0.128854 -0.0115049 -0.0115049 0.123485 0.00131584
0.8133 0.2 0.2 0.7267 0.140359 -0.00997088 -0.0115049 0.13499 0.0015499
0.8133 0.2 0.2 0.7267 0.152631 -0.00690291 -0.0107379 0.148796 0.00179467
0.8133 0.2 0.2 0.7267 0.166437 0 -0.0107379 0.163369 0.00204799
0.8133 0.2 0.2 0.7267 0.182544 0.00997088 -0.0107379 0.180243 0.00230767
0.8133 0.2 0.2 0.7267 0.199418 0.0222427 -0.0107379 0.197884 0.00257277
0.8133 0.2 0.2 0.7267 0.217058 0.0360485 -0.0107379 0.216291 0.00284307
0.8133 0.2 0.2 0.7267 0.236233 0.0498544 -0.0107379 0.237 0.00311851
0.8133 0.2 0.2 0.7267 0.256175 0.0644272 -0.0107379 0.257709 0.0033992
0.8133 0.2 0.2 0.7267 0.276884 0.077466 -0.0107379 0.279185 0.00368993
0.8133 0.2 0.2 0.7267 0.298359 0.0866699 -0.0107379 0.301427 0.00399837
0.8133 0.2 0.2 0.7267 0.320602 0.0935728 -0.0107379 0.322903 0.00432747
0.8133 0.2 0.2 0.7267 0.342845 0.0974078 -0.0107379 0.344379 0.00467664
0.8133 0.2 0.2 0.7267 0.365087 0.0997088 -0.00997088 0.366621 0.00504727
0.8133 0.2 0.2 0.7267 0.388864 0.101243 -0.00997088 0.388864 0.00543705
0.8133 0.2 0.2 0.7267 0.411874 0.102777 -0.00920388 0.411874 0.00584334
0.8133 0.2 0.2 0.7267 0.436418 0.105078 -0.00843689 0.434117 0.00626403
0.8133 0.2 0.2 0.7267 0.461728 0.107379 -0.00690291 0.455592 0.00669739
0.8133 0.2 0.2 0.7267 0.486272 0.10968 -0.00460194 0.475534 0.00714163
0.8133 0.2 0.2 0.7267 0.510049 0.113515 -0.00230097 0.494709 0.00759564
0.8133 0.2 0.2 0.7267 0.532291 0.116583 0.00076699 0.51235 0.00805881
0.8133 0.2 0.2 0.7267 0.553767 0.120417 0.00383495 0.528456 0.00853044
0.8133 0.2 0.2 0.7267 0.573709 0.125019 0.0076699 0.543029 0.00900987
0.8133 0.2 0.2 0.7267 0.59135 0.129621 0.0122718 0.556068 0.00949655
0.8133 0.2 0.2 0.7267 0.608223 0.13499 0.0168738 0.56834 0.00998998
0.8133 0.2 0.2 0.7267 0.623563 0.141126 0.0230097 0.579845 0.0104897
0.8133 0.2 0.2 0.7267 0.636602 0.148029 0.0291456 0.589816 0.0109951
0.8133 0.2 0.2 0.7267 0.649641 0.154932 0.0360485 0.599019 0.0115059
0.8133 0.2 0.2 0.7267 0.661146 0.162602 0.0437185 0.607456 0.0120214
0.8133 0.2 0.2 0.7267 0.671117 0.171039 0.0513884 0.615126 0.0125411
