distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
3.74198e-05 0.111209 -0.140657 -0.0840998 -0.143824 0.111215 -0.141092 -0.0840346 -0.143378
7.97207e-05 0.111801 -0.140338 -0.0841109 -0.144104 0.111215 -0.141257 -0.083532 -0.143207
0.00013018 0.112744 -0.140004 -0.0841291 -0.144401 0.111206 -0.141439 -0.0827914 -0.143041
0.000213771 0.113584 -0.139753 -0.0862755 -0.144409 0.11092 -0.141726 -0.0822561 -0.142788
0.000346419 0.114307 -0.139583 -0.0883875 -0.144338 0.109111 -0.142076 -0.0819463 -0.142444
0.000506698 0.115028 -0.139432 -0.0904194 -0.144238 0.107404 -0.142408 -0.0816455 -0.142068
0.000687075 0.115741 -0.13928 -0.0923629 -0.144124 0.105795 -0.142707 -0.0813521 -0.141675
0.000883526 0.116406 -0.139123 -0.0942238 -0.144001 0.104271 -0.142973 -0.0810996 -0.141266
0.00109358 0.116987 -0.138961 -0.0960109 -0.143869 0.10282 -0.143209 -0.0809208 -0.140839
0.00131584 0.117455 -0.138795 -0.0977326 -0.143728 0.10143 -0.143418 -0.0808403 -0.140391
0.0015499 0.117778 -0.138628 -0.0994927 -0.143555 0.100087 -0.143611 -0.0808875 -0.139914
0.00179467 0.117929 -0.13847 -0.101454 -0.143303 0.0987733 -0.143799 -0.0810912 -0.139397
0.00204799 0.117893 -0.138325 -0.103712 -0.142934 0.0974723 -0.143994 -0.0814673 -0.138833
0.00230767 0.117681 -0.138192 -0.106284 -0.142415 0.096169 -0.144205 -0.0820258 -0.138215
0.00257277 0.117316 -0.138067 -0.109007 -0.14175 0.0948625 -0.144432 -0.0827421 -0.137543
0.00284307 0.116812 -0.137946 -0.111767 -0.140955 0.0935507 -0.144674 -0.083599 -0.136814
0.00311851 0.116185 -0.137823 -0.114489 -0.140051 0.0922315 -0.144932 -0.0845816 -0.136026
0.0033992 0.115447 -0.137696 -0.117124 -0.139053 0.0909034 -0.145207 -0.0856763 -0.135177
0.00368993 0.114614 -0.137557 -0.119519 -0.13805 0.0895946 -0.145478 -0.0868077 -0.134271
0.00399837 0.113693 -0.137406 -0.121559 -0.137141 0.0883332 -0.14572 -0.08792 -0.1333
0.00432747 0.112751 -0.137202 -0.123244 -0.136348 0.0871489 -0.145932 -0.0889546 -0.132312
0.00467664 0.111853 -0.136936 -0.12455 -0.135717 0.0860511 -0.146096 -0.0899168 -0.131317
0.00504727 0.110981 -0.13661 -0.125585 -0.135218 0.0850272 -0.146214 -0.09084 -0.130308
0.00543705 0.110095 -0.136236 -0.126564 -0.134757 0.0840411 -0.1463 -0.0917754 -0.129268
0.00584334 0.109178 -0.135818 -0.127521 -0.134313 0.0830737 -0.14636 -0.0926867 -0.128204
0.00626403 0.108226 -0.135359 -0.128466 -0.133875 0.0821145 -0.146399 -0.0935302 -0.127128
0.00669739 0.107239 -0.134861 -0.12942 -0.13343 0.0811544 -0.14642 -0.0942813 -0.126052
0.00714163 0.106286 -0.134334 -0.130383 -0.132973 0.0801899 -0.146426 -0.0949255 -0.124987
0.00759564 0.105418 -0.133791 -0.131343 -0.132507 0.0792205 -0.146416 -0.0954572 -0.123941
0.00805881 0.104665 -0.133243 -0.132293 -0.132035 0.0782467 -0.146392 -0.0958791 -0.122921
0.00853044 0.104036 -0.132701 -0.133246 -0.131547 0.0772664 -0.146352 -0.0962033 -0.121932
0.00900987 0.10353 -0.132173 -0.134203 -0.131042 0.0762804 -0.146291 -0.0964416 -0.120974
0.00949655 0.103138 -0.131666 -0.135161 -0.130519 0.0752895 -0.146207 -0.0966081 -0.120049
0.00998998 0.102847 -0.131183 -0.136122 -0.129976 0.0742944 -0.146102 -0.0967174 -0.119157
0.0104897 0.102642 -0.130729 -0.137083 -0.129412 0.0732958 -0.145973 -0.0967836 -0.118296
0.0109951 0.102506 -0.130305 -0.138045 -0.128826 0.0722941 -0.14582 -0.0968199 -0.117465
0.0115059 0.102422 -0.129911 -0.139007 -0.128216 0.0712901 -0.145643 -0.0968377 -0.116663
0.0120214 0.102376 -0.129549 -0.139968 -0.12758 0.0702845 -0.145441 -0.0968473 -0.115888
0.0125411 0.102355 -0.129218 -0.140927 -0.126918 0.0692781 -0.145213 -0.0968571 -0.115138
0.0130644 0.102347 -0.128917 -0.141883 -0.126228 0.068272 -0.144959 -0.0968742 -0.114412
0.0135905 0.102341 -0.128645 -0.142835 -0.125508 0.067267 -0.144678 -0.0969044 -0.113709
0.0141189 0.102331 -0.128402 -0.143781 -0.124759 0.0662652 -0.14437 -0.0969513 -0.113028
0.0146489 0.102311 -0.128187 -0.144719 -0.123979 0.0652685 -0.144034 -0.097018 -0.112368
0.0151798 0.102275 -0.127997 -0.145648 -0.123169 0.0642787 -0.14367 -0.0971069 -0.111728
0.0157107 0.10222 -0.127832 -0.146566 -0.122327 0.0632975 -0.143277 -0.0972202 -0.111108
0.0162408 0.102143 -0.127691 -0.147471 -0.121453 0.0623264 -0.142855 -0.0973596 -0.110506
0.0167692 0.10204 -0.127572 -0.148361 -0.120546 0.061367 -0.142404 -0.0975263 -0.109922
0.0172948 0.101911 -0.127474 -0.149235 -0.119605 0.0604206 -0.141925 -0.097721 -0.109356
0.0178166 0.101754 -0.127396 -0.150092 -0.118629 0.0594889 -0.141416 -0.0979442 -0.108806
0.0183333 0.101568 -0.127336 -0.150929 -0.117617 0.0585734 -0.140878 -0.0981962 -0.108273
0.0188445 0.101356 -0.127292 -0.151743 -0.116572 0.0576787 -0.140311 -0.0984736 -0.107757
