distance xForeLeft yForeLeft xHindLeft yHindLeft xForeRight yForeRight xHindRight yHindRight
3.74198e-05 0.110169 -0.141469 -0.0851573 -0.143195 0.110171 -0.141912 -0.0850902 -0.14276
7.97207e-05 0.110732 -0.141174 -0.0852027 -0.143448 0.110137 -0.142108 -0.0846194 -0.14258
0.00013018 0.111649 -0.140862 -0.0852523 -0.143717 0.110097 -0.142321 -0.0839072 -0.142413
0.000213771 0.112591 -0.140536 -0.0872953 -0.143765 0.109904 -0.142533 -0.0832752 -0.142226
0.000346419 0.113513 -0.140197 -0.089205 -0.143791 0.108301 -0.142728 -0.0827561 -0.142018
0.000506698 0.114457 -0.139848 -0.0910078 -0.1438 0.10682 -0.1429 -0.0822269 -0.1418
0.000687075 0.115393 -0.13949 -0.0927225 -0.143791 0.105436 -0.143052 -0.0817081 -0.141572
0.000883526 0.116273 -0.139123 -0.094362 -0.143766 0.104131 -0.143187 -0.0812382 -0.14133
0.00109358 0.117059 -0.13875 -0.0959358 -0.143727 0.102892 -0.143307 -0.08085 -0.141072
0.00131584 0.117726 -0.138371 -0.0974504 -0.143674 0.10171 -0.143414 -0.0805665 -0.140794
0.0015499 0.118251 -0.137986 -0.0990008 -0.143592 0.100577 -0.143508 -0.0804089 -0.140493
0.00179467 0.11862 -0.137593 -0.100737 -0.143448 0.0994914 -0.14359 -0.0803929 -0.140164
0.00204799 0.118829 -0.137191 -0.10274 -0.143217 0.0984482 -0.143661 -0.0805223 -0.139804
0.00230767 0.118894 -0.136776 -0.105027 -0.14288 0.0974456 -0.143723 -0.0807939 -0.139408
0.00257277 0.118832 -0.136345 -0.107439 -0.142441 0.096482 -0.143776 -0.0811842 -0.138976
0.00284307 0.11866 -0.135895 -0.109866 -0.141919 0.0955565 -0.143821 -0.0816757 -0.138506
0.00311851 0.118389 -0.135423 -0.112232 -0.141335 0.0946682 -0.143858 -0.082253 -0.137996
0.0033992 0.118032 -0.134928 -0.114491 -0.140706 0.0938166 -0.143889 -0.0829023 -0.137445
0.00368993 0.117599 -0.134407 -0.116494 -0.140093 0.0930013 -0.143914 -0.0835793 -0.136859
0.00399837 0.117093 -0.133859 -0.118122 -0.139556 0.092222 -0.143933 -0.0842593 -0.136241
0.00432747 0.11655 -0.133282 -0.119407 -0.13911 0.0914787 -0.143947 -0.0849105 -0.135598
0.00467664 0.116002 -0.132677 -0.120357 -0.13877 0.0907692 -0.143957 -0.0855434 -0.134931
0.00504727 0.115432 -0.132046 -0.12108 -0.138509 0.0900858 -0.143961 -0.0861857 -0.134236
0.00543705 0.114819 -0.131387 -0.121774 -0.138258 0.0894119 -0.143959 -0.0868705 -0.133505
0.00584334 0.114156 -0.130698 -0.122463 -0.138006 0.0887396 -0.143949 -0.087551 -0.132748
0.00626403 0.113445 -0.129977 -0.123152 -0.137751 0.0880648 -0.14393 -0.088177 -0.131978
0.00669739 0.11269 -0.129224 -0.123855 -0.137486 0.0873838 -0.143903 -0.0887186 -0.131207
0.00714163 0.111964 -0.128444 -0.124571 -0.13721 0.0866959 -0.143865 -0.089158 -0.130445
0.00759564 0.111319 -0.127647 -0.125287 -0.136925 0.0860013 -0.143819 -0.0894887 -0.129701
0.00805881 0.110786 -0.126842 -0.125995 -0.136634 0.0853006 -0.143762 -0.0897128 -0.128981
0.00853044 0.110374 -0.126039 -0.126709 -0.136331 0.0845929 -0.143694 -0.0898406 -0.128288
0.00900987 0.110083 -0.125244 -0.127427 -0.136014 0.0838787 -0.14361 -0.089884 -0.127625
0.00949655 0.109906 -0.124465 -0.12815 -0.135682 0.0831584 -0.143507 -0.0898569 -0.126993
0.00998998 0.109829 -0.123706 -0.128877 -0.135333 0.0824328 -0.143386 -0.0897736 -0.126392
0.0104897 0.109838 -0.122969 -0.129607 -0.134966 0.0817022 -0.143246 -0.0896481 -0.125821
0.0109951 0.109914 -0.122259 -0.13034 -0.134581 0.0809671 -0.143087 -0.0894933 -0.125279
0.0115059 0.110044 -0.121575 -0.131075 -0.134174 0.0802281 -0.142906 -0.0893208 -0.124765
0.0120214 0.110212 -0.12092 -0.131812 -0.133747 0.0794858 -0.142704 -0.0891405 -0.124279
0.0125411 0.110405 -0.120293 -0.13255 -0.133296 0.0787408 -0.142481 -0.0889609 -0.123818
0.0130644 0.110611 -0.119695 -0.133289 -0.132821 0.0779939 -0.142234 -0.0887891 -0.123382
0.0135905 0.110822 -0.119127 -0.134028 -0.13232 0.0772458 -0.141964 -0.0886307 -0.122969
0.0141189 0.111028 -0.118586 -0.134764 -0.131793 0.0764979 -0.141669 -0.0884898 -0.12258
0.0146489 0.111224 -0.118075 -0.135498 -0.131239 0.0757513 -0.141351 -0.0883698 -0.122211
0.0151798 0.111405 -0.117591 -0.136228 -0.130657 0.0750073 -0.141006 -0.0882735 -0.121864
0.0157107 0.111566 -0.117136 -0.136953 -0.130046 0.074267 -0.140637 -0.0882031 -0.121537
0.0162408 0.111704 -0.116707 -0.137671 -0.129404 0.0735318 -0.140241 -0.0881603 -0.121228
0.0167692 0.111817 -0.116305 -0.138381 -0.128731 0.0728027 -0.139818 -0.0881466 -0.120938
0.0172948 0.111903 -0.115928 -0.139082 -0.128026 0.072081 -0.139368 -0.0881626 -0.120665
0.0178166 0.111961 -0.115577 -0.139773 -0.127289 0.0713679 -0.13889 -0.0882089 -0.120409
0.0183333 0.11199 -0.11525 -0.140452 -0.126517 0.0706648 -0.138384 -0.0882857 -0.120168
0.0188445 0.11199 -0.114946 -0.141117 -0.125711 0.0699741 -0.137851 -0.0883912 -0.119943
0.0193493 0.111962 -0.114666 -0.141765 -0.124872 0.0692984 -0.137289 -0.0885243 -0.119733
0.0198471 0.111905 -0.114408 -0.142395 -0.123998 0.0686399 -0.1367 -0.0886846 -0.119537
0.0203372 0.11182 -0.114171 -0.143003 -0.123089 0.068001 -0.136083 -0.088872 -0.119355
0.0208188 0.111706 -0.113955 -0.143587 -0.122147 0.0673837 -0.135439 -0.0890864 -0.119185
0.0213026 0.111621 -0.113766 -0.14405 -0.121241 0.0668974 -0.13481 -0.0896046 -0.118944
0.0217907 0.11155 -0.113606 -0.144367 -0.120397 0.0665726 -0.134215 -0.0899655 -0.118756
0.0222803 0.111475 -0.113472 -0.143437 -0.120456 0.0663571 -0.13364 -0.0902209 -0.118616
0.0227733 0.111337 -0.113356 -0.14181 -0.121042 0.0662155 -0.133073 -0.0904059 -0.118518
0.0232683 0.111106 -0.11325 -0.141875 -0.120457 0.0661231 -0.132508 -0.090543 -0.11846
0.0237619 0.110845 -0.11316 -0.140885 -0.120611 0.0660906 -0.13195 -0.0906236 -0.118447
0.0242571 0.110529 -0.113079 -0.139295 -0.121201 0.0661012 -0.131393 -0.0906633 -0.118478
0.0247542 0.110144 -0.113005 -0.139236 -0.120777 0.0661415 -0.130832 -0.0906721 -0.11855
0.0252499 0.109756 -0.112943 -0.138199 -0.121007 0.0662228 -0.130273 -0.0906431 -0.118667
0.0257455 0.109328 -0.112889 -0.13663 -0.121606 0.0663169 -0.129704 -0.0908892 -0.118736
0.026239 0.108829 -0.112835 -0.136525 -0.121279 0.0664045 -0.129117 -0.0915193 -0.118709
0.0267259 0.108333 -0.11279 -0.135519 -0.121521 0.0665047 -0.128517 -0.0922514 -0.118652
0.027207 0.1078 -0.112748 -0.135403 -0.121202 0.0666051 -0.1279 -0.0930604 -0.118566
0.027681 0.107273 -0.112716 -0.134353 -0.121464 0.0667194 -0.127269 -0.0938814 -0.118468
0.0281486 0.106711 -0.112686 -0.134222 -0.121154 0.0668341 -0.12662 -0.0947299 -0.118354
0.0286085 0.106155 -0.112666 -0.133126 -0.121435 0.0669643 -0.125956 -0.095561 -0.118237
0.0290614 0.105563 -0.112646 -0.132975 -0.121136 0.067096 -0.125273 -0.0964067 -0.118109
0.0295062 0.104978 -0.112636 -0.131831 -0.121435 0.0672448 -0.124576 -0.0972277 -0.117984
0.0299434 0.104356 -0.112625 -0.131658 -0.121147 0.0673963 -0.123857 -0.098063 -0.11785
0.0303706 0.103728 -0.11262 -0.131471 -0.120841 0.0675633 -0.123123 -0.0988831 -0.117717
0.0307876 0.103089 -0.112619 -0.131268 -0.120517 0.067746 -0.122373 -0.0996952 -0.117585
0.0311958 0.102451 -0.112625 -0.129969 -0.120851 0.0679488 -0.121609 -0.100493 -0.117457
0.0315948 0.101772 -0.112627 -0.129738 -0.120548 0.0681554 -0.120823 -0.10132 -0.117318
0.0319825 0.101086 -0.112633 -0.12949 -0.120228 0.0683804 -0.120022 -0.102138 -0.117182
0.0323585 0.10039 -0.112641 -0.129223 -0.119892 0.0686237 -0.119205 -0.102955 -0.117045
0.0327225 0.0996819 -0.112651 -0.128938 -0.119542 0.0688857 -0.118374 -0.103774 -0.116909
0.0330742 0.0989611 -0.112661 -0.128633 -0.119177 0.0691669 -0.117527 -0.104597 -0.116771
0.0334159 0.0982414 -0.112675 -0.127059 -0.119577 0.0694723 -0.116669 -0.105411 -0.116637
0.0337502 0.0974854 -0.112684 -0.126715 -0.119255 0.0697882 -0.115793 -0.106256 -0.116491
0.0340742 0.0967262 -0.112693 -0.126346 -0.118923 0.0701276 -0.114904 -0.107095 -0.116348
0.0344248 0.0965368 -0.112864 -0.126489 -0.118249 0.0700811 -0.113777 -0.108524 -0.115925
0.0347815 0.0960641 -0.112992 -0.126935 -0.117323 0.0698016 -0.11246 -0.109996 -0.115432
0.0351329 0.0954164 -0.11309 -0.127581 -0.116176 0.0721242 -0.112557 -0.111339 -0.114954
0.0354792 0.0946713 -0.113168 -0.126292 -0.11622 0.0716841 -0.111192 -0.112429 -0.11457
0.0358113 0.0938995 -0.113241 -0.127036 -0.114941 0.073996 -0.111289 -0.113493 -0.11418
0.0361351 0.0930922 -0.113304 -0.125625 -0.115015 0.0777661 -0.11216 -0.114372 -0.113877
0.0364498 0.0921928 -0.113336 -0.126335 -0.11369 0.0770639 -0.110935 -0.115272 -0.113562
0.0367457 0.0914377 -0.113407 -0.124745 -0.113837 0.0792952 -0.111075 -0.116015 -0.113333
0.0370687 0.0906119 -0.113456 -0.125376 -0.112514 0.0786591 -0.109892 -0.117251 -0.112826
0.0373928 0.0899669 -0.113563 -0.125959 -0.1111 0.0809665 -0.110058 -0.118419 -0.112326
0.0377302 0.0893667 -0.113693 -0.124136 -0.111313 0.0845812 -0.11083 -0.119391 -0.11192
0.0380881 0.0887922 -0.113845 -0.12114 -0.112346 0.0840602 -0.109949 -0.120279 -0.111555
0.0384487 0.088195 -0.114001 -0.121675 -0.111142 0.0860652 -0.110062 -0.121103 -0.111227
0.0388195 0.0876347 -0.114182 -0.121398 -0.110386 0.0891665 -0.110625 -0.121752 -0.111014
0.0392084 0.0871021 -0.114384 -0.119363 -0.110777 0.0925697 -0.11131 -0.122297 -0.110886
0.0396207 0.08658 -0.114605 -0.116554 -0.111689 0.0921062 -0.110818 -0.122829 -0.110788
0.0400371 0.0860344 -0.114831 -0.117034 -0.110663 0.0935632 -0.110876 -0.123376 -0.110704
0.040458 0.0855238 -0.115082 -0.115627 -0.110726 0.0958194 -0.111187 -0.123894 -0.110662
0.0408902 0.0850143 -0.115346 -0.113414 -0.111292 0.0982611 -0.111571 -0.12441 -0.110644
0.0413344 0.0844736 -0.115611 -0.113885 -0.110352 0.100582 -0.111945 -0.124953 -0.110632
0.0417881 0.0839677 -0.115899 -0.112671 -0.110328 0.100139 -0.111718 -0.125468 -0.110658
0.0422432 0.0834755 -0.116202 -0.110748 -0.110727 0.10096 -0.11171 -0.125966 -0.110718
0.0427064 0.0829805 -0.116516 -0.108633 -0.111265 0.102268 -0.111801 -0.126466 -0.110798
0.0431808 0.0824774 -0.116836 -0.10659 -0.111801 0.103686 -0.111918 -0.126975 -0.110892
0.0436674 0.0819657 -0.117162 -0.104745 -0.112275 0.105032 -0.112029 -0.127492 -0.111
0.0441662 0.0814471 -0.117493 -0.103144 -0.112665 0.106225 -0.112116 -0.128016 -0.11112
0.0446765 0.0809243 -0.117828 -0.101759 -0.112981 0.107236 -0.112172 -0.128545 -0.111253
0.0451975 0.0803996 -0.118167 -0.100518 -0.113251 0.108062 -0.112192 -0.129076 -0.1114
0.0457282 0.0798747 -0.118509 -0.0993791 -0.113489 0.108714 -0.112171 -0.129607 -0.111559
0.046268 0.0793503 -0.118854 -0.0983146 -0.113704 0.109252 -0.112115 -0.130137 -0.11173
0.0468161 0.0788267 -0.119202 -0.0973085 -0.113899 0.10975 -0.112031 -0.130667 -0.111914
0.0473722 0.078304 -0.119551 -0.0963503 -0.114078 0.110244 -0.111925 -0.131195 -0.112107
0.047936 0.0777818 -0.119901 -0.0954327 -0.114242 0.110751 -0.1118 -0.131723 -0.11231
0.0485076 0.07726 -0.12025 -0.0945502 -0.114393 0.111279 -0.111661 -0.13225 -0.11252
0.0490866 0.0767383 -0.120598 -0.0936988 -0.11453 0.111828 -0.11151 -0.132777 -0.112736
0.0496732 0.0762164 -0.120943 -0.0928754 -0.114656 0.112396 -0.111349 -0.133305 -0.112958
0.0502671 0.0756941 -0.121285 -0.0920775 -0.114771 0.11298 -0.111179 -0.133832 -0.113182
0.0508683 0.0751713 -0.121622 -0.091303 -0.114875 0.113578 -0.111003 -0.13436 -0.113409
