distance x y z pitch roll
3.74198e-05 0.00156802 0.149487 7.14834e-06 -0.422472 -0.00318867
7.97207e-05 0.00161032 0.149591 1.86325e-05 -0.435553 -0.00773343
0.00013018 0.00166078 0.149738 3.38036e-05 -0.447318 -0.0135827
0.000213771 0.00174437 0.149853 4.17121e-05 -0.407597 -0.016234
0.000346419 0.00187702 0.149941 6.47615e-05 -0.325658 -0.0254824
0.000506698 0.0020373 0.150018 0.000102809 -0.234393 -0.040629
0.000687075 0.00221768 0.150083 0.0001556 -0.143561 -0.0611624
0.000883526 0.00241412 0.150137 0.000221339 -0.0556159 -0.0863577
0.00109358 0.00262418 0.150179 0.000297923 0.0293414 -0.115473
0.00131584 0.00284643 0.150209 0.000383526 0.112052 -0.147897
0.0015499 0.0030805 0.150224 0.000475619 0.195956 -0.182672
0.00179467 0.00332527 0.150215 0.000570225 0.286542 -0.218264
0.00204799 0.00357857 0.150173 0.000662981 0.388999 -0.253071
0.00230767 0.00383829 0.150092 0.000752795 0.506653 -0.284331
0.00257277 0.0041035 0.149973 0.000839867 0.638749 -0.312092
0.00284307 0.00437399 0.149817 0.000924514 0.785193 -0.336001
0.00311851 0.00464976 0.149624 0.00100697 0.946105 -0.355741
0.0033992 0.00493095 0.149395 0.00108744 1.12161 -0.371104
0.00368993 0.00522219 0.149147 0.00116692 1.3046 -0.388574
0.00399837 0.00553093 0.148899 0.00124512 1.4889 -0.421501
0.00432747 0.00586014 0.148672 0.00133291 1.66208 -0.457195
0.00467664 0.00620941 0.148477 0.00143795 1.8153 -0.499135
0.00504727 0.00658013 0.148316 0.00156085 1.94977 -0.547585
0.00543705 0.00697002 0.148177 0.00169648 2.07323 -0.600513
0.00584334 0.0073764 0.14805 0.00184106 2.19005 -0.656712
0.00626403 0.00779718 0.147931 0.001992 2.30283 -0.71534
0.00669739 0.00823061 0.147813 0.00214713 2.41376 -0.775652
0.00714163 0.0086749 0.147694 0.00230498 2.5239 -0.837141
0.00759564 0.00912893 0.147572 0.00246478 2.63359 -0.899557
0.00805881 0.0095921 0.147445 0.00262618 2.74288 -0.962783
0.00853044 0.0100637 0.147312 0.00278855 2.85237 -1.02657
0.00900987 0.0105431 0.14717 0.00295176 2.96199 -1.09093
0.00949655 0.0110296 0.147017 0.00311565 3.07173 -1.15582
0.00998998 0.0115229 0.146852 0.00328003 3.18161 -1.22118
0.0104897 0.0120224 0.146672 0.0034447 3.29163 -1.28696
0.0109951 0.0125277 0.146477 0.00360943 3.40183 -1.3531
0.0115059 0.0130382 0.146265 0.00377395 3.51222 -1.41953
0.0120214 0.0135534 0.146035 0.00393797 3.62281 -1.48616
0.0125411 0.0140727 0.145785 0.00410115 3.73359 -1.5529
0.0130644 0.0145955 0.145515 0.00426313 3.84457 -1.61965
0.0135905 0.0151212 0.145224 0.0044235 3.95572 -1.68627
0.0141189 0.0156491 0.14491 0.00458198 4.06685 -1.75272
0.0146489 0.0161785 0.144573 0.00473829 4.17774 -1.81892
0.0151798 0.0167087 0.144213 0.00489206 4.28823 -1.88476
0.0157107 0.017239 0.143829 0.00504287 4.39823 -1.95011
0.0162408 0.0177684 0.14342 0.00519023 4.50765 -2.01483
0.0167692 0.018296 0.142985 0.00533359 4.61644 -2.07873
0.0172948 0.0188207 0.142524 0.00547239 4.72455 -2.14162
0.0178166 0.0193416 0.142035 0.005606 4.83195 -2.20329
0.0183333 0.0198575 0.141519 0.00573378 4.93858 -2.26353
0.0188445 0.0203677 0.140974 0.00585558 5.0437 -2.32234
0.0193493 0.0208715 0.140403 0.00597129 5.1466 -2.37966
0.0198471 0.0213683 0.139805 0.00608069 5.24658 -2.43543
0.0203372 0.0218573 0.139182 0.0061836 5.34297 -2.48958
0.0208188 0.0223378 0.138533 0.00627978 5.43511 -2.54201
0.0213026 0.0228207 0.137951 0.0063286 5.46972 -2.56316
0.0217907 0.0233077 0.137457 0.00632124 5.43174 -2.55613
0.0222803 0.0237977 0.137028 0.00628197 5.33612 -2.54195
0.0227733 0.0242919 0.136639 0.00621495 5.20157 -2.51966
0.0232683 0.0247878 0.13626 0.00610983 5.0456 -2.48329
0.0237619 0.025283 0.135905 0.00598863 4.85834 -2.43799
0.0242571 0.02578 0.135562 0.00584858 4.64944 -2.38435
0.0247542 0.0262782 0.135215 0.00567548 4.4295 -2.31986
0.0252499 0.0267756 0.13488 0.00549054 4.18619 -2.24629
0.0257455 0.0272733 0.134536 0.0052971 3.93422 -2.16718
0.026239 0.0277677 0.134155 0.00508432 3.69079 -2.08552
0.0267259 0.0282558 0.133758 0.0048705 3.44072 -1.99989
0.027207 0.0287378 0.13333 0.00464241 3.19491 -1.91046
0.027681 0.0292128 0.132888 0.00441235 2.94184 -1.81681
0.0281486 0.0296809 0.132416 0.00416762 2.6927 -1.71886
0.0286085 0.0301416 0.13193 0.00392044 2.43559 -1.61662
0.0290614 0.0305949 0.131416 0.00365831 2.18193 -1.50971
0.0295062 0.0310402 0.130888 0.00339342 1.91945 -1.39847
0.0299434 0.0314775 0.130332 0.00311345 1.65984 -1.28219
0.0303706 0.0319047 0.129756 0.00282399 1.39532 -1.16109
0.0307876 0.0323215 0.12916 0.00252485 1.12567 -1.03469
0.0311958 0.0327297 0.128554 0.00222254 0.845452 -0.903384
0.0315948 0.0331284 0.127919 0.00190435 0.5675 -0.766042
0.0319825 0.0335156 0.127266 0.00157609 0.283169 -0.62319
0.0323585 0.0338912 0.126594 0.00123751 -0.00770818 -0.474237
0.0327225 0.0342547 0.125905 0.000888296 -0.305349 -0.318893
0.0330742 0.0346057 0.125199 0.000528122 -0.610003 -0.156829
0.0334159 0.0349468 0.124487 0.000164021 -0.927925 0.0109589
0.0337502 0.0352805 0.123756 -0.000213522 -1.24849 0.184323
0.0340742 0.0356039 0.123014 -0.000599501 -1.57987 0.363421
0.0344248 0.0359548 0.122405 -0.000849021 -1.70012 0.434665
0.0347815 0.0363126 0.121878 -0.00100104 -1.6889 0.447592
0.0351329 0.0366656 0.121414 -0.00109158 -1.58892 0.426073
0.0354792 0.0370144 0.120989 -0.00112603 -1.4574 0.361499
0.0358113 0.0373476 0.120578 -0.00110094 -1.26969 0.311109
0.0361351 0.0376728 0.120198 -0.00105189 -1.06992 0.230068
0.0364498 0.0379869 0.119784 -0.00092487 -0.847534 0.170433
0.0367457 0.0382822 0.119407 -0.000781234 -0.625983 0.0848234
0.0370687 0.0386044 0.119096 -0.00065085 -0.437601 0.0268579
0.0373928 0.0389277 0.118868 -0.000534865 -0.270791 -0.0251298
0.0377302 0.0392644 0.118724 -0.000414875 -0.132675 -0.0806764
0.0380881 0.0396213 0.118622 -0.000276924 -0.017578 -0.146153
0.0384487 0.0399813 0.118547 -0.000165805 0.106782 -0.195764
0.0388195 0.0403514 0.118538 -6.05999e-05 0.208023 -0.244798
0.0392084 0.0407395 0.118589 4.7964e-05 0.2871 -0.295289
0.0396207 0.041151 0.118671 0.000168541 0.349733 -0.352393
0.0400371 0.0415668 0.118769 0.000267899 0.420983 -0.397002
0.040458 0.041987 0.118912 0.000377687 0.473507 -0.44781
0.0408902 0.0424184 0.119083 0.000494254 0.520253 -0.50136
0.0413344 0.0428619 0.119253 0.000598323 0.576673 -0.548642
0.0417881 0.0433148 0.119452 0.000719755 0.612407 -0.60515
0.0422432 0.043769 0.119678 0.000847515 0.63948 -0.66278
0.0427064 0.0442313 0.119921 0.000980002 0.664408 -0.722169
0.0431808 0.0447048 0.120175 0.00111522 0.688709 -0.782468
0.0436674 0.0451904 0.12044 0.00125173 0.712035 -0.843052
0.0441662 0.0456882 0.120713 0.00138881 0.733481 -0.903611
0.0446765 0.0461976 0.120995 0.00152643 0.752016 -0.964164
0.0451975 0.0467175 0.121283 0.00166504 0.766817 -1.02493
0.0457282 0.0472473 0.121579 0.00180511 0.777503 -1.08608
0.046268 0.047786 0.121881 0.00194699 0.783984 -1.14774
0.0468161 0.048333 0.122188 0.00209093 0.7864 -1.21
0.0473722 0.048888 0.1225 0.00223716 0.784994 -1.27295
0.047936 0.0494507 0.122814 0.00238582 0.780023 -1.33666
0.0485076 0.0500211 0.123131 0.002537 0.771724 -1.40116
0.0490866 0.050599 0.123449 0.00269074 0.760308 -1.46648
0.0496732 0.0511843 0.123766 0.00284704 0.745961 -1.53261
0.0502671 0.051777 0.124082 0.0030059 0.728852 -1.59955
0.0508683 0.0523769 0.124396 0.0031673 0.709138 -1.66733
0.0514766 0.052984 0.124705 0.00333122 0.686961 -1.73592
0.0520919 0.053598 0.12501 0.00349764 0.662454 -1.80535
0.0527142 0.0542189 0.125308 0.00366651 0.635738 -1.8756
0.0533432 0.0548466 0.1256 0.00383782 0.606933 -1.94669
0.0539787 0.0554807 0.125883 0.00401153 0.576153 -2.01865
0.0546206 0.0561212 0.126156 0.00418762 0.543507 -2.09146
0.0552687 0.0567679 0.126419 0.00436607 0.509102 -2.16516
0.0559228 0.0574204 0.12667 0.00454688 0.473035 -2.23975
0.0565825 0.0580787 0.126909 0.00473004 0.435397 -2.31526
0.0572478 0.0587425 0.127134 0.00491555 0.396272 -2.39174
0.0579183 0.0594114 0.127344 0.00510341 0.35571 -2.46921
0.0585939 0.0600855 0.127539 0.00529351 0.313615 -2.54766
0.0592745 0.0607645 0.127718 0.00548583 0.269937 -2.62712
