time distance
0.002 3.74198e-05
0.004 7.97207e-05
0.006 0.00013018
0.008 0.000213771
0.01 0.000346419
0.012 0.000506698
0.014 0.000687075
0.016 0.000883526
0.018 0.00109358
0.02 0.00131584
0.022 0.0015499
0.024 0.00179467
0.026 0.00204799
0.028 0.00230767
0.03 0.00257277
0.032 0.00284307
0.034 0.00311851
0.036 0.0033992
0.038 0.00368993
0.04 0.00399837
0.042 0.00432747
0.044 0.00467664
0.046 0.00504727
0.048 0.00543705
0.05 0.00584334
0.052 0.00626403
0.054 0.00669739
0.056 0.00714163
0.058 0.00759564
0.06 0.00805881
0.062 0.00853044
0.064 0.00900987
0.066 0.00949655
0.068 0.00998998
0.07 0.0104897
0.072 0.0109951
0.074 0.0115059
0.076 0.0120214
0.078 0.0125411
0.08 0.0130644
0.082 0.0135905
0.084 0.0141189
0.086 0.0146489
0.088 0.0151798
0.09 0.0157107
0.092 0.0162408
0.094 0.0167692
0.096 0.0172948
0.098 0.0178166
0.1 0.0183333
0.102 0.0188445
0.104 0.0193493
0.106 0.0198471
0.108 0.0203372
0.11 0.0208188
0.112 0.0213026
0.114 0.0217907
0.116 0.0222803
0.118 0.0227733
0.12 0.0232683
0.122 0.0237619
0.124 0.0242571
0.126 0.0247542
0.128 0.0252499
0.13 0.0257455
0.132 0.026239
0.134 0.0267259
0.136 0.027207
0.138 0.027681
0.14 0.0281486
0.142 0.0286085
0.144 0.0290614
0.146 0.0295062
0.148 0.0299434
0.15 0.0303706
0.152 0.0307876
0.154 0.0311958
0.156 0.0315948
0.158 0.0319825
0.16 0.0323585
0.162 0.0327225
0.164 0.0330742
0.166 0.0334159
0.168 0.0337502
0.17 0.0340742
0.172 0.0344248
0.174 0.0347815
0.176 0.0351329
0.178 0.0354792
0.18 0.0358113
0.182 0.0361351
0.184 0.0364498
0.186 0.0367457
0.188 0.0370687
0.19 0.0373928
0.192 0.0377302
0.194 0.0380881
0.196 0.0384487
0.198 0.0388195
0.2 0.0392084
0.202 0.0396207
0.204 0.0400371
0.206 0.040458
0.208 0.0408902
0.21 0.0413344
0.212 0.0417881
0.214 0.0422432
0.216 0.0427064
0.218 0.0431808
0.22 0.0436674
0.222 0.0441662
0.224 0.0446765
0.226 0.0451975
0.228 0.0457282
0.23 0.046268
0.232 0.0468161
0.234 0.0473722
0.236 0.047936
0.238 0.0485076
0.24 0.0490866
0.242 0.0496732
0.244 0.0502671
0.246 0.0508683
0.248 0.0514766
0.25 0.0520919
0.252 0.0527142
0.254 0.0533432
0.256 0.0539787
0.258 0.0546206
0.26 0.0552687
0.262 0.0559228
0.264 0.0565825
0.266 0.0572478
0.268 0.0579183
0.27 0.0585939
0.272 0.0592745
0.274 0.0599599
0.276 0.0606497
0.278 0.0613438
0.28 0.0620417
0.282 0.0627432
0.284 0.063448
0.286 0.0641555
0.288 0.0648654
0.29 0.0655774
0.292 0.0662909
0.294 0.0670057
0.296 0.0677213
0.298 0.0684371
0.3 0.0691527
0.302 0.0698674
0.304 0.0705808
0.306 0.0712922
0.308 0.0720009
0.31 0.0727064
0.312 0.0734078
0.314 0.0741045
0.316 0.074796
0.318 0.075482
0.32 0.0761619
0.322 0.0768354
0.324 0.0775021
0.326 0.0781614
0.328 0.0788018
0.33 0.0794201
0.332 0.0800176
0.334 0.0805923
0.336 0.0811442
0.338 0.0816719
0.34 0.0821752
0.342 0.0826636
0.344 0.0831275
0.346 0.0835632
0.348 0.0839714
0.35 0.0843643
0.352 0.0847289
0.354 0.0850617
0.356 0.0853722
0.358 0.0856501
0.36 0.0858953
0.362 0.0861199
0.364 0.086309
