d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.8133 0.5467 0.2 1.2 2 14.71 1.21181 0.169804 487.779 
0.4 0.4 0.0667 -0.0667 0.8133 0.5267 0.2 1.2 2 15 1.21214 0.797928 488.352 
0.4 0.4 0.0667 -0.0667 0.8133 0.5067 0.2 1.2 2 15 2.2832 0.879647 495.815 
0.4 0.4 0.0667 -0.0667 0.8133 0.4867 0.2 1.2 2 9.852 0.478372 0.166393 484.974 
0.4 0.4 0.0667 -0.0667 0.8133 0.4667 0.2 1.2 2 14.862 0.462961 0.164706 486.527 
0.4 0.4 0.0667 -0.0667 0.8133 0.4467 0.2 1.2 2 15 0.512024 0.858085 492.481 
0.4 0.4 0.0667 -0.0667 0.8133 0.4267 0.2 1.2 2 15 1.10402 0.809254 491.549 
0.4 0.4 0.0667 -0.0667 0.8133 0.4067 0.2 1.2 2 15 0.240943 0.832315 492.757 
0.4 0.4 0.0667 -0.0667 0.8133 0.3867 0.2 1.2 2 15 1.72459 0.835354 495.337 
0.4 0.4 0.0667 -0.0667 0.8133 0.3667 0.2 1.2 2 15 1.95424 0.822137 494.87 
0.4 0.4 0.0667 -0.0667 0.8133 0.3467 0.2 1.2 2 15 2.18401 0.852716 496.171 
0.4 0.4 0.0667 -0.0667 0.8133 0.3267 0.2 1.2 2 15 2.35424 0.886338 496.33 
0.4 0.4 0.0667 -0.0667 0.8133 0.3067 0.2 1.2 2 15 1.99887 0.88549 495.983 
0.4 0.4 0.0667 -0.0667 0.8133 0.2867 0.2 1.2 2 15 2.18153 0.838789 494.472 
0.4 0.4 0.0667 -0.0667 0.8133 0.2667 0.2 1.2 2 1.53 0.178646 0.168785 416.392 
0.4 0.4 0.0667 -0.0667 0.8133 0.2467 0.2 1.2 2 15 2.06581 0.862842 496.642 
0.4 0.4 0.0667 -0.0667 0.8133 0.2267 0.2 1.2 2 15 1.99066 0.854661 496.254 
0.4 0.4 0.0667 -0.0667 0.8133 0.2067 0.2 1.2 2 15 1.58595 0.681577 488.54 
0.4 0.4 0.0667 -0.0667 0.8133 0.1867 0.2 1.2 2 15 1.80489 0.845862 495.831 
0.4 0.4 0.0667 -0.0667 0.8133 0.1667 0.2 1.2 2 2.954 0.0637302 0.160138 467.906 
0.4 0.4 0.0667 -0.0667 0.7933 0.5467 0.2 1.2 2 15 1.65636 0.803399 491.369 
0.4 0.4 0.0667 -0.0667 0.7933 0.5267 0.2 1.2 2 6.554 0.902891 0.169709 478.65 
0.4 0.4 0.0667 -0.0667 0.7933 0.5067 0.2 1.2 2 13.034 1.4764 0.171754 489.525 
0.4 0.4 0.0667 -0.0667 0.7933 0.4867 0.2 1.2 2 9.75 0 0.173535 479.099 
0.4 0.4 0.0667 -0.0667 0.7933 0.4667 0.2 1.2 2 15 0.749762 0.821669 492.614 
0.4 0.4 0.0667 -0.0667 0.7933 0.4467 0.2 1.2 2 14.612 0 0.167661 482.348 
0.4 0.4 0.0667 -0.0667 0.7933 0.4267 0.2 1.2 2 15 0.927498 0.834241 493.569 
0.4 0.4 0.0667 -0.0667 0.7933 0.4067 0.2 1.2 2 15 0.750288 0.824764 493.229 
0.4 0.4 0.0667 -0.0667 0.7933 0.3867 0.2 1.2 2 15 0.480812 0.828521 492.819 
0.4 0.4 0.0667 -0.0667 0.7933 0.3667 0.2 1.2 2 15 1.8405 0.840685 495.899 
0.4 0.4 0.0667 -0.0667 0.7933 0.3467 0.2 1.2 2 15 2.13195 0.850924 496.275 
0.4 0.4 0.0667 -0.0667 0.7933 0.3267 0.2 1.2 2 15 2.35792 0.88474 496.816 
0.4 0.4 0.0667 -0.0667 0.7933 0.3067 0.2 1.2 2 15 2.16456 0.891374 496.453 
0.4 0.4 0.0667 -0.0667 0.7933 0.2867 0.2 1.2 2 15 1.83772 0.830246 493.415 
0.4 0.4 0.0667 -0.0667 0.7933 0.2667 0.2 1.2 2 1.376 0.00233237 0.166887 411.204 
0.4 0.4 0.0667 -0.0667 0.7933 0.2467 0.2 1.2 2 1.26 0.0597033 0.171989 412.293 
0.4 0.4 0.0667 -0.0667 0.7933 0.2267 0.2 1.2 2 2.138 0.0962371 0.170741 422.99 
0.4 0.4 0.0667 -0.0667 0.7933 0.2067 0.2 1.2 2 15 1.64922 0.823948 494.117 
0.4 0.4 0.0667 -0.0667 0.7933 0.1867 0.2 1.2 2 5.33 0.323075 0.166561 458.781 
0.4 0.4 0.0667 -0.0667 0.7933 0.1667 0.2 1.2 2 15 1.51921 0.830617 496.462 
0.4 0.4 0.0667 -0.0667 0.7733 0.5467 0.2 1.2 2 15 1.07365 0.864662 493.56 
0.4 0.4 0.0667 -0.0667 0.7733 0.5267 0.2 1.2 2 15 1.9934 0.81427 495.103 
0.4 0.4 0.0667 -0.0667 0.7733 0.5067 0.2 1.2 2 15 0.775842 0.837423 492.297 
0.4 0.4 0.0667 -0.0667 0.7733 0.4867 0.2 1.2 2 15 1.1275 0.878032 493.353 
0.4 0.4 0.0667 -0.0667 0.7733 0.4667 0.2 1.2 2 8.094 0.503335 0.172561 479.095 
0.4 0.4 0.0667 -0.0667 0.7733 0.4467 0.2 1.2 2 15 0.783827 0.794721 490.339 
